district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LGBM,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
AHMEDNAGAR,669.757494553255,1085.764858689319,1147.891773659192,720.1848564445027,1097.851673884093,715.4813232984415,1090.8536547038534,992.97495741708,865.7453876846242,871.1161924324452,1049.631856192007,1181.2060974019232,1097.847302551395,1127.762051890851,2307.7065807141907,809.9745702359074,1049.6185003676856,5666.622724339428,1089.161293674225,675.0550564934051
AKOLA,,352.2278697345284,640.7153487693884,802.9481496931659,493.70534120559967,2557.7504984974366,365.5117418589071,340.53382143423113,285.2480725760571,751.0299111471139,749.3284017944476,903.8880260568568,493.7053534569037,,1134.5717133680312,1025.3048759330597,749.761986046555,2296.056837086382,390.75112336931176,1105.5837860738645
AMRAVATI,,909.0103841507467,527.6515037805817,785.1791348090029,585.0246901342313,498.38269097262116,693.0375868831221,508.94996395522077,438.50179225601636,435.70551827648814,846.5241360797888,1063.7175484798927,584.9609370294988,,590.3419421336737,582.6202524393093,847.3056898489228,747.642972984804,975.3318165683694,587.624886458178
AURANGABAD,,323.3892598576499,780.3066436021064,1644.2318453037915,925.0283013962696,767.3289001175152,278.23123445087475,1077.1909504125088,819.8282566268892,691.9083954608374,999.9092376404818,714.0470864319601,925.2418572844425,,476.6071065309574,947.9507271184743,1000.0694286977939,323.3892598754847,292.98014906764735,895.3464905614119
BEED,397.36923826600986,624.3978074053862,442.6982640856653,643.3156751985016,398.23165524981056,499.17787461262526,427.8169776059313,501.96189709220346,318.73505258841044,382.2877679659787,385.45829289627625,443.22112146514706,398.21679156249274,411.8161361026558,658.8394118615939,459.8883916418736,385.4400531386991,719.5292348075334,438.99287108136946,478.6299133477091
BHANDARA,,306.39386416832826,202.3918418926256,346.4671538975987,226.73033630880178,252.0706805695136,302.4811083113943,231.02668354074237,222.7694639637486,257.5308052374676,220.18260281170984,395.1522856777317,226.88440148336278,,240.73773301470334,232.68243583018463,220.37762597757438,306.39386416832826,299.5373446490175,268.02762221600466
BULDHANA,,491.11876394424746,335.927303700486,357.58782460164446,469.18317266047967,365.4356662563497,345.2345113593423,375.1248543996162,721.969909926848,325.82896705945944,790.3108502432216,217.49995241555163,469.77888991494046,,302.02816045725325,253.0411908706721,792.0635960962009,1047.2949585066156,333.1257312593259,346.0702145649749
CHANDRAPUR,325.57431981865517,579.5110603401196,363.0241097516332,463.55803954625446,310.76270838312666,417.44975592212825,575.8954016093993,492.9882783462475,277.99691285216534,431.76635962104723,323.1005059227999,390.017233293246,310.741241384643,385.81955100755766,300.77530373100427,420.60495869045576,323.08219632077055,659.9640079696896,575.6485512342289,451.13329597879755
DHULE,389.95302436872515,366.2380323382128,337.5797859438996,298.5643730649776,305.22375461362844,355.72799135481785,463.11356804950225,343.2692807549419,305.3366757258734,355.0793526335581,334.7253876170906,281.6729968318723,305.2171890303017,291.3803692008685,330.68281979734235,316.2820701042733,334.71339419967666,585.5478001807455,391.60508617032923,358.0048329316054
GADCHIROLI,188.18544829625435,279.21806594287557,174.88258180702795,192.25909398693994,165.85906615289628,181.05491057810184,427.19442884126903,210.98491188753306,162.61166316954336,162.55181468750533,158.57693380473924,351.98179182371905,165.82927127388672,191.26819812530255,200.33044875967016,171.11905689704267,158.51568900425318,825.6016024936793,298.5653966050105,180.6677593390205
