district,rmse,best_order,best_seasonal_order,stationary
AHMEDNAGAR,6603.957851167737,"(0, 0, 0)","(0, 0, 0, 12)",True
AKOLA,1608.7839643311072,"(0, 0, 0)","(0, 0, 1, 12)",True
AMRAVATI,3612.2351280948924,"(0, 0, 1)","(0, 0, 0, 12)",True
AURANGABAD,629.8320460923487,"(2, 1, 0)","(0, 0, 0, 12)",True
BEED,946.6416343425701,"(1, 0, 0)","(0, 0, 0, 12)",True
BHANDARA,136.23248716823016,"(0, 0, 1)","(0, 1, 0, 12)",False
BULDHANA,3849.82796777743,"(0, 0, 1)","(0, 0, 0, 12)",True
CHANDRAPUR,2503.44867224084,"(0, 0, 1)","(0, 0, 0, 12)",True
DHULE,3493.0639415848086,"(0, 0, 0)","(0, 0, 0, 12)",True
GADCHIROLI,258.3700697628446,"(0, 1, 1)","(1, 1, 0, 12)",False
GONDIA,279.2029597687037,"(1, 0, 0)","(0, 0, 0, 12)",True
HINGOLI,1936.8377577897431,"(0, 0, 0)","(0, 0, 0, 12)",True
JALGAON,759.4151266353143,"(0, 1, 1)","(1, 0, 0, 12)",True
JALNA,1604.893244310058,"(0, 0, 1)","(0, 0, 1, 12)",True
KOLHAPUR,4806.4025730677995,"(0, 0, 1)","(0, 0, 0, 12)",True
LATUR,2046.262023494588,"(0, 0, 0)","(0, 0, 1, 12)",True
MUMBAI,1628.089401342492,"(0, 1, 0)","(1, 0, 0, 12)",False
NAGPUR,1450.8709190101558,"(1, 0, 0)","(0, 0, 0, 12)",True
NANDED,515.2235485222831,"(0, 0, 0)","(1, 0, 0, 12)",True
NANDURBAR,699.3456699730084,"(1, 0, 0)","(2, 0, 2, 12)",True
NASHIK,1566.4985217862793,"(1, 0, 0)","(0, 0, 0, 12)",True
OSMANABAD,2327.985633731245,"(0, 0, 1)","(0, 0, 0, 12)",True
PALGHAR,1010.223758305474,"(1, 0, 0)","(0, 0, 1, 12)",True
PARBHANI,3123.08766758889,"(0, 0, 1)","(0, 0, 0, 12)",True
PUNE,15823.223037425601,"(0, 0, 1)","(0, 0, 0, 12)",True
RAIGAD,811.2894523562161,"(1, 0, 0)","(0, 0, 0, 12)",False
RATNAGIRI,514.9813390771535,"(1, 0, 0)","(0, 0, 0, 12)",True
SANGLI,595.0266380591719,"(0, 1, 0)","(0, 1, 0, 12)",True
SATARA,3854.9979507128146,"(0, 0, 0)","(0, 0, 0, 12)",True
SINDHUDURG,621.8916304308975,"(0, 0, 0)","(0, 0, 0, 12)",True
SOLAPUR,6585.335815156585,"(0, 0, 1)","(0, 0, 0, 12)",True
THANE,13841.070297492442,"(0, 0, 1)","(0, 0, 0, 12)",True
WARDHA,609.5807479652743,"(0, 0, 1)","(0, 0, 2, 12)",True
WASHIM,158.81921942345036,"(1, 0, 1)","(1, 0, 0, 12)",True
YAVATMAL,263.4221791128126,"(0, 1, 1)","(0, 0, 0, 12)",True
