district,date,actual,forecast
MUMBAI,2020-07-01,513,115.27588
MUMBAI,2020-08-01,579,219.36652
MUMBAI,2020-09-01,683,241.71951
MUMBAI,2020-10-01,763,202.67133
MUMBAI,2020-11-01,583,350.24518
MUMBAI,2020-12-01,934,425.1223
MUMBAI,2021-01-01,474,282.5379
MUMBAI,2021-02-01,543,297.3394
MUMBAI,2021-03-01,484,192.3211
