district,date,actual,forecast
OSMANABAD,2020-07-01,177.0,174.02075
OSMANABAD,2020-08-01,234.0,180.46295
OSMANABAD,2020-09-01,190.0,178.1562
OSMANABAD,2020-10-01,248.0,178.82314
OSMANABAD,2020-11-01,189.0,180.07393
OSMANABAD,2020-12-01,200.0,165.7753
OSMANABAD,2021-01-01,138.0,169.49594
OSMANABAD,2021-02-01,133.0,149.48935
OSMANABAD,2021-03-01,169.0,165.54665
