district,rmse,r_squared,best_params,differencing,best_iteration,feature_importances
AHMEDNAGAR,1235.5596223454288,0.16340141034353917,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,21,"[0.4893176355058249, 0.3120186145838084, 0.19866374991036667]"
AKOLA,226.98705331458575,0.35977322627043007,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,48,"[0.3613990691159047, 0.14757104171967256, 0.49102988916442264]"
AMRAVATI,259.6451501846688,0.7267277959752165,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0,24,"[0.21179136805561388, 0.07855433707398322, 0.709654294870403]"
AURANGABAD,1016.1585818780609,0.06368677489901908,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,11,"[0.3424938075859458, 0.26312811248095325, 0.3943780799331009]"
BEED,575.9443564171324,0.46826440418159987,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,47,"[0.34381409858858925, 0.29979825468561655, 0.35638764672579415]"
BHANDARA,165.2035647676667,0.38652745567888946,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",1,44,"[0.35804093871402887, 0.29819626412824674, 0.34376279715772445]"
BULDHANA,230.28577645662023,0.3406509771608698,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,45,"[0.32639288522251775, 0.2811371801669932, 0.392469934610489]"
CHANDRAPUR,451.79666056689905,0.3002599326158303,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,37,"[0.6654441006779604, 0.2885512863123462, 0.04600461300969323]"
DHULE,515.6557876653412,0.766499061241302,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,100,"[0.370059471754236, 0.3948247148047188, 0.23511581344104507]"
GADCHIROLI,514.6780876720951,0.516355013916302,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,100,"[0.3285780241449973, 0.5135676681179536, 0.15785430773704906]"
GONDIA,126.33418506664033,0.5301596324919331,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0,14,"[0.6844342528930204, 0.08114215999909632, 0.23442358710788322]"
HINGOLI,221.10871293612448,0.23241017901571315,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,21,"[0.28186671926626916, 0.3682531072904178, 0.34988017344331307]"
JALGAON,1168.2394249060453,0.18386966585839937,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,18,"[0.29101013504275114, 0.3451569453750882, 0.3638329195821607]"
JALNA,268.9520892912493,0.7793220587300518,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 0.8}",0,19,"[0.6121932822731458, 0.22569616107060414, 0.16211055665625]"
KOLHAPUR,392.52663639189143,0.07641226830371406,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,11,"[0.5440227593790256, 0.0, 0.4559772406209744]"
LATUR,605.8931627830806,0.26608860313214966,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,23,"[0.31291223550782915, 0.3536894889101823, 0.33339827558198853]"
MUMBAI,808.5845391335649,0.11580900331192057,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,12,"[0.20770558020232224, 0.5656689160455314, 0.2266255037521464]"
NAGPUR,3265.8103763482923,0.7779386237951771,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",1,44,"[0.4365934441336148, 0.4237034807866369, 0.13970307507974833]"
NANDED,315.44161865291807,0.8776673629669336,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,17,"[0.8199009189173044, 0.08292913644644105, 0.09716994463625446]"
NANDURBAR,1389.8837779604064,0.06348966506083664,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,11,"[0.17323714619540329, 0.8131031797151781, 0.013659674089418636]"
NASHIK,515.0458468657373,0.14572965478859934,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",1,14,"[0.19872786361302688, 0.4964253825048308, 0.3048467538821423]"
OSMANABAD,270.02931604211386,0.16692730908468778,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,17,"[0.40342097006681904, 0.4264209631498547, 0.17015806678332623]"
PALGHAR,373.8193730692966,0.13411804870417177,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",1,11,"[0.25377014611927695, 0.302564121634386, 0.4436657322463372]"
PARBHANI,465.9158440134352,0.79535397149759,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",1,33,"[0.3315468068770327, 0.27457856124324276, 0.39387463187972466]"
PUNE,769.4580627367868,0.5713538142730875,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0,43,"[0.5478427179219444, 0.16498973414069998, 0.2871675479373556]"
RAIGAD,1235.7250327580364,0.14838123947136572,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",1,11,"[0.3293000315024742, 0.4336152017227031, 0.23708476677482263]"
RATNAGIRI,269.28944655176974,0.22824616267977071,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",1,15,"[0.44601911028031177, 0.09684944333431057, 0.4571314463853777]"
SANGLI,491.82117809434936,0.6955574909532354,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",1,22,"[0.41366486085738036, 0.26374149920152307, 0.3225936399410966]"
SATARA,2196.580027781968,0.6816504062122661,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",1,100,"[0.7222208812384313, 0.14428596636839225, 0.13349315239317636]"
SINDHUDURG,69.84809803959521,0.37268452391554274,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,37,"[0.6005177333435167, 0.06337967099315095, 0.33610259566333245]"
SOLAPUR,486.0998360889268,0.17814354286335277,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,14,"[0.2855989277979691, 0.4015331311443348, 0.31286794105769616]"
THANE,817.0760347726053,0.22719628964270377,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",1,21,"[0.5029795525447932, 0.23631783525938754, 0.2607026121958193]"
WARDHA,175.93084637739952,0.19261161717087005,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",0,14,"[0.5267440493772181, 0.21944168718536672, 0.25381426343741514]"
WASHIM,156.54843728204025,0.06580664622937493,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",1,11,"[0.2244011837821258, 0.7666090448876259, 0.008989771330248239]"
YAVATMAL,358.54384032156395,0.7802126578368432,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,100,"[0.5861058574985752, 0.2260094641800413, 0.18788467832138336]"
MUMBAI SUBURBAN,1326.342914170542,0.014743201430145625,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,11,"[0.7550050040665648, 0.07337274136806328, 0.17162225456537208]"
