district,rmse,seasonal
AHMEDNAGAR,58.61980942653825,False
AKOLA,74.04327170313138,False
AMRAVATI,182.9581785477688,False
AURANGABAD,240.22558653500647,False
BEED,50.76015824674285,False
BHANDARA,86.79470920945064,False
BULDHANA,65.66760794909315,False
CHANDRAPUR,94.44705238806817,False
DHULE,101.10866884532027,False
GADCHIROLI,117.74124165718818,False
GONDIA,74.95993879854016,False
HINGOLI,62.89316600848274,False
JALGAON,112.75693319365737,False
JALNA,129.08184520812858,False
KOLHAPUR,85.04301986569565,False
LATUR,121.2818660654653,False
MUMBAI,149.03895238750772,False
NAGPUR,128.34693110859845,False
NANDED,82.03797792827162,False
NANDURBAR,143.3195312206786,False
NASHIK,193.96908532350912,False
OSMANABAD,38.58059438981177,False
PALGHAR,143.9665271804853,False
PARBHANI,98.58789155492809,False
PUNE,140.1016066249515,False
RAIGAD,99.20527964875252,False
RATNAGIRI,70.55462106254046,False
SANGLI,83.03924504209179,False
SATARA,139.64867445095902,False
SINDHUDURG,21.190739506713808,False
SOLAPUR,204.2905337518427,False
THANE,171.0800216700541,False
WARDHA,58.219161767524916,False
WASHIM,19.688430736476786,False
YAVATMAL,42.57697713759212,False
MUMBAI SUBURBAN,203.21180223311137,False
