district,rmse,best_order,stationary
AHMEDNAGAR,944.3750652671167,"(0, 1, 1)",False
AKOLA,214.85925625860293,"(0, 1, 0)",False
AMRAVATI,410.665688731376,"(2, 1, 1)",True
AURANGABAD,1149.025137668319,"(1, 1, 0)",False
BEED,701.1830003643842,"(0, 1, 0)",False
BHANDARA,220.198092634791,"(0, 1, 0)",False
BULDHANA,252.744098048827,"(0, 1, 1)",False
CHANDRAPUR,538.0095724055475,"(0, 1, 0)",False
DHULE,340.64983408282444,"(0, 1, 1)",False
GADCHIROLI,381.4298100568439,"(0, 1, 0)",False
GONDIA,126.4260286931261,"(0, 0, 1)",True
HINGOLI,97.0448349990869,"(0, 1, 0)",False
JALGAON,660.905212568338,"(0, 1, 0)",False
JALNA,302.8147192942956,"(0, 0, 1)",True
KOLHAPUR,369.75524579885723,"(0, 1, 1)",False
LATUR,300.53741643061045,"(0, 1, 1)",False
MUMBAI,1867.108280728306,"(1, 0, 0)",False
NAGPUR,1195.0397384401583,"(0, 1, 1)",False
NANDED,352.9490048151432,"(0, 1, 0)",True
NANDURBAR,732.7672725681286,"(1, 1, 0)",False
NASHIK,1001.3369063407181,"(0, 1, 0)",False
OSMANABAD,445.17502176110463,"(0, 1, 0)",False
PALGHAR,422.2488602708123,"(0, 1, 0)",False
PARBHANI,168.7566294994066,"(0, 1, 0)",False
PUNE,920.3300779598645,"(3, 0, 2)",True
RAIGAD,1093.1129370103538,"(0, 1, 1)",False
RATNAGIRI,112.30931056769401,"(0, 1, 1)",False
SANGLI,146.79918255903198,"(0, 1, 0)",False
SATARA,2111.1539906370563,"(0, 1, 1)",False
SINDHUDURG,69.48740893140281,"(0, 1, 0)",False
SOLAPUR,579.5790432371756,"(0, 1, 1)",False
THANE,1846.4684941801743,"(0, 1, 0)",False
WARDHA,180.9786236959409,"(0, 0, 1)",True
WASHIM,161.35488836722612,"(0, 1, 0)",False
YAVATMAL,387.2658941681106,"(0, 1, 1)",True
MUMBAI SUBURBAN,572.9275918988549,"(1, 0, 0)",False
