district,rmse,best_order,best_seasonal_order,stationary
AHMEDNAGAR,5666.622724339428,"(0, 0, 0)","(0, 0, 0, 12)",True
AKOLA,2296.0568370863825,"(0, 1, 1)","(0, 1, 0, 12)",False
AMRAVATI,747.642972984804,"(1, 0, 0)","(0, 0, 0, 12)",False
AURANGABAD,323.3892598754847,"(1, 1, 0)","(0, 0, 0, 12)",False
BEED,719.5292348075333,"(1, 0, 0)","(0, 0, 0, 12)",True
BHANDARA,306.39386416832826,"(0, 1, 0)","(0, 0, 0, 12)",False
BULDHANA,1047.2949585066156,"(0, 0, 1)","(0, 0, 1, 12)",False
CHANDRAPUR,659.9640079696895,"(1, 0, 0)","(0, 0, 0, 12)",True
DHULE,585.5478001807455,"(1, 0, 0)","(0, 0, 0, 12)",True
GADCHIROLI,825.6016024936793,"(0, 0, 1)","(0, 0, 1, 12)",True
GONDIA,112.92731734738028,"(1, 0, 0)","(0, 0, 0, 12)",True
HINGOLI,174.28023410587903,"(0, 1, 0)","(0, 0, 0, 12)",True
JALGAON,3818.2469719784895,"(0, 1, 1)","(0, 0, 0, 12)",False
JALNA,387.8016470402069,"(1, 0, 0)","(0, 0, 0, 12)",False
KOLHAPUR,1327.2704075878464,"(0, 1, 0)","(1, 1, 0, 12)",False
LATUR,470.3738364864513,"(1, 0, 0)","(1, 1, 0, 12)",False
MUMBAI,983.0012716166748,"(0, 1, 0)","(0, 1, 0, 12)",False
NAGPUR,313.41879316374616,"(0, 1, 1)","(0, 0, 0, 12)",False
NANDED,1342.3778321755437,"(1, 1, 0)","(2, 0, 0, 12)",True
NANDURBAR,513.8403448543137,"(0, 1, 0)","(0, 0, 0, 12)",False
NASHIK,824.9957876461074,"(0, 1, 1)","(0, 0, 0, 12)",False
OSMANABAD,369.9076911879503,"(0, 1, 0)","(0, 0, 0, 12)",False
PALGHAR,687.3159609743183,"(1, 0, 0)","(0, 0, 0, 12)",False
PARBHANI,506.77467635134815,"(1, 0, 0)","(0, 0, 1, 12)",True
PUNE,1619.1157750808666,"(1, 1, 0)","(0, 0, 0, 12)",True
RAIGAD,1161.3414526251515,"(1, 0, 0)","(0, 0, 0, 12)",False
RATNAGIRI,409.09229601828815,"(0, 1, 1)","(0, 0, 0, 12)",True
SANGLI,889.3065690196551,"(1, 1, 0)","(0, 0, 0, 12)",True
SATARA,409.41576763463496,"(2, 0, 1)","(1, 1, 0, 12)",False
SINDHUDURG,156.97567459143158,"(1, 0, 0)","(0, 0, 1, 12)",False
SOLAPUR,1446.9954690843563,"(0, 1, 0)","(1, 0, 0, 12)",False
THANE,2740.0673081957416,"(0, 1, 1)","(0, 0, 0, 12)",False
WARDHA,154.05440545366073,"(0, 1, 1)","(0, 0, 0, 12)",False
WASHIM,120.6457230595946,"(0, 1, 1)","(0, 1, 0, 12)",True
YAVATMAL,741.1750130704623,"(0, 1, 0)","(0, 0, 0, 12)",True
