district,date,actual,forecast_mean,forecast_std
AHMEDNAGAR,2020-07-01,6225.0,5658.771975607954,1181.4172685350004
AHMEDNAGAR,2020-08-01,6609.0,5658.745848714396,1182.0844312928155
AHMEDNAGAR,2020-09-01,7268.0,5658.646841763471,1182.533192619838
AHMEDNAGAR,2020-10-01,6799.0,5659.056467356197,1183.2120836260356
AHMEDNAGAR,2020-11-01,5248.0,5659.088729425155,1183.7946917596787
AHMEDNAGAR,2020-12-01,4923.0,5658.938346030846,1183.293287512246
AHMEDNAGAR,2021-01-01,4542.0,5658.405240780778,1182.4235123553233
AHMEDNAGAR,2021-02-01,4301.0,5657.818187755217,1180.9823038735105
AHMEDNAGAR,2021-03-01,3941.0,5657.9444645183185,1179.7396253376344
AKOLA,2020-07-01,1999,1633.3091717858274,1192.2882005058839
AKOLA,2020-08-01,1927,1656.8103649119275,1123.3949805990633
AKOLA,2020-09-01,2604,1711.6056325589923,799.4536548553721
AKOLA,2020-10-01,2342,1608.8097609144281,806.1827459350469
AKOLA,2020-11-01,2550,1537.8332853561453,806.4675304116038
AKOLA,2020-12-01,2513,1662.9536235495157,810.9832240346367
AKOLA,2021-01-01,2215,1645.5904484179048,815.5453144759596
AKOLA,2021-02-01,1967,1813.9767209657182,801.8445840656627
AKOLA,2021-03-01,2265,2021.5376679043284,802.9863784591612
AMRAVATI,2020-07-01,2772,3202.7481441832865,280.38712782297614
AMRAVATI,2020-08-01,3081,3223.599557308001,280.8825487529163
AMRAVATI,2020-09-01,3483,3240.97725048132,280.4631030071648
AMRAVATI,2020-10-01,3505,3252.1713377876486,280.9631127248548
AMRAVATI,2020-11-01,3484,3284.0334248878835,279.4565941796287
AMRAVATI,2020-12-01,3227,3301.819605675687,278.920423851026
AMRAVATI,2021-01-01,2783,3320.784447487023,278.8183829994512
AMRAVATI,2021-02-01,2216,3347.4308393712945,278.93650082462494
AMRAVATI,2021-03-01,2626,3375.957720808208,279.9918367768824
AURANGABAD,2020-07-01,5621,5559.5604653141345,271.7692166080345
AURANGABAD,2020-08-01,5821,5501.814059119892,269.9224887117121
AURANGABAD,2020-09-01,6050,5400.293866115376,270.9970567204198
AURANGABAD,2020-10-01,6041,5290.04701144734,270.2199001821611
AURANGABAD,2020-11-01,6010,5235.599425490034,270.1736164662023
AURANGABAD,2020-12-01,6373,5200.471674932471,269.8321955846723
AURANGABAD,2021-01-01,6136,5075.401868226689,271.447547497658
AURANGABAD,2021-02-01,5864,5063.917904762935,270.9074123970553
AURANGABAD,2021-03-01,5897,5091.59047024644,273.43421601973654
BEED,2020-07-01,2942.0,2258.671374865111,623.146921863053
BEED,2020-08-01,2934.0,2373.5512044406923,646.8184212157581
BEED,2020-09-01,2943.0,2405.086668972657,664.8958622600205
BEED,2020-10-01,3112.0,2484.6327884535426,679.8501484601283
BEED,2020-11-01,2812.0,2482.154955744193,703.0243119105245
BEED,2020-12-01,2752.0,2430.3831305281137,696.5509655160565
BEED,2021-01-01,2275.0,2419.41222911228,688.5714988547398
BEED,2021-02-01,2079.0,2258.5970595797794,665.7823409424161
BEED,2021-03-01,2382.0,2196.2329809919543,630.1153452528488
BHANDARA,2020-07-01,1119,1112.6123044164128,134.2731424852056
BHANDARA,2020-08-01,1256,1127.1415394491469,134.27349795186177
BHANDARA,2020-09-01,1297,1141.9403257513825,134.28805927543095
BHANDARA,2020-10-01,1524,1156.259306309647,134.2852917191182
BHANDARA,2020-11-01,1320,1170.837961054838,134.31309717233307
BHANDARA,2020-12-01,1448,1185.2406176127706,134.34690494406064
BHANDARA,2021-01-01,1100,1200.1244305964785,134.34485798711074
BHANDARA,2021-02-01,954,1214.321311465797,134.44303181150332
BHANDARA,2021-03-01,1076,1229.8057196514958,134.41809066499002
BULDHANA,2020-07-01,1172,1142.7349259791497,173.5210078722869
BULDHANA,2020-08-01,1332,1153.0169330806182,173.54940617896304
BULDHANA,2020-09-01,1442,1135.7376358776005,168.7955076270247
BULDHANA,2020-10-01,1664,1118.3008321797997,168.8458316602345
BULDHANA,2020-11-01,1582,1096.2874633370159,170.13680323172787
