district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
AHMEDNAGAR,1147.8917736591918,-297.09870947534046,"[0.00017421912766629884, 0.00010222662024676909, 0.0003786744861175561, -0.00021294721029726103]","[0.010292224337625017, 0.010291754452258777, 0.010290943799002635, 0.010290704895198274]",5655.984167205548,,12999151914.745718,0,500
AKOLA,640.7153487693882,-277.42700790495263,"[-0.27759440073900765, -0.2879670518634392, 0.07277678726211659, -0.009095091977428818]","[0.15259352324277814, 0.15643886194055093, 0.19675727992621367, 0.21676081988662904]",57.4878743600351,,8546018.880314564,1,500
AMRAVATI,527.6515037805817,-239.70305211230084,"[-0.007606445821520719, 0.0030314872396111966, -0.0031261340615487817, -0.01800039981108491]","[0.04252063062931969, 0.04250811006620522, 0.04261123036776248, 0.042576761209330814]",24.37858214064764,,40411715.267187946,1,500
AURANGABAD,780.3066436021064,-239.59520508946156,"[-0.22802584445111077, -0.04801194487892865, 0.006987119479700703, 0.017475800494907157]","[0.11948393417880641, 0.12353722062765249, 0.12142706548521956, 0.11793115598650072]",-47.72386969929161,,2523111.4733394803,1,500
BEED,442.6982640856653,-264.1407739602585,"[0.2171443244509102, 0.0684702810123648, 0.13746733460737998, -0.07034857707964622]","[0.12034162883958527, 0.12173035763030711, 0.1176314615356453, 0.11359226757083533]",1408.5301350638374,,5760512.915745651,0,500
BHANDARA,202.39184189262562,-214.8448019199257,"[-0.0005933900820394952, -0.0008114357627058706, 0.0009012382528155606, -0.001675029211066825]","[0.014850023055309405, 0.01485063913531922, 0.014850835371515535, 0.014849677793268685]",14.658329132881564,,81125423.26312457,1,500
BULDHANA,335.927303700486,-222.98727351348748,"[-0.08447610585665564, -0.0506408284928104, 0.003014876067364033, 0.022154967047837724]","[0.0877370098756473, 0.08809716255351273, 0.09084782928604675, 0.09060266019231174]",0.9200839718632436,,2672107.7840833403,1,500
CHANDRAPUR,363.02410975163315,-242.87398464826603,"[0.4754338911321403, 0.08401381160931491, -0.23002628566467753, -0.11717151496094863]","[0.14607697332235026, 0.1583059808119647, 0.1581859850954064, 0.1390208230914428]",1337.1224094988072,,523964.75663099275,0,500
DHULE,337.5797859438996,-247.1419609253239,"[0.024454924530857933, 0.0028575816183715984, -0.024835258914675015, -0.026351561455644844]","[0.05786613652853339, 0.05772012184962978, 0.05738433455809367, 0.05721305388975692]",1643.7965924522434,,20648829.291696873,0,500
GADCHIROLI,174.88258180702795,-233.15458264278007,"[0.5824014731526628, -0.17570458578556478, 0.04891582547372661, -0.14534415666530714]","[0.15205634752964453, 0.17583563583490852, 0.1779385691327046, 0.15051110036339507]",943.3826700053509,,232794.97515649468,0,500
