district,date,actual,forecast_mean,forecast_std
AHMEDNAGAR,2020-07-01,40.0,43.936148345292025,10.98703662513202
AHMEDNAGAR,2020-08-01,55.0,43.93343892632446,10.987041995461569
AHMEDNAGAR,2020-09-01,36.0,43.9937831389724,11.017748195599205
AHMEDNAGAR,2020-10-01,82.0,43.93134686013917,11.017671104894543
AHMEDNAGAR,2020-11-01,49.0,44.11751720203095,11.099972961937382
AHMEDNAGAR,2020-12-01,36.0,43.988065332778845,11.112328740729843
AHMEDNAGAR,2021-01-01,45.0,43.99168777219649,11.085127577587652
AHMEDNAGAR,2021-02-01,28.0,44.041743307647785,11.096516751615649
AHMEDNAGAR,2021-03-01,28.0,43.91410516667132,11.002858454593087
AKOLA,2020-07-01,34.0,45.40610425128432,12.679691853921847
AKOLA,2020-08-01,45.0,44.6192556161188,12.68710047304304
AKOLA,2020-09-01,54.0,45.69657388344135,12.781596236212913
AKOLA,2020-10-01,48.0,48.289136220071796,13.205992265034668
AKOLA,2020-11-01,39.0,48.65698277870405,13.44339358709643
AKOLA,2020-12-01,33.0,46.932164304722704,13.563048014384185
AKOLA,2021-01-01,31.0,45.05204802227307,13.330665103881241
AKOLA,2021-02-01,26.0,43.76526026886167,12.669906769648327
AKOLA,2021-03-01,33.0,42.539832556526534,12.060049457063792
AMRAVATI,2020-07-01,62.0,57.71424945145951,13.370725076064947
AMRAVATI,2020-08-01,70.0,60.721322709182566,14.081303021596577
AMRAVATI,2020-09-01,98.0,66.27282944169664,15.02039069383814
AMRAVATI,2020-10-01,55.0,76.45023858784162,17.353480673380044
AMRAVATI,2020-11-01,45.0,64.82871078341827,16.61341642836247
AMRAVATI,2020-12-01,54.0,42.480426911401295,16.498212186260165
AMRAVATI,2021-01-01,41.0,51.02321146842087,17.556380461054268
AMRAVATI,2021-02-01,32.0,54.23341699111723,13.451816620274645
AMRAVATI,2021-03-01,43.0,46.075344141748865,12.602177587395097
AURANGABAD,2020-07-01,53,63.60034947500223,14.62961198375584
AURANGABAD,2020-08-01,74,64.25245308504849,14.629729493035462
AURANGABAD,2020-09-01,76,64.83698184414811,14.62358111048203
AURANGABAD,2020-10-01,56,65.4662475100045,14.623600870737372
AURANGABAD,2020-11-01,57,66.10500629977825,14.625754581968172
AURANGABAD,2020-12-01,71,66.72176008398277,14.625150143280383
AURANGABAD,2021-01-01,69,67.32438586578108,14.62365024333976
AURANGABAD,2021-02-01,40,67.94204044494744,14.62365021551334
AURANGABAD,2021-03-01,40,68.59700212702576,14.626348616145211
BEED,2020-07-01,30.0,24.976030205842786,11.628806282525025
BEED,2020-08-01,30.0,26.93470730910067,11.253439225425902
BEED,2020-09-01,33.0,28.319366907910734,11.441747270619777
BEED,2020-10-01,16.0,28.241217992524966,11.44659225621823
BEED,2020-11-01,18.0,22.706219581326046,11.316344228712175
BEED,2020-12-01,11.0,22.018574937767404,11.177490815951272
BEED,2021-01-01,19.0,21.78275361009345,10.975660389604386
BEED,2021-02-01,11.0,23.75587295920566,10.579971969023646
BEED,2021-03-01,14.0,22.356273947472086,10.510000380926042
BHANDARA,2020-07-01,19.0,18.541506214813342,6.3001055982798695
BHANDARA,2020-08-01,22.0,18.729665893484952,6.439450320882009
BHANDARA,2020-09-01,28.0,19.20088358512929,6.555191916204878
BHANDARA,2020-10-01,22.0,20.037196715243432,6.816962096998018
BHANDARA,2020-11-01,25.0,19.681355993018627,6.912928223776901
BHANDARA,2020-12-01,28.0,19.72295963357984,7.041641999818823
BHANDARA,2021-01-01,19.0,19.971682742105095,7.19462036419896
BHANDARA,2021-02-01,19.0,19.341689732951924,6.978257806323238
BHANDARA,2021-03-01,21.0,18.86651685854792,6.932062366079449
BULDHANA,2020-07-01,31,26.422366178670664,7.3123923836314155
BULDHANA,2020-08-01,25,23.817429039481556,7.305824799256529
BULDHANA,2020-09-01,17,27.06266919472668,7.308357159244549
BULDHANA,2020-10-01,19,28.436527471337335,7.451945233462957
BULDHANA,2020-11-01,24,28.044809120988585,7.446397426259984
BULDHANA,2020-12-01,19,29.112555934968285,7.454777807889237
BULDHANA,2021-01-01,18,31.736574767204278,7.396944524704588
BULDHANA,2021-02-01,24,30.466197369817504,7.322390939486732
BULDHANA,2021-03-01,20,29.08771056844499,7.3582571025815975
CHANDRAPUR,2020-07-01,41.0,42.89601623159892,8.750571720020579
CHANDRAPUR,2020-08-01,37.0,42.89394756701986,8.755687067264331
CHANDRAPUR,2020-09-01,44.0,42.88053030364261,8.760251383186006
CHANDRAPUR,2020-10-01,67.0,42.88498837814001,8.763171128614381
CHANDRAPUR,2020-11-01,47.0,42.91409052508961,8.786016649787982
CHANDRAPUR,2020-12-01,35.0,42.90194676850355,8.790523858569381
CHANDRAPUR,2021-01-01,23.0,42.86957551290158,8.78926320715403
CHANDRAPUR,2021-02-01,19.0,42.84403559019779,8.777136551936984
CHANDRAPUR,2021-03-01,27.0,42.85339145195818,8.741416002630729
DHULE,2020-07-01,24.0,16.024492752833545,13.864483533643753
DHULE,2020-08-01,31.0,19.46067620770645,14.008295120730493
DHULE,2020-09-01,27.0,23.274372442021104,14.199147777455181
DHULE,2020-10-01,50.0,23.201143774224363,14.269798568263722
DHULE,2020-11-01,25.0,31.895964746148575,15.00275396384752
DHULE,2020-12-01,33.0,25.1006118854622,14.991019614329328
DHULE,2021-01-01,34.0,32.79341811388039,15.035282186983723
DHULE,2021-02-01,47.0,31.40855480480256,15.057187123743175
DHULE,2021-03-01,44.0,31.59304062648438,14.962110869128955
GADCHIROLI,2020-07-01,46.0,29.921770900627482,9.434339690769328
GADCHIROLI,2020-08-01,44.0,33.28106293299237,10.187424039632305
GADCHIROLI,2020-09-01,44.0,34.730201631743675,10.575093485999975
GADCHIROLI,2020-10-01,41.0,33.589708920948524,11.054032710937792
GADCHIROLI,2020-11-01,40.0,31.867087650262995,11.391631683334989
GADCHIROLI,2020-12-01,35.0,31.595437688650613,11.195784444498308
GADCHIROLI,2021-01-01,26.0,30.822231587191233,10.91168935406127
GADCHIROLI,2021-02-01,25.0,29.225070755841656,10.380044062774296
GADCHIROLI,2021-03-01,17.0,28.52555438679544,9.980942625671604
GONDIA,2020-07-01,23.0,20.661400208629683,6.491943971792109
GONDIA,2020-08-01,21.0,21.34931822328871,6.620575095281387
GONDIA,2020-09-01,28.0,21.560280273183437,6.716272649724616
GONDIA,2020-10-01,39.0,22.49470664311871,7.071527187933396
GONDIA,2020-11-01,30.0,24.287514485704754,7.724299111667444
GONDIA,2020-12-01,23.0,23.947295647828867,7.873695985308981
GONDIA,2021-01-01,17.0,22.87035299641611,7.907480668230093
GONDIA,2021-02-01,14.0,20.946431597982915,7.7066613470993275
GONDIA,2021-03-01,16.0,20.04105807058944,6.956753588646411
HINGOLI,2020-07-01,12.0,11.444301567640668,5.061984336579147
HINGOLI,2020-08-01,19.0,12.48054374133153,5.19884835961519
HINGOLI,2020-09-01,14.0,14.454378874731429,5.456524926652098
HINGOLI,2020-10-01,20.0,14.849739055979535,5.362177262596461
HINGOLI,2020-11-01,12.0,15.733733788803228,5.731311998084816
HINGOLI,2020-12-01,13.0,12.554229495560115,5.720970330361099
HINGOLI,2021-01-01,8.0,13.393234731337177,5.528780385021913
HINGOLI,2021-02-01,12.0,10.775986785910543,5.449436590776851
