district,rmse,seasonal_periods,box_cox_used,arma_errors_used
AHMEDNAGAR,15.505437090226295,None,False,False
AKOLA,7.909961109364242,None,False,False
AMRAVATI,18.852219102990105,None,True,True
AURANGABAD,13.87493301721926,None,False,False
BEED,11.55517719883649,None,True,False
BHANDARA,5.292560266223312,None,True,False
AHMEDNAGAR,15.505437090226295,None,False,False
AKOLA,7.909961109364242,None,False,False
AMRAVATI,18.852219102990105,None,True,True
AURANGABAD,13.87493301721926,None,False,False
BEED,11.55517719883649,None,True,False
BHANDARA,5.292560266223312,None,True,False
BULDHANA,6.814178969662912,None,False,False
CHANDRAPUR,13.87832507018645,None,True,False
DHULE,22.347386514466972,None,True,False
GADCHIROLI,10.357994647394495,None,False,True
GONDIA,10.277773474433596,None,False,False
HINGOLI,4.430381719257294,None,False,True
JALGAON,15.110049297853116,None,False,False
JALNA,5.139870475688574,None,True,False
KOLHAPUR,7.730465007354542,None,False,False
LATUR,15.14982461782473,None,False,True
MUMBAI,45.29752244276626,None,False,False
NAGPUR,20.622659339988367,None,False,True
NANDED,10.078453993293454,None,True,False
NANDURBAR,11.94866813326256,None,False,True
NASHIK,19.838929831700572,None,False,False
OSMANABAD,6.486947249175235,None,False,False
PALGHAR,9.543143293906855,None,False,False
PARBHANI,6.841699265136509,None,True,False
PUNE,39.40313579398911,None,False,False
RAIGAD,8.471186211319218,None,False,False
RATNAGIRI,5.884242020605018,None,False,False
SANGLI,9.43745435823455,None,False,False
SATARA,7.436638623426606,None,False,False
SINDHUDURG,2.6251020533702003,None,False,False
SOLAPUR,23.8505029271856,None,False,False
THANE,21.271827428103496,None,True,False
WARDHA,3.7678946871461325,None,False,False
WASHIM,4.029324715310926,None,False,True
YAVATMAL,5.912421533509251,None,True,False
MUMBAI SUBURBAN,22.12593714185195,None,False,False
