district,rmse,r_squared,best_params,differencing
AHMEDNAGAR,871.1161924324452,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
AKOLA,751.0299111471139,0.31102011618319314,"{'n_neighbors': 7, 'weights': 'uniform'}",1
AMRAVATI,435.70551827648814,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
AURANGABAD,691.9083954608374,0.1080166762120236,"{'n_neighbors': 9, 'weights': 'uniform'}",1
BEED,382.28776796597873,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
BHANDARA,257.53080523746763,0.07850407424338568,"{'n_neighbors': 7, 'weights': 'uniform'}",1
BULDHANA,325.82896705945944,0.044899862704613214,"{'n_neighbors': 9, 'weights': 'uniform'}",1
CHANDRAPUR,431.76635962104723,0.4389957355371392,"{'n_neighbors': 9, 'weights': 'uniform'}",0
DHULE,355.0793526335581,0.18236585254163296,"{'n_neighbors': 5, 'weights': 'uniform'}",0
GADCHIROLI,162.55181468750533,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",0
GONDIA,195.74101054678488,0.39057418186076254,"{'n_neighbors': 3, 'weights': 'uniform'}",0
HINGOLI,136.72384370594025,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",0
JALGAON,3996.7480294233696,0.09007066783923345,"{'n_neighbors': 9, 'weights': 'uniform'}",1
JALNA,607.5261124628826,0.11926916921313047,"{'n_neighbors': 7, 'weights': 'uniform'}",1
KOLHAPUR,2807.138303128462,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",1
LATUR,556.412831458131,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",1
MUMBAI,1781.4432198580541,0.006573667591177501,"{'n_neighbors': 7, 'weights': 'uniform'}",1
NAGPUR,850.7663284821588,0.48355321665987383,"{'n_neighbors': 3, 'weights': 'uniform'}",1
NANDED,959.4430428018917,0.5319358953170967,"{'n_neighbors': 7, 'weights': 'uniform'}",0
NANDURBAR,416.80360383530274,0.14135815789288841,"{'n_neighbors': 9, 'weights': 'uniform'}",1
NASHIK,959.8838035882792,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
OSMANABAD,364.03914541227067,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",1
PALGHAR,582.5453702224635,0.05109218117677394,"{'n_neighbors': 9, 'weights': 'uniform'}",1
PARBHANI,469.05241811572336,1.0,"{'n_neighbors': 5, 'weights': 'distance'}",0
PUNE,1615.7733843672604,0.38884841546090987,"{'n_neighbors': 9, 'weights': 'uniform'}",0
RAIGAD,2080.4691702714395,0.1610697625006149,"{'n_neighbors': 9, 'weights': 'uniform'}",1
RATNAGIRI,464.2269072113939,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
SANGLI,851.6367151498606,1.0,"{'n_neighbors': 5, 'weights': 'distance'}",0
SATARA,1052.1740127243686,1.0,"{'n_neighbors': 5, 'weights': 'distance'}",1
SINDHUDURG,99.87055407884978,0.08039435904822556,"{'n_neighbors': 9, 'weights': 'uniform'}",1
SOLAPUR,1724.5867400731925,0.13533544436398104,"{'n_neighbors': 7, 'weights': 'uniform'}",1
THANE,3416.947497071331,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
WARDHA,343.61436817921975,-0.013689890822185857,"{'n_neighbors': 9, 'weights': 'uniform'}",1
WASHIM,137.80313042774745,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
YAVATMAL,499.40940428311904,0.21982641042067697,"{'n_neighbors': 9, 'weights': 'uniform'}",0
