district,rmse,r_squared,best_params,differencing,best_iteration,feature_importances
AHMEDNAGAR,563.6044655767239,0.18705568775991988,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0,11,"[0.17838272274664485, 0.6032423171829773, 0.21837496007037788]"
AKOLA,279.02563379979574,0.21258350377563406,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,28,"[0.2801885695701674, 0.2804304936019461, 0.4393809368278865]"
AMRAVATI,476.50360615523533,0.28880805407646803,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,23,"[0.4526597040670454, 0.17188710066884064, 0.37545319526411386]"
AURANGABAD,426.27306377575337,0.17649228100622394,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,17,"[0.16314998582327048, 0.3149178435679773, 0.5219321706087523]"
BEED,384.30254017585173,0.16490467643049356,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,16,"[0.5139700212154014, 0.1832857647132044, 0.3027442140713942]"
BHANDARA,209.75298781427136,0.1300675566426116,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",1,11,"[0.5050472765108317, 0.2696453755738762, 0.22530734791529217]"
BULDHANA,433.4407641191665,0.294302023302351,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,38,"[0.18297963402136602, 0.6253960451307246, 0.19162432084790934]"
CHANDRAPUR,327.1495099236932,0.7611842639040969,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0,11,"[0.6343103017932918, 0.02203138658534855, 0.3436583116213595]"
DHULE,417.471923554764,0.49415768130258964,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0,37,"[0.5461714690138576, 0.21703663325895284, 0.23679189772718964]"
GADCHIROLI,453.27895013517474,0.6279800732828156,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",1,19,"[0.43610085176284635, 0.2277166505963324, 0.33618249764082125]"
GONDIA,179.40016799403398,0.2614842740717518,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,25,"[0.705890241879356, 0.16128534036589487, 0.1328244177547491]"
HINGOLI,121.01319514507774,0.22757542819534404,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,17,"[0.3802194108535416, 0.3403011801432382, 0.2794794090032202]"
JALGAON,612.559054364139,0.3772641578975948,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,33,"[0.4045847750404653, 0.3807419716484769, 0.21467325331105783]"
JALNA,284.1334467437051,0.8816292004453838,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0,18,"[0.5114047500150078, 0.2708870138159767, 0.21770823616901558]"
KOLHAPUR,477.12487219915585,0.7154475970954886,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,15,"[0.4692296366229422, 0.2036659260970215, 0.3271044372800363]"
LATUR,320.00806562977607,0.11419098058787902,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,14,"[0.34922269946173085, 0.5093241485123644, 0.14145315202590475]"
MUMBAI,4332.778701348808,0.17676462427799589,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",1,11,"[0.4522535268717642, 0.05696024140036029, 0.4907862317278755]"
NAGPUR,1259.854103062252,0.4544419845604316,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,60,"[0.5566907282057917, 0.30315344463658217, 0.14015582715762614]"
NANDED,482.1600393688012,0.6196088377720982,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,11,"[0.4430897849394724, 0.2673987801264034, 0.28951143493412423]"
NANDURBAR,332.72364666179453,0.6974945784254454,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0,11,"[0.4942561089898146, 0.1910976767558277, 0.31464621425435774]"
NASHIK,600.7598734371005,0.5461754158489054,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,72,"[0.5996906235568473, 0.10250331494664962, 0.297806061496503]"
OSMANABAD,237.22993369940946,0.7185233538180542,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",0,100,"[0.37029373446980185, 0.3094460456777048, 0.3202602198524934]"
PALGHAR,499.22411905491924,0.6643226307501418,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,100,"[0.5577028917627782, 0.25441764846731163, 0.18787945976991022]"
PARBHANI,344.2505739351107,0.1492855176920227,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0,11,"[0.42594344887403823, 0.06403604732381016, 0.5100205038021515]"
PUNE,1332.6293869986305,0.6399874965808936,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,100,"[0.35262238929184464, 0.09828029842135297, 0.5490973122868024]"
RAIGAD,695.9460350735926,0.17830452293650112,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,20,"[0.6673859439622235, 0.17723742013225527, 0.15537663590552117]"
RATNAGIRI,334.9170371630603,0.6902353390271845,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,100,"[0.3491183658824477, 0.31507445529803163, 0.33580717881952066]"
SANGLI,311.14555057365254,0.7872407079475618,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",0,23,"[0.3812373402787892, 0.2815426238142908, 0.33722003590691996]"
SATARA,487.4794000925529,0.1725679517906633,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0,11,"[0.4316229357173839, 0.3612508673216866, 0.20712619696092963]"
SINDHUDURG,102.09194896791797,0.07213938459801639,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,11,"[0.22158877891694115, 0.6411207326740602, 0.13729048840899857]"
SOLAPUR,598.6639995557646,0.5983915328074343,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 0.8}",0,11,"[0.4716630369645458, 0.26728582495364517, 0.26105113808180896]"
THANE,1409.3718615841344,0.8115960884806782,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0,100,"[0.4349808759963339, 0.3567875403193138, 0.2082315836843524]"
WARDHA,181.60448161417798,0.5666123260796669,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,94,"[0.5581284694177361, 0.006135817257609567, 0.4357357133246544]"
WASHIM,151.14999057795123,0.6894315055763567,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0,26,"[0.32778324242016826, 0.3736619314194268, 0.2985548261604051]"
YAVATMAL,280.99637349517786,0.5532973264095673,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 1.0}",0,11,"[0.2661861436700933, 0.12122695244212203, 0.6125869038877847]"
MUMBAI SUBURBAN,186.1704794332092,0.9862348040157213,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,26,"[0.5212399800324424, 0.2625183039990788, 0.21624171596847866]"
