district,rmse,r_squared,params,differencing
AHMEDNAGAR,86.56144499650114,0.2577914521674668,"{'const': 235.67657836377737, 'lag_1': 0.5170849198361731, 'lag_2': -0.034073139527061314, 'lag_3': 0.014128309299823949}",0
AKOLA,62.94815424541395,0.019075022082019277,"{'const': 461.2308327808144, 'lag_1': 0.09984917757047806, 'lag_2': -0.03219053298613195, 'lag_3': -0.0868313325043093}",0
AMRAVATI,435.7213340253899,0.2594150966171076,"{'const': -15.858518396397905, 'lag_1': -0.5145186313760646, 'lag_2': -0.0019255629685376863, 'lag_3': 0.018980783347091912}",1
AURANGABAD,330.87434699494884,0.008414961363370166,"{'const': -7.84407622358167, 'lag_1': -0.08389857252263816, 'lag_2': 0.01656283318741919, 'lag_3': -0.023880400734551346}",1
BEED,71.38752974821087,0.11831531569904563,"{'const': 205.68047108698136, 'lag_1': 0.2692737090564794, 'lag_2': 0.025646684302814332, 'lag_3': 0.1629541822719977}",0
BHANDARA,55.46523793723598,0.4115521967379071,"{'const': 147.9570942859728, 'lag_1': 0.7167574685065501, 'lag_2': -0.10962456526174802, 'lag_3': -0.1055996795480561}",0
BULDHANA,43.764660665532816,0.39822824752788744,"{'const': 158.26946561567073, 'lag_1': 0.4235398808160009, 'lag_2': 0.3753772037964531, 'lag_3': -0.4847476004742053}",0
CHANDRAPUR,221.26340484643242,0.029451065449221048,"{'const': -4.093457679974456, 'lag_1': -0.1188369115002919, 'lag_2': -0.04234866095790339, 'lag_3': -0.07548126513467424}",1
DHULE,108.2520297560331,0.22137090338390897,"{'const': 226.1743920065731, 'lag_1': 0.5110422248723053, 'lag_2': -0.09643364773436541, 'lag_3': -0.028865582860970324}",0
GADCHIROLI,86.39300347128462,0.015567833405348508,"{'const': -0.09018139682090154, 'lag_1': 0.10507732521206486, 'lag_2': 0.057345460944801446, 'lag_3': -0.02638558970992494}",1
GONDIA,158.7693566272502,0.23766697816450033,"{'const': -1.0522517710364063, 'lag_1': -0.546953977065806, 'lag_2': -0.25551834274808966, 'lag_3': -0.07574516745268958}",1
HINGOLI,91.39145723778499,0.29790080381687767,"{'const': 94.39677244885166, 'lag_1': 0.6132253781647607, 'lag_2': -0.3762215284119202, 'lag_3': 0.20528720595786268}",0
JALGAON,117.66379145816946,0.29914248117774,"{'const': 109.9196513481661, 'lag_1': 0.2627097669219573, 'lag_2': 0.3660498888739859, 'lag_3': 0.01633044313552509}",0
JALNA,49.19956556740582,0.12286902248906728,"{'const': 135.76358513568593, 'lag_1': 0.25633621818142804, 'lag_2': 0.01854724953758735, 'lag_3': 0.20204648583310347}",0
KOLHAPUR,87.01497737819109,0.04109808825818706,"{'const': 295.64438905356155, 'lag_1': 0.14044024120415743, 'lag_2': 0.12195396507412448, 'lag_3': -0.044499028928373985}",0
LATUR,112.03704520047314,0.13185863020043964,"{'const': 173.32416354978506, 'lag_1': 0.31127623792564396, 'lag_2': -0.06785676571860932, 'lag_3': 0.17003386749231703}",0
MUMBAI,224.01019494008858,0.03134153274595197,"{'const': -25.021353367930704, 'lag_1': -0.06337348738444784, 'lag_2': 0.14520874376461776, 'lag_3': 0.1253054563203468}",1
NAGPUR,195.03299027262292,0.38190514148329846,"{'const': 435.4656864411742, 'lag_1': 0.5341684309311405, 'lag_2': 0.25040199186369577, 'lag_3': -0.316921925827166}",0
NANDED,67.43016098567576,0.3806842956422497,"{'const': 290.46898233357837, 'lag_1': 0.5489776752743056, 'lag_2': -0.0019480041636011913, 'lag_3': -0.2924468030553742}",0
NANDURBAR,55.391401523668605,0.4810597581265349,"{'const': 194.33549772623198, 'lag_1': 0.7293624494802549, 'lag_2': 0.021553440515054367, 'lag_3': -0.1770803711174234}",0
