district,rmse,r_squared,best_params,differencing,feature_importances
AHMEDNAGAR,715.4813232984415,0.9999999697875935,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.30444887068148946, 0.19159636383335787, 0.17007614210810465, 0.1002229123659455, 0.11230159112221376, 0.12135411988888886]"
AKOLA,2557.7504984974366,0.9999985992363241,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.3027699269255209, 0.1427207129421121, 0.260288030926469, 0.07605022322229454, 0.07685686280905496, 0.1413142431745485]"
AMRAVATI,498.3826909726212,0.9999998853613769,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.1718929566363468, 0.15102752499969951, 0.11374821333680477, 0.3088199196382988, 0.12012503763959355, 0.13438634774925662]"
AURANGABAD,767.3289001175152,0.9999999916173831,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.32539888141166035, 0.1267274541614799, 0.1482331830472791, 0.08867677968339979, 0.14421571825218255, 0.16674798344399838]"
BEED,499.17787461262526,0.9999999995547866,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.25584057062223664, 0.09176105369638494, 0.16377562268609092, 0.11384124740641349, 0.21979533762173997, 0.154986167967134]"
BHANDARA,252.0706805695136,0.9999999353409781,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.1687343498330879, 0.208565035237245, 0.1834027953030625, 0.1492418939617298, 0.16977358967193457, 0.1202823359929402]"
BULDHANA,365.4356662563497,0.9999999625823488,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.2227295944171026, 0.20537438634358307, 0.12928485539327644, 0.07459989211096416, 0.2738682221375327, 0.09414304959754098]"
CHANDRAPUR,417.44975592212825,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.35467332815953106, 0.11415416635812185, 0.1493931407598762, 0.11920690784240534, 0.12368692326287206, 0.13888553361719358]"
DHULE,355.72799135481785,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.1119029623121885, 0.12877113316570446, 0.09702714704729874, 0.14916631193670912, 0.1753750671694965, 0.33775737836860265]"
GADCHIROLI,181.05491057810184,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2968844750917341, 0.08369005810688729, 0.06265440035721732, 0.09832731530812135, 0.13470651974072015, 0.32373723139531996]"
GONDIA,216.61151441001468,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.1673140518040032, 0.1588207211588289, 0.19733384541234744, 0.1447331369638545, 0.2444740838606913, 0.08732416080027465]"
HINGOLI,107.98366548284568,0.999999999334636,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.4292238812101432, 0.1023394493924563, 0.14481004601285358, 0.06584786216885712, 0.10708476104339207, 0.15069400017229773]"
JALGAON,4039.999378712479,0.9999999123001596,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.17592876527041162, 0.14244922678269412, 0.17430600697948895, 0.2385952091811299, 0.1555141278844795, 0.11320666390179608]"
JALNA,596.3251587431139,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.35075943189260367, 0.17675642462236577, 0.1264035965835625, 0.09719321782312777, 0.1594064758020641, 0.08948085327627622]"
KOLHAPUR,6114.080184091244,0.9999998286805764,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.13935745387996498, 0.11174909216926174, 0.312662225524179, 0.05177224764760912, 0.11453913202492506, 0.26991984875406017]"
LATUR,450.7690647351726,0.9999997803792621,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.2019933703395869, 0.20986232039108377, 0.1020153299844111, 0.1253023896692857, 0.1944309896749694, 0.16639559994066316]"
MUMBAI,1460.3556625195035,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.1529899814272509, 0.335450190886734, 0.13962324041144064, 0.13522715967972745, 0.10810881782476708, 0.12860060977007987]"
NAGPUR,680.4749890318649,0.9999999630708261,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.2754476172635762, 0.09309994617335884, 0.09387938194186105, 0.1208639948681451, 0.29643081781313063, 0.12027824193992821]"
NANDED,899.9014282733043,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.464708442797622, 0.13906591970296128, 0.13327656461731732, 0.09285963690062686, 0.08511827000265416, 0.08497116597881837]"
NANDURBAR,301.7415710378024,0.9999999979128236,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.17868851269906752, 0.13890477727568112, 0.1520825708259084, 0.20839997339276994, 0.17307727719069615, 0.14884688861587697]"
NASHIK,1630.0785031521918,0.999999747835048,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.14181750107118893, 0.15351448207371038, 0.12315576289181894, 0.36171472208867617, 0.13154598908574822, 0.08825154278885733]"
OSMANABAD,298.7007828868585,0.9999999998328148,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.15775655256854562, 0.16875545176776188, 0.21578594127700082, 0.1245630475861275, 0.1426639463209584, 0.19047506047960572]"
PALGHAR,680.6744851575123,0.9999999893451457,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.12527237693508353, 0.24477626658022195, 0.1418791418143982, 0.1781773458034962, 0.12095461744236409, 0.18894025142443588]"
PARBHANI,457.5593547760285,0.9999998115570696,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.31667732563402345, 0.14124367033043236, 0.17945844984635845, 0.11834196260659934, 0.13230974266359707, 0.11196884891898928]"
PUNE,2028.9278669143628,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.4550438617128819, 0.09842837348271488, 0.12109845049588767, 0.13137510363308375, 0.09929503882642352, 0.09475917184900838]"
RAIGAD,1773.4604877824552,0.9999999268446423,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.20479426605809378, 0.19374375245601222, 0.14141288639494806, 0.16124157405517753, 0.1447450157403223, 0.15406250529544596]"
RATNAGIRI,451.74415015889,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.3119769167319716, 0.08281945879966165, 0.18734864804173015, 0.1346903802063281, 0.15367361746185795, 0.12949097875845073]"
SANGLI,820.0387679521282,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2455693277847034, 0.23051425006509627, 0.1276059069360321, 0.1266460697239255, 0.12371250017315648, 0.14595194531708625]"
SATARA,647.423870985788,0.9999999624250714,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.19103090401591122, 0.1849115013309875, 0.14826541088874748, 0.21097919439723614, 0.16034396823463226, 0.10446902113248537]"
