district,rmse,best_order,best_seasonal_order,stationary
AHMEDNAGAR,44.6557066472679,"(0, 0, 1)","(0, 0, 0, 12)",True
AKOLA,7.486620323610502,"(0, 1, 1)","(1, 0, 0, 12)",True
AMRAVATI,18.42457981495186,"(1, 0, 0)","(1, 0, 0, 12)",True
AURANGABAD,13.379973798662117,"(1, 0, 1)","(2, 0, 0, 12)",False
BEED,6.2590976855446545,"(1, 0, 0)","(0, 0, 0, 12)",True
BHANDARA,10.944105419290528,"(1, 0, 0)","(1, 0, 0, 12)",True
BULDHANA,4.1857322400668435,"(2, 0, 0)","(0, 0, 0, 12)",False
CHANDRAPUR,24.948774081851433,"(0, 0, 0)","(0, 0, 1, 12)",True
DHULE,25.97518342049589,"(1, 0, 1)","(0, 0, 0, 12)",True
GADCHIROLI,15.792316789123435,"(1, 0, 0)","(0, 0, 1, 12)",True
GONDIA,6.080568865670779,"(0, 0, 1)","(1, 0, 0, 12)",True
HINGOLI,6.808063016620733,"(1, 0, 0)","(0, 0, 1, 12)",True
JALGAON,8.682596147420341,"(1, 0, 0)","(0, 0, 0, 12)",True
JALNA,5.901063222974395,"(1, 0, 0)","(0, 0, 0, 12)",True
KOLHAPUR,13.695313448572502,"(1, 0, 0)","(1, 0, 0, 12)",True
LATUR,28.18835212146243,"(0, 0, 1)","(0, 0, 0, 12)",True
MUMBAI,79.27641204817108,"(0, 0, 0)","(1, 1, 0, 12)",False
NAGPUR,19.742797713486237,"(3, 0, 1)","(0, 0, 0, 12)",True
NANDED,9.886469685153434,"(0, 1, 1)","(0, 0, 0, 12)",False
NANDURBAR,10.599239934277868,"(0, 0, 1)","(2, 0, 0, 12)",True
NASHIK,19.198619340117205,"(1, 0, 0)","(0, 0, 1, 12)",True
OSMANABAD,6.475899387200295,"(0, 1, 1)","(0, 0, 0, 12)",True
PALGHAR,9.593615276220676,"(1, 0, 0)","(0, 0, 0, 12)",False
PARBHANI,7.195012443052806,"(1, 0, 0)","(0, 0, 0, 12)",True
PUNE,15.381942811694922,"(0, 1, 1)","(0, 0, 0, 12)",False
RAIGAD,7.574997856869709,"(1, 1, 0)","(0, 0, 0, 12)",True
RATNAGIRI,11.233881443210219,"(0, 0, 0)","(0, 0, 1, 12)",True
SANGLI,24.07351516853165,"(0, 0, 1)","(0, 0, 0, 12)",True
SATARA,6.664890273401732,"(2, 0, 0)","(0, 0, 1, 12)",True
SINDHUDURG,6.640783086353597,"(0, 0, 0)","(0, 0, 0, 12)",True
SOLAPUR,24.27138232569377,"(0, 0, 0)","(0, 0, 0, 12)",False
THANE,14.80625007064356,"(1, 0, 0)","(0, 0, 0, 12)",False
WARDHA,8.683317338436964,"(0, 0, 0)","(0, 0, 0, 12)",True
WASHIM,9.813465394980653,"(0, 0, 1)","(0, 0, 0, 12)",True
YAVATMAL,6.883276341938879,"(2, 0, 2)","(2, 0, 0, 12)",True
