district,rmse,seasonal
AHMEDNAGAR,1090.8536547038534,False
AKOLA,365.5117418589071,False
AMRAVATI,693.0375868831221,False
AURANGABAD,278.23123445087475,False
BEED,427.8169776059313,False
BHANDARA,302.4811083113943,False
BULDHANA,345.2345113593423,False
CHANDRAPUR,575.8954016093993,False
DHULE,463.11356804950225,False
GADCHIROLI,427.19442884126903,False
GONDIA,54.65817071189404,False
HINGOLI,174.28779607767723,False
JALGAON,3817.192458956911,False
JALNA,453.4267109951081,False
KOLHAPUR,1116.6291579632223,False
LATUR,579.1717412497031,False
MUMBAI,750.8561709672676,False
NAGPUR,302.32966940502394,False
NANDED,1240.2421304563738,False
NANDURBAR,519.6026660860826,False
NASHIK,832.8641177145018,False
OSMANABAD,369.0933532136622,False
PALGHAR,627.8633159658793,False
PARBHANI,424.0973464668312,False
PUNE,1949.8908847916503,False
RAIGAD,866.3230427728297,False
RATNAGIRI,410.7139889345404,False
SANGLI,889.3754836298406,False
SATARA,458.0296704546699,False
SINDHUDURG,52.168778777953186,False
SOLAPUR,1369.0094646316436,False
THANE,2727.9801559750395,False
WARDHA,153.94355629228187,False
WASHIM,120.21439014044905,False
YAVATMAL,705.1641673190136,False
MUMBAI SUBURBAN,1239.4507871983833,False
