district,model,RMSE
AHMEDNAGAR,ARIMA,15.129451880331256
AKOLA,SARIMA,7.486620323610502
AMRAVATI,PROPHET,15.103522709922606
AURANGABAD,GB,12.929617581960159
BEED,SARIMA,6.259097685544655
BHANDARA,ANN,3.6219903282347707
BULDHANA,SARIMA,4.185732240066844
CHANDRAPUR,HUBER,12.600499591888479
DHULE,DT,8.401388774085707
GADCHIROLI,DT,7.220513568061272
GONDIA,LASSO,5.755539416359253
HINGOLI,GB,3.597138606627201
JALGAON,SARIMA,8.68259614742034
JALNA,EXP,5.139343117085449
KOLHAPUR,ARIMA,7.4605125040099205
LATUR,PROPHET,11.768390796669244
MUMBAI,BAYESIAN,14.42196546221449
MUMBAI SUBURBAN,ELASTICNET,2.107363842707282
NAGPUR,XGBOOST,11.932834236007777
NANDED,ARIMA,9.886469684667677
NANDURBAR,LASSO,8.377208847938547
NASHIK,PROPHET,13.680144162431697
OSMANABAD,HUBER,5.142602315626216
PALGHAR,PROPHET,7.589275425045351
PARBHANI,EXP,6.820047763472043
PUNE,EXP,15.368853002958323
RAIGAD,RF,6.264075673424538
RATNAGIRI,HUBER,5.719086594800293
SANGLI,EXP,8.007259739679988
SATARA,RIDGE,5.50024774386987
SINDHUDURG,PROPHET,2.2791577123890785
SOLAPUR,TBATS,23.8505029271856
THANE,RF,10.941328813480615
WARDHA,XGBOOST,2.9749913764717246
WASHIM,ANN,3.662648158516811
YAVATMAL,ET,5.558272863239283
