district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
AHMEDNAGAR,22.17219060751708,15.129451880331256,15.812603094914769,20.35799610816758,16.187799123157447,18.156512070206535,15.746769992485097,18.6757208150725,18.12458776194462,18.33896017546961,16.593827400778746,17.326589223948897,17.864346151018683,27.32765870688559,18.572925934751847,17.74136114168862,44.6557066472679,15.505437090226296,19.845640990940982
AKOLA,13.246208629256358,8.658511391202373,11.008633558122217,11.100983038317354,10.188539423021277,11.288508168339458,9.123854139645864,15.135380084775967,9.059014140181935,10.775273201085538,10.143110612170032,9.307148097796686,10.153137227687226,15.161540989878649,10.111420487168681,9.787856131366079,7.486620323610502,7.909961109364242,12.157113727637938
AMRAVATI,20.110462103699597,18.018412841652303,17.32471989015258,21.698651223095425,17.981397174150523,16.41204063417398,18.41914322876548,19.265727394243406,18.3049908972461,15.7808834093386,16.431702774426327,18.40309421516834,19.058924531124806,15.103522709922606,17.255601988919427,16.813448919445182,18.42457981495186,18.852219102990105,17.263912704996276
AURANGABAD,,14.539092990734263,15.362881711105937,36.08902639208663,15.122201300901812,24.465832637919082,13.761024453999225,12.929617581960159,14.981617301038277,15.076121437085,16.313861566773028,15.152805412758672,,18.38375415537438,18.324961990597245,17.214690445893737,13.379973798662117,13.874933017219258,22.522848211064375
BEED,13.173882098605182,8.959205898313199,8.098236153321693,14.492908970625566,7.644392971403578,12.754082788573147,10.556181938325222,10.44366319107463,7.618739715092805,10.059766528419534,8.39226932730569,7.644339172187776,9.531145889209313,25.02718248682819,10.609611173527005,8.250239658027935,6.259097685544655,11.555177198836489,11.311683338727338
BHANDARA,3.6219903282347707,4.698548877706212,4.649879197672251,4.331396468850476,4.63091452172091,4.7334870867046845,4.706819021654136,5.094373322830593,4.224697334254288,4.09025167076046,5.014244726081701,4.152846422610999,4.489181207645901,8.611950352286438,5.200526006879953,3.915104016200535,10.944105419290528,5.292560266223312,5.0542880237688825
BULDHANA,,5.461616592017904,8.46151098942864,6.033855103282429,9.84789620019909,6.537199111410193,6.660641493211254,4.881087579688782,7.584587812758049,5.982122192206343,7.237942526162631,10.86101151407603,,13.218004953047876,6.029537641996233,10.60872021733901,4.185732240066844,6.814178969662913,6.263016897761477
CHANDRAPUR,14.910383186283234,13.50407445475483,14.586614858167952,17.311605081355307,14.263178328084294,16.57409390853355,13.069717633985922,14.325027980553806,12.600499591888479,13.386673142818104,14.057512508258199,12.990630364030162,13.997262948195777,14.651555886683001,17.272485827658585,12.753373359724433,24.948774081851433,13.878325070186449,16.667934244103424
DHULE,9.215522528241129,19.530971560606442,12.637070737963374,8.401388774085707,13.480602652738792,8.475430175906512,22.618991832984513,14.430181103928051,13.20073225521363,15.80241862288793,12.309311997942668,13.556638505350826,11.814270236070774,15.937492023261472,9.029334293167896,12.514970971419741,25.97518342049589,22.347386514466972,8.869662077895796
GADCHIROLI,10.019171439253501,10.804321776390058,9.225119635469325,7.220513568061272,9.361654056425987,9.276196388846262,13.185113793153214,10.406601348902077,8.559978752091059,10.476019629540252,8.99672316456177,8.368713525857647,11.011259344919084,10.391169080957303,8.789052620451894,8.095775916176995,15.792316789123431,10.357994647394495,8.939429814426079
