district,rmse,r_squared,best_params,differencing,best_iteration,feature_importances
AHMEDNAGAR,131.67707008697576,0.6350880912591275,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 1.0}",0,13,"[0.40171873765838656, 0.29066800645184176, 0.3076132558897716]"
AKOLA,87.2909668420882,0.6769969125862216,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,100,"[0.277436916620163, 0.3694908884764655, 0.3530721949033716]"
AMRAVATI,280.0950789071449,0.1639548711547164,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,11,"[0.41258796571197753, 0.4560786577115451, 0.13133337657647745]"
AURANGABAD,336.92117351489645,0.08356724451339859,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",1,11,"[0.11420472480693619, 0.6160523272132982, 0.2697429479797657]"
BEED,116.23713392170349,0.46416156547565346,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0,40,"[0.7559929152027672, 0.15309611027092535, 0.09091097452630732]"
BHANDARA,85.03516244327704,0.9223567346111515,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,24,"[0.7445875342777158, 0.1114458986462465, 0.14396656707603778]"
BULDHANA,56.682371589989515,0.19776008925041866,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,17,"[0.2222579221915595, 0.4343420116057539, 0.34340006620268654]"
CHANDRAPUR,247.20595391405476,0.08573769219626648,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,11,"[0.32186377887796924, 0.4492262165803847, 0.228910004541646]"
DHULE,141.2711385763471,0.14452672585805726,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",0,11,"[0.6100951401847876, 0.25824625031096377, 0.1316586095042487]"
GADCHIROLI,87.93087380582503,0.17532610783629066,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",1,11,"[0.3271133274648818, 0.19839596850839628, 0.474490704026722]"
GONDIA,132.62912904429334,0.40075915523826533,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",1,40,"[0.5118878152943507, 0.2689837508809236, 0.21912843382472588]"
HINGOLI,65.61136915002167,0.05978223148193618,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,11,"[0.5860126374768644, 0.16084776087882974, 0.2531396016443058]"
JALGAON,122.63965282416365,0.7571068959097528,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0,11,"[0.22648294613636918, 0.6107118826455677, 0.162805171218063]"
JALNA,48.09259116699789,0.8098858238097284,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,24,"[0.2959995843986209, 0.4036242330102676, 0.3003761825911115]"
KOLHAPUR,92.94025863598027,0.25694390295567815,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0,15,"[0.099697390804316, 0.4181483521684862, 0.4821542570271977]"
LATUR,151.8132710642231,0.07841223179064949,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,26,"[0.3995090494811948, 0.3025311428330616, 0.2979598076857436]"
MUMBAI,1168.6018618795017,0.9728451981556789,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 1.0}",1,100,"[0.1426747982116583, 0.06788692473915688, 0.7894382770491849]"
NAGPUR,145.525253071816,0.8051535692907248,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",0,11,"[0.5812481585584777, 0.24723811079301872, 0.17151373064850353]"
NANDED,59.19708113110051,0.8772721468144614,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",0,16,"[0.513143582359027, 0.12100666904130376, 0.36584974859966934]"
NANDURBAR,78.51137886446405,0.6236639087495852,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0,12,"[0.6421935040195845, 0.2130469026505217, 0.14475959332989377]"
NASHIK,102.304525974315,0.9709147679239492,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,78,"[0.5056400782079208, 0.2793810621804286, 0.21497885961165056]"
OSMANABAD,39.05474153273442,0.29902047414926347,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,28,"[0.3683489548342997, 0.39388550698179325, 0.23776553818390708]"
PALGHAR,143.50738612153253,0.6981517793325633,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0,12,"[0.3236489453824221, 0.5695923575285597, 0.10675869708901826]"
