district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
AHMEDNAGAR,93.43348101187121,-207.2223324375719,"[0.30175998094197815, 0.0501714889804589, 0.01892530881411053, -0.058038515343368124]","[0.1302223713219305, 0.13812698552307828, 0.13896782598999116, 0.13208055691426815]",323.13136334026717,,172216.17890032884,0,500
AKOLA,67.45815870351305,-206.96181091317294,"[0.0007478335897655638, -0.0001493157008442984, -0.00046350309964205105, 0.0005598236139808498]","[0.011971959405631854, 0.0119719396468928, 0.011972921475598157, 0.011973780308525283]",449.13851566063624,,55602662.42581118,0,500
AMRAVATI,416.92362832933475,-236.18870630012802,"[-0.36104029455981196, 0.06506183237011268, -0.056392165058906915, -0.17715414993850093]","[0.13758739131903314, 0.14625993128165277, 0.14681966310626834, 0.13811046378559383]",-22.59323673566618,,876110.238675177,1,500
AURANGABAD,326.65838580033693,-212.23322161767808,"[-0.0005664012690764393, 9.264432448139203e-05, -7.265648074278127e-05, -0.0009648078872843976]","[0.01209601145588414, 0.012094775148694536, 0.012096001040650764, 0.0120964111130309]",-10.14680564904659,,105162198.13301712,1,500
BEED,111.5557900977698,-225.53474450099714,"[0.04170378605918042, 0.019628136807328268, 0.027173725114278142, -0.009431143315110004]","[0.0657873463744857, 0.06564987558859967, 0.06594428546699328, 0.066159092327386]",340.6914192599284,,4473185.720636038,0,500
BHANDARA,53.24037391374653,-193.75349218232822,"[0.5444668402985322, -0.015536007401050184, 0.004284925346540125, -0.18110482122009197]","[0.14754304417563166, 0.16934413414508181, 0.16913974361356973, 0.14634583154426362]",191.7214399095296,,28936.587683691378,0,500
BULDHANA,44.56328358873319,-174.05821746360868,"[0.27776009812236896, 0.3469986383764197, -0.3059924189516053, -0.16302650097852803]","[0.14739033323472414, 0.14563310663066478, 0.14466128867820685, 0.14194545686216695]",195.05300138295644,,9992.71236828994,0,500
CHANDRAPUR,214.02534374568083,-204.0207562782707,"[0.000798111820509397, -0.001741837426902069, -0.0013298288049788114, 0.0019822990328445286]","[0.013908328314421712, 0.013870654738165547, 0.013819673015089634, 0.013819453984071702]",-7.942865988039095,,48882922.966626905,1,500
DHULE,119.71447067121949,-220.389563728234,"[0.26882757089359055, 0.005233304408511226, -0.020514757454909667, -0.034861015802024914]","[0.12611076598109938, 0.13155713494696913, 0.13189056513972378, 0.12848223059046326]",287.9787110017403,,447202.8130250707,0,500
GADCHIROLI,104.05428893895214,-185.938343414548,"[0.0005793804862570832, 0.00023769253773332766, -0.00015331170469082354, -0.0014052099850988846]","[0.012891227968899443, 0.012891131065459254, 0.012890788368661334, 0.012891211615341739]",-3.1438032133962044,,19690577.74758272,1,500
GONDIA,132.88087852770153,-201.24396416287087,"[-0.3205455485993083, -0.07493711151747354, 0.038788585062701664, 0.12463164091816499]","[0.1356731336558659, 0.1414348777578426, 0.14466071777642583, 0.1377505472195816]",-1.734229395293774,,140847.46744864422,1,500
HINGOLI,79.58830617128909,-188.9543607423953,"[0.43395419697539717, -0.19153756736259792, 0.11973108993919876, -0.012246778524478141]","[0.14771789138679417, 0.15549821391719998, 0.15698010251480377, 0.14187196045519077]",109.20332299161643,,29491.681370369075,0,500
