district,rmse,seasonal
AHMEDNAGAR,15.746769992485099,False
AKOLA,9.123854139645864,False
AMRAVATI,18.41914322876548,False
AURANGABAD,13.761024453999225,False
BEED,10.556181938325222,False
BHANDARA,4.706819021654138,False
BULDHANA,6.660641493211254,False
CHANDRAPUR,13.069717633985922,False
DHULE,22.618991832984506,False
GADCHIROLI,13.185113793153214,False
GONDIA,10.26214784393159,False
HINGOLI,4.756425766607086,False
JALGAON,15.106551068237717,False
JALNA,5.139343117085449,False
KOLHAPUR,7.723258091317918,False
LATUR,16.355684833994754,False
MUMBAI,29.320890820188108,False
NAGPUR,16.879134964718116,False
NANDED,9.888447631855678,False
NANDURBAR,13.009234939881669,False
NASHIK,19.972942677105557,False
OSMANABAD,6.487319861427274,False
PALGHAR,9.403873390763186,False
PARBHANI,6.820047763472043,False
PUNE,15.368853002958323,False
RAIGAD,8.39377091091182,False
RATNAGIRI,5.862310822524803,False
SANGLI,8.007259739679988,False
SATARA,7.644600024917669,False
SINDHUDURG,2.6350766255859646,False
SOLAPUR,24.035576249050596,False
THANE,21.296687857039593,False
WARDHA,3.7694377375371952,False
WASHIM,4.133103992003331,False
YAVATMAL,5.999371237332443,False
MUMBAI SUBURBAN,21.663955569781173,False
