district,rmse,r_squared,best_params,differencing,tree_depth
AHMEDNAGAR,720.1848564445027,0.8973002356334229,"{'max_depth': 5, 'min_samples_split': 10}",0,5
AKOLA,802.9481496931661,0.7632602381999243,"{'max_depth': 5, 'min_samples_split': 10}",1,5
AMRAVATI,785.1791348090029,0.7579450960666726,"{'max_depth': 5, 'min_samples_split': 10}",1,5
AURANGABAD,1644.2318453037915,0.6863769266769617,"{'max_depth': 5, 'min_samples_split': 10}",1,4
BEED,643.3156751985018,0.6561957901880144,"{'max_depth': 5, 'min_samples_split': 10}",0,4
BHANDARA,346.4671538975987,0.6470170460597499,"{'max_depth': 5, 'min_samples_split': 10}",1,5
BULDHANA,357.5878246016444,0.5139716808894506,"{'max_depth': 5, 'min_samples_split': 10}",1,5
CHANDRAPUR,463.55803954625446,0.7915301072240695,"{'max_depth': 5, 'min_samples_split': 10}",0,4
DHULE,298.5643730649776,0.554066530262598,"{'max_depth': 5, 'min_samples_split': 10}",0,5
GADCHIROLI,192.25909398693994,0.9037739936670002,"{'max_depth': 5, 'min_samples_split': 10}",0,5
GONDIA,192.83988752906444,0.5416074213094952,"{'max_depth': 5, 'min_samples_split': 10}",0,3
HINGOLI,137.00997707993548,0.7576295336479917,"{'max_depth': 5, 'min_samples_split': 10}",0,4
JALGAON,4203.7251895943,0.6528231385248247,"{'max_depth': 5, 'min_samples_split': 10}",1,5
JALNA,440.1214991606336,0.6188002222166713,"{'max_depth': 5, 'min_samples_split': 10}",1,5
KOLHAPUR,13236.012273518378,0.9321487866280599,"{'max_depth': 5, 'min_samples_split': 10}",1,5
LATUR,442.518158005532,0.38406717726751394,"{'max_depth': 5, 'min_samples_split': 10}",1,5
MUMBAI,1989.1925868528251,0.5633015756630044,"{'max_depth': 5, 'min_samples_split': 10}",1,5
NAGPUR,359.32567294323843,0.5810155367297933,"{'max_depth': 5, 'min_samples_split': 10}",1,4
NANDED,864.9099553726837,0.8477566244793394,"{'max_depth': 5, 'min_samples_split': 10}",0,4
NANDURBAR,881.1888679868563,0.776372004934252,"{'max_depth': 5, 'min_samples_split': 10}",1,5
NASHIK,3198.3251136192216,0.8300391820011986,"{'max_depth': 5, 'min_samples_split': 10}",1,5
OSMANABAD,356.6327261888467,0.6482956513714204,"{'max_depth': 5, 'min_samples_split': 10}",1,5
PALGHAR,889.3643372545341,0.4506140204558531,"{'max_depth': 5, 'min_samples_split': 10}",1,5
PARBHANI,460.4944161103731,0.5038687367506132,"{'max_depth': 5, 'min_samples_split': 10}",0,5
PUNE,1227.4623152071804,0.8498845885590536,"{'max_depth': 5, 'min_samples_split': 10}",0,5
RAIGAD,2146.1565112876697,0.6211979450476055,"{'max_depth': 5, 'min_samples_split': 10}",1,4
RATNAGIRI,449.5581888928477,0.8593292542140378,"{'max_depth': 5, 'min_samples_split': 10}",0,5
SANGLI,739.859920495618,0.6788166225097083,"{'max_depth': 5, 'min_samples_split': 10}",0,4
SATARA,1507.8800854314698,0.6948513248622206,"{'max_depth': 5, 'min_samples_split': 10}",1,5
SINDHUDURG,93.26326664804421,0.7155647399696654,"{'max_depth': 5, 'min_samples_split': 10}",1,5
SOLAPUR,2723.1587371814217,0.6050125363763855,"{'max_depth': 5, 'min_samples_split': 10}",1,5
THANE,4811.048194995337,0.7199480826084566,"{'max_depth': 5, 'min_samples_split': 10}",1,5
WARDHA,607.9746453678401,0.7435165753439825,"{'max_depth': 5, 'min_samples_split': 10}",1,5
WASHIM,106.4437338902316,0.7277158421059312,"{'max_depth': 5, 'min_samples_split': 10}",0,5
YAVATMAL,633.3056633331779,0.37698378511046315,"{'max_depth': 5, 'min_samples_split': 10}",0,5
MUMBAI SUBURBAN,1102.5534454165927,0.0,"{'max_depth': 5, 'min_samples_split': 10}",1,0
