district,rmse,r_squared,best_params,differencing
AHMEDNAGAR,94.40126397170634,0.2223286400345743,"{'n_neighbors': 7, 'weights': 'uniform'}",0
AKOLA,79.68772213449768,0.1270908797181598,"{'n_neighbors': 9, 'weights': 'uniform'}",0
AMRAVATI,186.19716260659615,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
AURANGABAD,337.703271103685,0.07197824583192436,"{'n_neighbors': 9, 'weights': 'uniform'}",1
BEED,47.120742385642174,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
BHANDARA,49.27446938662386,0.3734834996454147,"{'n_neighbors': 5, 'weights': 'uniform'}",0
BULDHANA,46.34297261841444,0.47811826312285177,"{'n_neighbors': 5, 'weights': 'uniform'}",0
CHANDRAPUR,123.01116859639738,0.01650673785889767,"{'n_neighbors': 9, 'weights': 'uniform'}",1
DHULE,149.40430871389583,0.2823976310529943,"{'n_neighbors': 9, 'weights': 'uniform'}",0
GADCHIROLI,60.615464758601284,0.5119552038840229,"{'n_neighbors': 3, 'weights': 'uniform'}",1
GONDIA,93.68626277456369,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",1
HINGOLI,69.04765188833373,0.2738215541227854,"{'n_neighbors': 7, 'weights': 'uniform'}",0
JALGAON,135.81280993177256,0.33456686539347136,"{'n_neighbors': 9, 'weights': 'uniform'}",0
JALNA,53.344391857637476,0.13017855547841461,"{'n_neighbors': 9, 'weights': 'uniform'}",0
KOLHAPUR,85.20941684340332,0.1320102375637745,"{'n_neighbors': 9, 'weights': 'uniform'}",0
LATUR,146.70170132570132,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
MUMBAI,131.63413999761784,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
NAGPUR,221.4279057849698,0.39226236022874994,"{'n_neighbors': 7, 'weights': 'uniform'}",0
NANDED,65.63604716575881,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
NANDURBAR,92.41582902060061,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",0
NASHIK,131.02551066278826,0.4403210555616366,"{'n_neighbors': 5, 'weights': 'uniform'}",0
OSMANABAD,38.545523340778665,0.17584946530071266,"{'n_neighbors': 7, 'weights': 'uniform'}",0
PALGHAR,141.91777813531368,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",0
PARBHANI,71.67881034065682,0.5850040412936054,"{'n_neighbors': 3, 'weights': 'uniform'}",0
PUNE,395.11092331566334,0.3921128107015278,"{'n_neighbors': 7, 'weights': 'uniform'}",0
RAIGAD,90.47028477894573,0.1475864864585541,"{'n_neighbors': 9, 'weights': 'uniform'}",0
RATNAGIRI,231.86780286304338,0.3001282297229483,"{'n_neighbors': 7, 'weights': 'uniform'}",1
SANGLI,97.66367500579662,0.22109243144211166,"{'n_neighbors': 9, 'weights': 'uniform'}",0
SATARA,122.47412610272363,0.08962214766942267,"{'n_neighbors': 7, 'weights': 'uniform'}",0
SINDHUDURG,23.431120502661194,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
SOLAPUR,121.56070271450577,0.5239723111198956,"{'n_neighbors': 5, 'weights': 'uniform'}",0
THANE,382.3953831846467,-0.04631054346551555,"{'n_neighbors': 9, 'weights': 'uniform'}",1
WARDHA,55.50222156490184,0.18069247942401367,"{'n_neighbors': 7, 'weights': 'uniform'}",0
WASHIM,25.014563659231165,0.43381688755050873,"{'n_neighbors': 3, 'weights': 'uniform'}",0
YAVATMAL,20.19939047841259,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",0
MUMBAI SUBURBAN,187.91383959440327,0.06486852835948931,"{'n_neighbors': 3, 'weights': 'uniform'}",0
