district,date,actual,forecast
NANDED,2020-07-01,4668,4907.281
NANDED,2020-08-01,4358,4902.2812
NANDED,2020-09-01,5176,4653.213
NANDED,2020-10-01,4553,4785.5444
NANDED,2020-11-01,4475,4707.617
NANDED,2020-12-01,4906,4699.5396
NANDED,2021-01-01,5001,4687.08
NANDED,2021-02-01,5274,4778.5386
NANDED,2021-03-01,4873,5032.9204
