district,rmse,seasonal_periods,box_cox_used,arma_errors_used
AHMEDNAGAR,1089.161293674225,None,True,False
AKOLA,390.75112336931176,None,True,False
AMRAVATI,975.3318165683694,None,False,True
AURANGABAD,292.98014906764735,None,False,False
BEED,438.9928710813698,None,False,False
BHANDARA,299.5373446490175,None,False,False
BULDHANA,333.12573125932613,None,True,False
CHANDRAPUR,575.6485512342289,None,True,False
DHULE,391.6050861703293,None,False,True
GADCHIROLI,298.5653966050105,None,False,True
GONDIA,208.19892475372774,None,False,False
HINGOLI,176.11807941539735,None,True,True
JALGAON,3819.5991814278163,None,False,False
JALNA,498.23924184705925,None,True,False
KOLHAPUR,958.5412621928299,None,True,False
LATUR,588.0154067554023,None,True,False
MUMBAI,732.3729737431371,None,False,False
NAGPUR,301.689021008282,None,False,False
NANDED,1238.7072794124226,None,False,False
NANDURBAR,521.5994712922187,None,False,False
NASHIK,1065.0728345054654,None,True,False
OSMANABAD,403.37520916837747,None,True,False
PALGHAR,630.0861386906977,None,False,False
PARBHANI,527.5705723570937,None,False,True
PUNE,1951.3336447166741,None,False,False
RAIGAD,996.6079834186919,None,False,False
RATNAGIRI,401.45400892742265,None,True,False
SANGLI,895.4805271338204,None,False,False
SATARA,365.86412623417664,None,False,False
SINDHUDURG,54.01551604360951,None,True,False
SOLAPUR,1390.5121754256381,None,False,False
THANE,2726.6842492883675,None,False,False
WARDHA,154.20773655331718,None,False,False
WASHIM,76.77579021359796,None,False,False
YAVATMAL,437.68253488739657,None,False,True
MUMBAI SUBURBAN,2007.2253191254745,None,False,False
