district,rmse,r_squared,best_params,differencing,tree_depth
AHMEDNAGAR,2387.388931937065,0.6659911154386984,"{'max_depth': 5, 'min_samples_split': 10}",1,4
AKOLA,221.78660602279638,0.7080043981541421,"{'max_depth': 5, 'min_samples_split': 10}",1,5
AMRAVATI,340.0737782690144,0.8157623404245307,"{'max_depth': 5, 'min_samples_split': 10}",0,5
AURANGABAD,1679.2164397365461,0.6433146864590586,"{'max_depth': 5, 'min_samples_split': 10}",1,5
BEED,1770.6958354752933,0.6081748651331724,"{'max_depth': 5, 'min_samples_split': 10}",1,4
BHANDARA,263.24747812537345,0.5100635736324616,"{'max_depth': 5, 'min_samples_split': 10}",1,5
BULDHANA,251.9319295011944,0.4111169669482848,"{'max_depth': 5, 'min_samples_split': 10}",1,4
CHANDRAPUR,468.94346420674447,0.6810198553766995,"{'max_depth': 5, 'min_samples_split': 10}",1,5
DHULE,560.0391603433726,0.6133689299197109,"{'max_depth': 5, 'min_samples_split': 10}",1,4
GADCHIROLI,556.6850136974307,0.6544155308446705,"{'max_depth': 5, 'min_samples_split': 10}",1,5
GONDIA,90.37565610974647,0.5718953611157191,"{'max_depth': 5, 'min_samples_split': 10}",0,4
HINGOLI,751.5339777600817,0.5451897274189813,"{'max_depth': 5, 'min_samples_split': 10}",1,5
JALGAON,1407.5842980283494,0.7783852461620531,"{'max_depth': 5, 'min_samples_split': 10}",1,4
JALNA,239.3190970406109,0.8316086877579825,"{'max_depth': 5, 'min_samples_split': 10}",0,4
KOLHAPUR,1282.7219314102258,0.5113041833377516,"{'max_depth': 5, 'min_samples_split': 10}",1,5
LATUR,799.4867383277254,0.5422400662490781,"{'max_depth': 5, 'min_samples_split': 10}",1,5
MUMBAI,2058.058746096282,0.4615632390881377,"{'max_depth': 5, 'min_samples_split': 10}",1,4
NAGPUR,3020.323657027054,0.7596289006910248,"{'max_depth': 5, 'min_samples_split': 10}",1,5
NANDED,403.96634728041687,0.8980880271786094,"{'max_depth': 5, 'min_samples_split': 10}",0,5
NANDURBAR,2104.9705904736734,0.7350957919890743,"{'max_depth': 5, 'min_samples_split': 10}",1,5
NASHIK,698.7189525065402,0.43555181499041085,"{'max_depth': 5, 'min_samples_split': 10}",1,5
OSMANABAD,398.8988952366648,0.588843457510236,"{'max_depth': 5, 'min_samples_split': 10}",1,5
PALGHAR,866.6619851807595,0.4326059845212724,"{'max_depth': 5, 'min_samples_split': 10}",1,5
PARBHANI,581.7961901121399,0.7045552733403111,"{'max_depth': 5, 'min_samples_split': 10}",1,5
PUNE,993.1631315120948,0.6300877478441631,"{'max_depth': 5, 'min_samples_split': 10}",0,5
RAIGAD,1413.6988139019977,0.6953201608951072,"{'max_depth': 5, 'min_samples_split': 10}",1,5
RATNAGIRI,280.2280364284572,0.6119989579879902,"{'max_depth': 5, 'min_samples_split': 10}",1,4
SANGLI,288.419557683064,0.6825845747714157,"{'max_depth': 5, 'min_samples_split': 10}",1,5
SATARA,2322.170089265368,0.47368416689365966,"{'max_depth': 5, 'min_samples_split': 10}",1,5
SINDHUDURG,65.84371401983583,0.5534888491173973,"{'max_depth': 5, 'min_samples_split': 10}",1,5
SOLAPUR,537.0860314624126,0.5433401065374741,"{'max_depth': 5, 'min_samples_split': 10}",1,4
THANE,919.383766099025,0.6474289986450581,"{'max_depth': 5, 'min_samples_split': 10}",1,5
WARDHA,119.61136569680525,0.6407438751645103,"{'max_depth': 5, 'min_samples_split': 10}",0,3
WASHIM,408.0178774889048,0.7584815766988562,"{'max_depth': 5, 'min_samples_split': 10}",1,5
YAVATMAL,431.1545130733511,0.64738918817341,"{'max_depth': 5, 'min_samples_split': 10}",0,5
MUMBAI SUBURBAN,1256.9377470662578,0.0,"{'max_depth': 5, 'min_samples_split': 10}",1,0
