district,date,actual,forecast,residual
AHMEDNAGAR,2020-07-01,40.0,36.72743700581858,3.2725629941814205
AHMEDNAGAR,2020-08-01,55.0,38.4489249256635,16.551075074336502
AHMEDNAGAR,2020-09-01,36.0,47.5986679504903,-11.598667950490302
AHMEDNAGAR,2020-10-01,82.0,39.854370671228814,42.145629328771186
AHMEDNAGAR,2020-11-01,49.0,65.35791588117482,-16.35791588117482
AHMEDNAGAR,2020-12-01,36.0,50.8689105438367,-14.868910543836698
AHMEDNAGAR,2021-01-01,45.0,47.89585751588325,-2.8958575158832502
AHMEDNAGAR,2021-02-01,28.0,43.51692405759413,-15.516924057594132
AHMEDNAGAR,2021-03-01,28.0,32.82165674380982,-4.821656743809818
AKOLA,2020-07-01,34.0,42.36836012300101,-8.368360123001011
AKOLA,2020-08-01,45.0,39.424099629264575,5.575900370735425
AKOLA,2020-09-01,54.0,44.69184486459014,9.308155135409862
AKOLA,2020-10-01,48.0,54.69708238393547,-6.6970823839354665
AKOLA,2020-11-01,39.0,53.40024975265135,-14.400249752651348
AKOLA,2020-12-01,33.0,44.46326971781103,-11.46326971781103
AKOLA,2021-01-01,31.0,38.50326210882555,-7.5032621088255524
AKOLA,2021-02-01,26.0,36.47983913552813,-10.479839135528131
AKOLA,2021-03-01,33.0,34.038815677185625,-1.0388156771856245
AMRAVATI,2020-07-01,62.0,58.268015199249355,3.731984800750645
AMRAVATI,2020-08-01,70.0,61.54000326393053,8.45999673606947
AMRAVATI,2020-09-01,98.0,68.79176441548444,29.208235584515563
AMRAVATI,2020-10-01,55.0,80.27895609718816,-25.278956097188157
AMRAVATI,2020-11-01,45.0,64.45017592119788,-19.450175921197882
AMRAVATI,2020-12-01,54.0,34.73946324890563,19.26053675109437
AMRAVATI,2021-01-01,41.0,54.13118603987395,-13.131186039873953
AMRAVATI,2021-02-01,32.0,54.71867329631334,-22.71867329631334
AMRAVATI,2021-03-01,43.0,42.59436393319691,0.4056360668030905
AURANGABAD,2020-07-01,53,60.94042164391457,-7.9404216439145685
AURANGABAD,2020-08-01,74,64.16372586549494,9.83627413450506
AURANGABAD,2020-09-01,76,58.261031055530246,17.738968944469754
AURANGABAD,2020-10-01,56,59.86901837748876,-3.869018377488757
AURANGABAD,2020-11-01,57,64.81117112343652,-7.811171123436523
AURANGABAD,2020-12-01,71,63.08383141041604,7.916168589583961
AURANGABAD,2021-01-01,69,60.253398621610124,8.746601378389876
AURANGABAD,2021-02-01,40,62.086996560385266,-22.086996560385266
AURANGABAD,2021-03-01,40,69.02719816401834,-29.027198164018344
BEED,2020-07-01,30.0,23.690008709493096,6.309991290506904
BEED,2020-08-01,30.0,27.791574152130867,2.208425847869133
BEED,2020-09-01,33.0,28.981969958353808,4.018030041646192
BEED,2020-10-01,16.0,28.978249297131587,-12.978249297131587
BEED,2020-11-01,18.0,19.604538128118215,-1.6045381281182145
BEED,2020-12-01,11.0,20.331808637278094,-9.331808637278094
BEED,2021-01-01,19.0,19.585064923386405,-0.5850649233864047
BEED,2021-02-01,11.0,23.687870586431586,-12.687870586431586
BEED,2021-03-01,14.0,20.49249894425392,-6.492498944253921
BHANDARA,2020-07-01,19.0,17.97681490841827,1.0231850915817304
BHANDARA,2020-08-01,22.0,18.811869247137174,3.1881307528628255
BHANDARA,2020-09-01,28.0,19.92838007018913,8.071619929810868
BHANDARA,2020-10-01,22.0,21.83141579084801,0.1685842091519909
BHANDARA,2020-11-01,25.0,20.675690640964312,4.324309359035688
BHANDARA,2020-12-01,28.0,20.850773128793154,7.149226871206846
BHANDARA,2021-01-01,19.0,22.064342834069077,-3.064342834069077
BHANDARA,2021-02-01,19.0,19.792106861133423,-0.7921068611334228
BHANDARA,2021-03-01,21.0,18.899207967022292,2.100792032977708
BULDHANA,2020-07-01,31,25.823510205303286,5.176489794696714
BULDHANA,2020-08-01,25,22.963191935531025,2.0368080644689748
BULDHANA,2020-09-01,17,25.94270377361306,-8.942703773613061
BULDHANA,2020-10-01,19,28.40384688511603,-9.403846885116032
BULDHANA,2020-11-01,24,28.80670920203695,-4.806709202036949
BULDHANA,2020-12-01,19,27.988602509167844,-8.988602509167844
BULDHANA,2021-01-01,18,29.58721748202842,-11.587217482028422
BULDHANA,2021-02-01,24,29.11185337070636,-5.11185337070636
BULDHANA,2021-03-01,20,27.35464122968377,-7.3546412296837715
CHANDRAPUR,2020-07-01,41.0,43.312442116063,-2.3124421160630035
CHANDRAPUR,2020-08-01,37.0,41.699491598015605,-4.699491598015605
CHANDRAPUR,2020-09-01,44.0,40.827293248036185,3.1727067519638155
CHANDRAPUR,2020-10-01,67.0,42.422270168794284,24.577729831205716
CHANDRAPUR,2020-11-01,47.0,46.331572732452194,0.6684272675478056
CHANDRAPUR,2020-12-01,35.0,41.029123122316605,-6.029123122316605
CHANDRAPUR,2021-01-01,23.0,37.73535749499739,-14.735357494997388
CHANDRAPUR,2021-02-01,19.0,38.381250393015435,-19.381250393015435
CHANDRAPUR,2021-03-01,27.0,39.563004423257475,-12.563004423257475
DHULE,2020-07-01,24.0,16.60032326474035,7.39967673525965
DHULE,2020-08-01,31.0,21.297180498286387,9.702819501713613
DHULE,2020-09-01,27.0,25.646996472135122,1.3530035278648782
DHULE,2020-10-01,50.0,23.761200156355333,26.238799843644667
DHULE,2020-11-01,25.0,40.02334920074258,-15.02334920074258
DHULE,2020-12-01,33.0,22.140677547663984,10.859322452336016
DHULE,2021-01-01,34.0,34.421766827003815,-0.4217668270038146
DHULE,2021-02-01,47.0,28.23112133721374,18.76887866278626
DHULE,2021-03-01,44.0,38.250719004250826,5.749280995749174
GADCHIROLI,2020-07-01,46.0,29.583137040317265,16.416862959682735
GADCHIROLI,2020-08-01,44.0,36.29224053966135,7.70775946033865
GADCHIROLI,2020-09-01,44.0,36.14034318859473,7.859656811405273
GADCHIROLI,2020-10-01,41.0,33.453566091528586,7.546433908471414
GADCHIROLI,2020-11-01,40.0,32.79251487798537,7.207485122014631
GADCHIROLI,2020-12-01,35.0,32.279589011703465,2.7204109882965355
GADCHIROLI,2021-01-01,26.0,31.06454141249235,-5.06454141249235
GADCHIROLI,2021-02-01,25.0,28.041797207169573,-3.041797207169573
GADCHIROLI,2021-03-01,17.0,27.842634512198266,-10.842634512198266
GONDIA,2020-07-01,23.0,20.122576568891283,2.877423431108717
GONDIA,2020-08-01,21.0,21.02699485689437,-0.02699485689436898
GONDIA,2020-09-01,28.0,20.933666610153708,7.066333389846292
GONDIA,2020-10-01,39.0,23.621497369855877,15.378502630144123
GONDIA,2020-11-01,30.0,27.30290804433346,2.69709195566654
GONDIA,2020-12-01,23.0,24.958563848114686,-1.9585638481146859
GONDIA,2021-01-01,17.0,23.49738045556024,-6.49738045556024
GONDIA,2021-02-01,14.0,20.50027104262569,-6.500271042625691
GONDIA,2021-03-01,16.0,18.740511941824497,-2.740511941824497
HINGOLI,2020-07-01,12.0,9.545194010121094,2.4548059898789063
HINGOLI,2020-08-01,19.0,12.705680167764397,6.294319832235603
HINGOLI,2020-09-01,14.0,16.473240429753584,-2.4732404297535844
HINGOLI,2020-10-01,20.0,14.049440191071852,5.950559808928148
HINGOLI,2020-11-01,12.0,16.606586788575214,-4.606586788575214
HINGOLI,2020-12-01,13.0,13.057071407677785,-0.0570714076777854
HINGOLI,2021-01-01,8.0,13.164491125724375,-5.164491125724375
HINGOLI,2021-02-01,12.0,11.014908815601117,0.9850911843988825
HINGOLI,2021-03-01,16.0,12.781640257178907,3.218359742821093
JALGAON,2020-07-01,21.0,31.545108879654162,-10.545108879654162
JALGAON,2020-08-01,25.0,27.639884407302844,-2.6398844073028442
JALGAON,2020-09-01,41.0,27.94708341913884,13.052916580861162
JALGAON,2020-10-01,37.0,34.950758099938085,2.049241900061915
JALGAON,2020-11-01,39.0,33.66968133668939,5.3303186633106066
JALGAON,2020-12-01,17.0,37.43860116143894,-20.43860116143894
JALGAON,2021-01-01,24.0,25.281555798197896,-1.2815557981978962
JALGAON,2021-02-01,16.0,29.117166311001018,-13.117166311001018
JALGAON,2021-03-01,16.0,21.205672874666508,-5.205672874666508
JALNA,2020-07-01,38.0,27.420015155363288,10.579984844636712
JALNA,2020-08-01,26.0,32.469653023711246,-6.4696530237112455
JALNA,2020-09-01,25.0,27.574112939327087,-2.5741129393270867
JALNA,2020-10-01,29.0,28.268175973060274,0.7318240269397265
JALNA,2020-11-01,20.0,28.581895066164506,-8.581895066164506
JALNA,2020-12-01,25.0,25.022429068790387,-0.02242906879038742
JALNA,2021-01-01,29.0,27.32703209400836,1.6729679059916407
JALNA,2021-02-01,18.0,27.969043147285205,-9.969043147285205
JALNA,2021-03-01,26.0,24.250895436631225,1.7491045633687747
KOLHAPUR,2020-07-01,23.0,24.95574774132635,-1.9557477413263484
KOLHAPUR,2020-08-01,20.0,23.178500584174802,-3.1785005841748024
KOLHAPUR,2020-09-01,16.0,22.908782628892382,-6.908782628892382
KOLHAPUR,2020-10-01,14.0,20.16510117926716,-6.165101179267161
KOLHAPUR,2020-11-01,15.0,18.547572291110473,-3.5475722911104732
KOLHAPUR,2020-12-01,20.0,18.08460384619672,1.9153961538032789
KOLHAPUR,2021-01-01,40.0,19.914736426476615,20.085263573523385
KOLHAPUR,2021-02-01,29.0,29.27103783798961,-0.2710378379896099
KOLHAPUR,2021-03-01,21.0,25.56105409472253,-4.561054094722529
LATUR,2020-07-01,16.0,30.28786318279071,-14.287863182790709
LATUR,2020-08-01,58.0,15.10335827124973,42.89664172875027
LATUR,2020-09-01,35.0,43.616779744835775,-8.616779744835775
LATUR,2020-10-01,38.0,16.677488174838185,21.322511825161815
LATUR,2020-11-01,14.0,30.342356078756723,-16.342356078756723
LATUR,2020-12-01,17.0,15.615558320562378,1.3844416794376215
LATUR,2021-01-01,10.0,25.284889226010883,-15.284889226010883
LATUR,2021-02-01,25.0,18.36848710896427,6.6315128910357295
LATUR,2021-03-01,12.0,28.00612792111487,-16.00612792111487
MUMBAI,2020-07-01,74,69.1630343303509,4.8369656696491035
MUMBAI,2020-08-01,66,64.140322575185,1.859677424815004
