district,rmse,r_squared,best_params,differencing,best_iteration,feature_importances
AHMEDNAGAR,18.6757208150725,0.9387322996070389,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 0.8}",0,39,"[0.4303565710013704, 0.36402323539313897, 0.2056201936054907]"
AKOLA,15.135380084775967,0.931721232614908,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",0,38,"[0.6516038991920492, 0.2401969469614718, 0.10819915384647892]"
AMRAVATI,19.265727394243406,0.47766912121744254,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0,11,"[0.5577520299670938, 0.22921867950687602, 0.21302929052603017]"
AURANGABAD,12.92961758196016,0.17412939168454356,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",1,11,"[0.43869302995364085, 0.23967249874787444, 0.3216344712984846]"
BEED,10.44366319107463,0.7474829908915717,"{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0,15,"[0.597910680605821, 0.2603304581053741, 0.141758861288805]"
BHANDARA,5.0943733228305925,0.1600114296103432,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",0,11,"[0.4310498196958491, 0.367821445265433, 0.20112873503871784]"
BULDHANA,4.881087579688781,0.16550447863413675,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1.0}",1,11,"[0.324911212613768, 0.3403155551112093, 0.3347732322750226]"
CHANDRAPUR,14.325027980553806,0.07012045093742769,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",0,11,"[0.34384220439469715, 0.5199352284158173, 0.1362225671894855]"
DHULE,14.43018110392805,0.9705902993193802,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 1.0}",0,59,"[0.6008155310141278, 0.12489752053330994, 0.27428694845256224]"
GADCHIROLI,10.406601348902077,0.12803526985002378,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",0,11,"[0.44511256202788935, 0.31945556626759164, 0.23543187170451899]"
GONDIA,7.2367400656135965,0.23124639244153822,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,23,"[0.7960837965680142, 0.028797155527847874, 0.17511904790413782]"
HINGOLI,3.5971386066272,0.040673770466302495,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,11,"[0.22350353596947817, 0.719984183870012, 0.056512280160509944]"
JALGAON,11.842224197460304,0.21907272493420638,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,17,"[0.5296576360505508, 0.17148710483730037, 0.29885525911214883]"
JALNA,6.161636138807717,0.10583106022928268,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,11,"[0.4958735619292868, 0.2601551673189737, 0.24397127075173955]"
KOLHAPUR,9.986999012573149,0.6899654674437643,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",0,11,"[0.49504050340545, 0.21466439164420853, 0.2902951049503414]"
LATUR,15.062114485123693,0.08854014138563537,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,11,"[0.49314592042809036, 0.3705360431047469, 0.1363180364671629]"
MUMBAI,21.793617803841087,0.8137288839032237,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",1,30,"[0.5867321035154786, 0.18285480773495472, 0.23041308874956665]"
NAGPUR,14.943679561136946,0.3720563349716747,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",0,28,"[0.09770983515285064, 0.7427053530968055, 0.1595848117503438]"
NANDED,17.052798216338008,0.8236348265902019,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1,13,"[0.3822482326384303, 0.3976338011845385, 0.22011796617703122]"
NANDURBAR,10.616852933901912,0.4272987850866308,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,56,"[0.5564610019277542, 0.3091457782369105, 0.13439321983533536]"
NASHIK,18.04564147424785,0.7323726610880343,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.8}",0,100,"[0.4551075319535645, 0.24079913314028403, 0.30409333490615137]"
OSMANABAD,6.712772193496947,0.2388722119000467,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0,28,"[0.20560662758090031, 0.36047925347803667, 0.4339141189410629]"
PALGHAR,10.52512731461099,0.1736996443272708,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,15,"[0.4661154677586141, 0.28081018843697697, 0.2530743438044089]"
PARBHANI,9.306772182574743,0.7263839783917905,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0,30,"[0.6431793846931759, 0.17746745975958295, 0.1793531555472411]"
PUNE,91.55432070131542,0.8804744380611188,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",1,56,"[0.4039908298916877, 0.2279059146498754, 0.36810325545843686]"
RAIGAD,12.554846522522388,0.9798674595211125,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",0,100,"[0.6676822938868198, 0.23146586743570005, 0.10085183867748017]"
RATNAGIRI,6.318391151324218,0.1844397248857672,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,15,"[0.2943242354703226, 0.4264687372141621, 0.2792070273155152]"
SANGLI,8.115950889802725,0.0672573941797393,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,11,"[0.08183720586454965, 0.4094307078546024, 0.5087320862808481]"
SATARA,7.286271237152054,0.16814418479227689,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",0,11,"[0.12471619909413043, 0.552992447715048, 0.3222913531908216]"
SINDHUDURG,2.777080923855347,0.5055921670592558,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0,11,"[0.44875729623605515, 0.3717263114213352, 0.17951639234260963]"
