district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
AHMEDNAGAR,547.0944471386705,-269.21787477331725,"[-0.00014123796678755662, -2.204828891672853e-05, -0.0013699860077151418, -0.0003941439440034699]","[0.012739564876249108, 0.012740198082995886, 0.012741085990340895, 0.012743213281865373]",6907.04391777015,,1720345836.5941885,0,500
AHMEDNAGAR,547.0944471386705,-269.21787477331725,"[-0.00014123796678755662, -2.204828891672853e-05, -0.0013699860077151418, -0.0003941439440034699]","[0.012739564876249108, 0.012740198082995886, 0.012741085990340895, 0.012743213281865373]",6907.04391777015,,1720345836.5941885,0,500
AKOLA,277.44504212133097,-235.15145480566468,"[0.08509531999541527, -0.0807855106966189, -0.190087574979399, 0.029401740259115593]","[0.1150113462121287, 0.11321886490094102, 0.11542007260174657, 0.11697564991971775]",3130.550135674307,,1428118.1818276644,0,500
AMRAVATI,426.50331762982734,-247.78289404532515,"[0.23000123180310356, -0.11171823602840758, -0.13579783542024684, -0.02750229972555711]","[0.12723276144892515, 0.12913136571165096, 0.12905389694135083, 0.12551824973110542]",4020.0510235900565,,1992296.2112566307,0,500
AURANGABAD,400.27650590994097,-266.1592038312431,"[0.09179181551824521, 0.027590375037861485, 0.11385312161627817, 0.04086772442355373]","[0.09915203102015853, 0.09718103993379679, 0.09810264955152416, 0.10066419867797372]",4756.719502641876,,14185360.343193462,0,500
BEED,280.9112206195676,-264.45548695959013,"[0.24688269543818533, 0.08815133983931156, 0.007133736201868572, -0.22846495979715628]","[0.13165033247703475, 0.13849686693670388, 0.14921957305327974, 0.13952379758699202]",3496.7893165140576,,3838194.215955459,0,500
BHANDARA,213.6673864839275,-222.0615611234735,"[-0.0012804663126054507, -0.000984435292114468, 0.00037433733474987396, -0.00035775911604408393]","[0.013472007508903996, 0.013471855538882149, 0.013470754300904482, 0.013463971045283013]",-0.6207718688628475,,150931138.16303805,1,500
BULDHANA,368.4470800611097,-245.7440430477841,"[0.0968790496273067, -0.035588737572419586, -0.0840974833422885, -0.06724996062641067]","[0.08960611321297346, 0.09071620602297056, 0.08952405459551692, 0.08939850106157898]",4532.280613026791,,5069300.511337667,0,500
CHANDRAPUR,237.94869678057248,-250.88992079800826,"[0.4377895721094729, -0.0763566426793015, 0.08270103363047451, -0.2935726763085791]","[0.14197615341069078, 0.15477001909055754, 0.1546429931617533, 0.13649093057068507]",2256.4718838330637,,870965.6752827462,0,500
DHULE,375.3692941694966,-248.9839331631358,"[0.1118075826774507, 0.018723418187600427, -0.021801242211581244, 0.0069471351008405305]","[0.08775546663245197, 0.08636778432858143, 0.08450086898859871, 0.08404675985625226]",3299.3399941585453,,7907918.223990415,0,500
GADCHIROLI,333.9995780904953,-228.26658337900344,"[-0.01982794342730656, 0.0023675345892932957, 0.013981579988126332, -0.01651723613386948]","[0.04925242205762899, 0.04920587908003856, 0.049106075962917, 0.048921613917074794]",3.4042919083929326,,14935489.803935872,1,500
GONDIA,163.3395022735932,-225.35309829002864,"[0.27662783857412054, 0.11996477126996427, -0.06335496706561974, -0.18195991945202628]","[0.13235300075373813, 0.13651433609668281, 0.1368990232355719, 0.1283003652610588]",1413.9753368590864,,405590.4026432425,0,500
HINGOLI,131.03257111049575,-227.88101225599522,"[0.001421599919427858, -0.0026300816167911037, -4.4413004761682134e-05, -0.0017427833942494303]","[0.017807658114692777, 0.01780860067832651, 0.01780514093685374, 0.017807352684779433]",1957.7944211642694,,82437110.92134531,0,500
JALGAON,599.7748037041405,-270.22693262762203,"[0.06241345967281978, 0.013539273232574289, 0.022546266040633693, 0.012376845081148766]","[0.07221043470717815, 0.07241479185797718, 0.07204275823639544, 0.07194935365887767]",6059.197643641185,,45444458.39660628,0,500
JALNA,238.58572868259455,-244.9673209837774,"[0.05093419559819565, -0.009665473893038203, -0.00849459527188466, 0.0008678925157056226]","[0.0648663252801161, 0.06492184433273274, 0.06499018973274125, 0.06482337364127863]",3447.8108088620124,,14064195.553846473,0,500
KOLHAPUR,423.3803730801301,-254.0526648495759,"[0.019603059999287492, -0.0039687982723356765, -0.005309083620236653, -0.004282607686097656]","[0.0414444034570758, 0.041409684681091276, 0.04141425107333134, 0.041492667234213486]",5145.302085211766,,64008348.400156945,0,500
LATUR,330.9090218024473,-248.21888163336303,"[0.014494177865175858, -0.09043609242653247, -0.009130488178282336, 0.03265560235303383]","[0.08242690929152881, 0.08173442677770523, 0.08212044053561537, 0.08138132938802128]",4109.868882993295,,8974734.08790246,0,500
MUMBAI,4042.4931292796623,-316.85453113267874,"[-0.03446953356968248, 0.02750441350383072, -0.12764688850090405, 0.02717582211126149]","[0.09977925377630124, 0.09805791748694903, 0.10493674676221337, 0.10645979703023656]",-630.3616645796068,,456771146.2317206,1,500
NAGPUR,1196.3050667390044,-276.7589662081056,"[0.07267758971604243, 0.01761318415150683, -0.0032447423090595836, 0.014967478802059547]","[0.07606217167348618, 0.07648096794084933, 0.0765432985200501, 0.0769944716255765]",6315.173791386525,,57554732.138351105,0,500
NANDED,441.6601103059315,-259.9045902308013,"[0.20730008819729756, -0.19348961722664143, -0.09116328149192694, -0.1347345513880574]","[0.12833780100986655, 0.1259020262988136, 0.12206753995995605, 0.11936391092297015]",6770.1336309228545,,3471152.7003936446,0,500
NANDURBAR,213.60273197765298,-260.1187218247603,"[0.431890117726582, 0.12109865704925274, 0.009613298324259029, -0.2725364405393631]","[0.14410317459079303, 0.15638098684488, 0.14700902500164567, 0.13765837338823306]",2243.714404461531,,1553591.3296895646,0,500
NASHIK,574.3336532105632,-290.6257658969183,"[0.1889237066938163, 0.036590798708027415, 0.021223157586643875, 0.03962223978361051]","[0.11201292434695695, 0.11484451391927217, 0.11310216045263284, 0.11257371207328276]",7672.043535547567,,39524968.673149996,0,500
OSMANABAD,266.9057094226217,-239.9952350834766,"[0.009448038525606018, -0.0008913153378621369, -0.0005784906825797938, -0.0026016876724583478]","[0.03005852386843852, 0.030100774455687276, 0.030195507821671956, 0.030175039703648834]",2436.123661295336,,56466322.44853587,0,500
PALGHAR,533.1122693233368,-259.0383227817615,"[0.21798859317679506, 0.15426054950527635, -0.027698201119595964, -0.024130903520233678]","[0.12358454430146062, 0.13010022031871316, 0.13109355480439067, 0.126721641751891]",3553.0883858519082,,4152245.1792408954,0,500
PARBHANI,352.0180202775115,-245.87523432185992,"[0.003063498976610599, 0.0004223185407808872, -0.0004769189991937468, -0.00010602711367748135]","[0.01755878473059538, 0.017559493819945593, 0.017560938094845026, 0.017558441558460213]",3062.5835069990158,,237414101.0004089,0,500
PUNE,1348.29278374275,-297.8235963993614,"[0.083691581711261, -0.017392758401835677, -0.07346794526852829, 0.053351152929731825]","[0.08845879103029095, 0.08744002524795817, 0.08842681445748542, 0.09057388594139308]",15556.072301378335,,116836312.0493193,0,500
RAIGAD,946.1077649464546,-253.84070259493845,"[-0.2870758789292527, -0.06945805678099214, -0.11449935625351876, 0.08121570514212834]","[0.13229079192121562, 0.13682854541204198, 0.1344428557481323, 0.12808598321027584]",21.604127444883776,,3580113.719615056,1,500
RATNAGIRI,222.6627406712782,-233.52275709491755,"[0.40809021452436267, -0.021944724750166927, 0.009386189701622874, -0.02556351073720839]","[0.14476912559510624, 0.15174094679325895, 0.1457488686292798, 0.1402103830998332]",941.6113878166885,,506832.96454932523,0,500
SANGLI,272.74332237776855,-237.14358387892997,"[0.2779239968907206, -0.03119610209982461, 0.15684657214573178, 0.04669345340450254]","[0.13184992730843814, 0.13350196370096726, 0.137017047290228, 0.1355425717364495]",2301.1617938101417,,906859.5005957278,0,500
SATARA,502.5693028448649,-247.85757097929127,"[0.0006700925878423648, -0.0009283819464790202, 0.00012383039847736865, 6.399976933753565e-05]","[0.012368549134035465, 0.012370301303047851, 0.012370970849982033, 0.01237584864891722]",4042.33517353467,,538929708.2135428,0,500
SINDHUDURG,104.56921164927361,-203.3080652200708,"[0.0004459034139938646, 5.4010855933466905e-05, -5.0237446925723555e-05, -0.000480629243789488]","[0.011498285902748732, 0.011498800647098769, 0.011500489398058587, 0.011497888559578503]",674.3615567263738,,48939868.687644415,0,500
SOLAPUR,543.2880764737316,-263.62856610271956,"[0.3858440524277858, -0.18480536593117675, -0.039617819014663186, 0.05387003543980179]","[0.14107278457626343, 0.15121548418171668, 0.15035510019144566, 0.14103152928002907]",5570.528995460673,,2585752.225169415,0,500
THANE,1539.7485167464124,-279.86254412074413,"[0.07839739741932383, -0.003560983536722004, -0.11459993365989873, -0.1137304335437338]","[0.09128182580291455, 0.09121958514694915, 0.0912204092931748, 0.09426798949753318]",15996.646451500179,,28898727.425434284,0,500
WARDHA,196.68468528822945,-219.38289474705863,"[0.20603649145331335, -0.16413792437537084, -0.06420926570681956, -0.1178789419230732]","[0.1268422252322705, 0.12947098943073618, 0.12848292620317048, 0.12387862575800444]",1797.3675867328975,,386477.0237368986,0,500
WASHIM,148.61895148001858,-234.4818681198238,"[0.2547399861941074, -0.2425647374619671, 0.08744157107754501, -0.16166408580317207]","[0.1369639989819333, 0.14091457760391307, 0.13743910873978238, 0.13391312010358877]",1769.5771600354342,,578549.7713370739,0,500
YAVATMAL,245.94614739385338,-252.5981619493073,"[0.11111198253670904, 0.09258695794962048, 0.01954931942151229, 0.02472170552914406]","[0.09541979518968219, 0.09574296595160359, 0.09568201940850773, 0.09426382398757101]",2911.9118692148377,,7054871.862073895,0,500
MUMBAI SUBURBAN,547.1261162415785,-45.38366128147308,"[0.17370178045390328, 0.20029270664928311, 0.16229305788381126, 0.19027813958976084]","[0.17819497277613575, 0.17831596175993802, 0.10350886985598924, 0.09299212812078729]",4419.859653151343,,1431851.774774507,0,500
