district,rmse,seasonal
AHMEDNAGAR,938.1788169827535,False
AKOLA,181.15219942332863,False
AMRAVATI,402.0231588686029,False
AURANGABAD,1160.8479447218078,False
BEED,659.0793748440459,False
BHANDARA,219.5567249230587,False
BULDHANA,252.97195272943225,False
CHANDRAPUR,550.0441423334725,False
DHULE,338.22828451102134,False
GADCHIROLI,383.2265078927276,False
GONDIA,182.98304355407782,False
HINGOLI,97.43948618411632,False
JALGAON,653.2556470493378,False
JALNA,203.20020492119542,False
KOLHAPUR,370.6408688645377,False
LATUR,283.57106757921974,False
MUMBAI,1135.7136741820182,False
NAGPUR,1196.5295096898653,False
NANDED,325.8671352879805,False
NANDURBAR,705.8328224623885,False
NASHIK,1002.1000232827082,False
OSMANABAD,283.8722500159962,False
PALGHAR,389.8508109566395,False
PARBHANI,166.8589955992601,False
PUNE,1010.0411534736279,False
RAIGAD,1087.3790883115234,False
RATNAGIRI,112.73602189533868,False
SANGLI,130.44508692987205,False
SATARA,2111.096059521396,False
SINDHUDURG,69.48740864220126,False
SOLAPUR,579.6254044560106,False
THANE,2235.072305955551,False
WARDHA,184.3259465525809,False
WASHIM,151.47000847715367,False
YAVATMAL,386.37480002211504,False
MUMBAI SUBURBAN,274.16105590579565,False
AHMEDNAGAR,938.1788169827535,False
AKOLA,181.15219942332863,False
AMRAVATI,402.0231588686029,False
AURANGABAD,1160.8479447218078,False
BEED,659.0793748440459,False
BHANDARA,219.5567249230587,False
BULDHANA,252.97195272943225,False
CHANDRAPUR,550.0441423334725,False
DHULE,338.22828451102134,False
GADCHIROLI,383.2265078927276,False
GONDIA,182.98304355407782,False
HINGOLI,97.43948618411632,False
JALGAON,653.2556470493378,False
JALNA,203.20020492119542,False
KOLHAPUR,370.6408688645377,False
LATUR,283.57106757921974,False
MUMBAI,1135.7136741820182,False
NAGPUR,1196.5295096898653,False
NANDED,325.8671352879805,False
NANDURBAR,705.8328224623885,False
NASHIK,1002.1000232827082,False
OSMANABAD,283.8722500159962,False
PALGHAR,389.8508109566395,False
PARBHANI,166.8589955992601,False
PUNE,1010.0411534736279,False
RAIGAD,1087.3790883115234,False
RATNAGIRI,112.73602189533868,False
SANGLI,130.44508692987205,False
SATARA,2111.096059521396,False
SINDHUDURG,69.48740864220126,False
SOLAPUR,579.6254044560106,False
THANE,2235.072305955551,False
WARDHA,184.3259465525809,False
WASHIM,151.47000847715367,False
YAVATMAL,386.37480002211504,False
MUMBAI SUBURBAN,274.16105590579565,False
