district,date,actual,forecast
YAVATMAL,2020-10-01,182,252.3154082786906
YAVATMAL,2020-11-01,174,233.36568278955642
YAVATMAL,2020-12-01,163,191.6769775610593
YAVATMAL,2021-01-01,146,196.6665200016693
YAVATMAL,2021-02-01,140,179.9178711405062
YAVATMAL,2021-03-01,161,256.92388377728906
