district,rmse,best_order,stationary
AHMEDNAGAR,1085.764858689319,"(0, 0, 0)",True
AKOLA,352.2278697345284,"(0, 1, 1)",False
AMRAVATI,909.0103841507466,"(1, 0, 0)",False
AURANGABAD,323.3892598576499,"(1, 1, 0)",False
BEED,624.3978074053861,"(1, 0, 0)",True
BHANDARA,306.39386416832826,"(0, 1, 0)",False
BULDHANA,491.11876394424746,"(1, 0, 0)",False
CHANDRAPUR,579.5110603401196,"(1, 0, 0)",True
DHULE,366.2380323382128,"(1, 0, 0)",True
GADCHIROLI,279.21806594287574,"(0, 0, 1)",True
GONDIA,222.07152333880808,"(1, 0, 0)",True
HINGOLI,174.28023410587903,"(0, 1, 0)",True
JALGAON,3818.2469719784895,"(0, 1, 1)",False
JALNA,704.9309052470093,"(1, 0, 0)",False
KOLHAPUR,1114.7184846408531,"(0, 1, 0)",False
LATUR,560.0539259749904,"(0, 1, 0)",False
MUMBAI,2240.50274124185,"(1, 0, 0)",False
NAGPUR,313.41879316374616,"(0, 1, 1)",False
NANDED,1331.7628167207552,"(0, 1, 0)",True
NANDURBAR,513.8403448543137,"(0, 1, 0)",False
NASHIK,824.9957880551304,"(0, 1, 1)",False
OSMANABAD,369.9076911879503,"(0, 1, 0)",False
PALGHAR,755.3598497804672,"(1, 0, 0)",False
PARBHANI,485.00217943702376,"(0, 0, 2)",True
PUNE,1619.1157750808666,"(1, 1, 0)",True
RAIGAD,1331.9678138805778,"(1, 0, 0)",False
RATNAGIRI,409.09229601828815,"(0, 1, 1)",True
SANGLI,889.3065690196551,"(1, 1, 0)",True
SATARA,872.7353781388807,"(2, 1, 1)",False
SINDHUDURG,100.74517396084818,"(1, 0, 0)",False
SOLAPUR,1369.777682691611,"(0, 1, 0)",False
THANE,2740.0673081957416,"(0, 1, 1)",False
WARDHA,154.05440546131635,"(0, 1, 1)",False
WASHIM,123.8261592816457,"(0, 1, 1)",True
YAVATMAL,741.1750130704623,"(0, 1, 0)",True
MUMBAI SUBURBAN,861.7158332395448,"(0, 0, 1)",False
