district,rmse,r_squared,best_params,differencing
AHMEDNAGAR,540.9200555448102,0.773761472357698,"{'max_depth': 5, 'n_estimators': 100}",0
AKOLA,249.19303956144054,0.7917841926120298,"{'max_depth': 5, 'n_estimators': 200}",0
AMRAVATI,395.762087220201,0.8001173064866709,"{'max_depth': 5, 'n_estimators': 200}",0
AURANGABAD,441.9256964191554,0.8528590036984336,"{'max_depth': None, 'n_estimators': 200}",0
BEED,341.1041539074127,0.86213800008646,"{'max_depth': 5, 'n_estimators': 200}",0
BHANDARA,278.50063779613316,0.8114816073978277,"{'max_depth': 5, 'n_estimators': 200}",1
BULDHANA,345.1173857013142,0.7862721819691503,"{'max_depth': 5, 'n_estimators': 200}",0
CHANDRAPUR,172.0748853812437,0.9098159021987391,"{'max_depth': 5, 'n_estimators': 100}",0
DHULE,492.29550273297355,0.8323727381494264,"{'max_depth': None, 'n_estimators': 100}",0
GADCHIROLI,343.668476929495,0.8142569061731537,"{'max_depth': 5, 'n_estimators': 100}",1
GONDIA,138.72687068481002,0.8921335567241936,"{'max_depth': None, 'n_estimators': 200}",0
HINGOLI,98.68070436334142,0.7885483253400427,"{'max_depth': 5, 'n_estimators': 100}",0
JALGAON,677.2155583055599,0.81167269810301,"{'max_depth': None, 'n_estimators': 100}",0
JALNA,289.49024838210573,0.8710078627714969,"{'max_depth': None, 'n_estimators': 200}",0
KOLHAPUR,428.5167020730412,0.844657168879873,"{'max_depth': None, 'n_estimators': 100}",0
LATUR,336.04369408347543,0.8141913756733203,"{'max_depth': 5, 'n_estimators': 100}",0
MUMBAI,3586.742887024692,0.8447275355613003,"{'max_depth': None, 'n_estimators': 100}",1
NAGPUR,1154.4571722951787,0.8355011088588379,"{'max_depth': 5, 'n_estimators': 100}",0
NANDED,421.55820668018566,0.8129857692091798,"{'max_depth': 5, 'n_estimators': 100}",0
NANDURBAR,219.00723798287788,0.872670319322918,"{'max_depth': None, 'n_estimators': 100}",0
NASHIK,672.033879358518,0.8298981775112108,"{'max_depth': 5, 'n_estimators': 100}",0
OSMANABAD,188.28474742210426,0.8371136306530855,"{'max_depth': 10, 'n_estimators': 200}",0
PALGHAR,518.2657297202151,0.8059438097524716,"{'max_depth': 5, 'n_estimators': 100}",0
PARBHANI,307.1341708422909,0.7827379300298232,"{'max_depth': 5, 'n_estimators': 100}",0
PUNE,1456.7037808391628,0.8744050814573653,"{'max_depth': None, 'n_estimators': 100}",0
RAIGAD,941.9239891807664,0.8631347231514545,"{'max_depth': 5, 'n_estimators': 200}",1
RATNAGIRI,325.81524174838034,0.8492872124056356,"{'max_depth': None, 'n_estimators': 200}",0
SANGLI,282.3265911631029,0.8624087843866903,"{'max_depth': None, 'n_estimators': 100}",0
SATARA,484.74228545783916,0.8040158144129145,"{'max_depth': 5, 'n_estimators': 200}",0
SINDHUDURG,121.64032175959491,0.8164043237875458,"{'max_depth': None, 'n_estimators': 100}",0
SOLAPUR,601.8243817159437,0.8853402713252623,"{'max_depth': None, 'n_estimators': 200}",0
THANE,1549.2648632156936,0.8105527775265836,"{'max_depth': 5, 'n_estimators': 100}",0
WARDHA,170.73015292586578,0.8517623619229591,"{'max_depth': 10, 'n_estimators': 200}",0
WASHIM,145.51575296226903,0.7994212102429074,"{'max_depth': 5, 'n_estimators': 200}",0
YAVATMAL,142.36815564899396,0.837661644514638,"{'max_depth': 5, 'n_estimators': 100}",0
MUMBAI SUBURBAN,205.56984214616662,0.943587142022798,"{'max_depth': None, 'n_estimators': 100}",0
