district,rmse,seasonal_periods,box_cox_used,arma_errors_used
AHMEDNAGAR,55.72570492358278,None,False,False
AKOLA,69.74635422642814,None,True,False
AMRAVATI,230.15181203180356,None,True,False
AURANGABAD,240.28336904701672,None,True,False
BEED,50.73535063545048,None,True,False
BHANDARA,86.03106844574063,None,True,False
BULDHANA,52.07633589159975,None,True,True
CHANDRAPUR,95.88490536694786,None,True,False
DHULE,154.97850308813162,None,False,True
GADCHIROLI,87.93509476159095,None,False,False
GONDIA,76.30992977846867,None,True,False
HINGOLI,95.86314106336243,None,True,True
JALGAON,111.46386817000541,None,True,False
JALNA,97.77508067950981,None,True,False
KOLHAPUR,83.25095071435564,None,False,False
LATUR,134.43958078109344,None,True,False
MUMBAI,148.98158139984028,None,False,False
NAGPUR,128.39496855472066,None,True,False
NANDED,98.19731893206581,None,False,False
NANDURBAR,143.7707187482757,None,True,False
NASHIK,119.92428618488296,None,False,True
OSMANABAD,40.18824349565884,None,False,True
PALGHAR,143.25055980334247,None,False,False
PARBHANI,76.10004413551373,None,True,False
PUNE,316.7074627721888,None,False,False
RAIGAD,76.66459296197486,None,False,True
RATNAGIRI,70.56114141955891,None,False,False
SANGLI,85.65812045878576,None,False,False
SATARA,135.4995973212115,None,False,True
SINDHUDURG,22.744486880071157,None,False,False
SOLAPUR,120.00048689954349,None,False,False
THANE,171.70011831884312,None,False,False
WARDHA,73.97114856556138,None,False,True
WASHIM,20.177756772873995,None,True,False
YAVATMAL,30.457874596720405,None,True,False
MUMBAI SUBURBAN,197.43014612761732,None,False,False
