district,model,RMSE
AHMEDNAGAR,LASSO,531.9255170399563
AKOLA,TBATS,164.4482193486913
AMRAVATI,ELASTICNET,228.17832401218024
AURANGABAD,LASSO,402.7568080918855
BEED,XGBOOST,280.91650686366063
BHANDARA,XGBOOST,144.27200518009568
BULDHANA,KNN,172.04024236538754
CHANDRAPUR,LASSO,194.01052728893137
DHULE,LASSO,336.726616626879
GADCHIROLI,PROPHET,156.76042979168506
GONDIA,RF,79.3003056480724
HINGOLI,ARIMA,97.0448349990869
JALGAON,LASSO,614.9315656864449
JALNA,LASSO,167.77057857643192
KOLHAPUR,PROPHET,248.81746686299337
LATUR,TBATS,239.62480974461792
MUMBAI,RF,462.2973973160761
MUMBAI SUBURBAN,EXP,274.16105590579565
NAGPUR,LGBM,932.0572047893311
NANDED,LGBM,302.4556472104023
NANDURBAR,LASSO,211.69745083213834
NASHIK,HUBER,473.306312170552
OSMANABAD,LASSO,202.6520657564468
PALGHAR,ET,340.7608875811774
PARBHANI,LGBM,156.22127216296053
PUNE,LSTM,698.2788950288282
RAIGAD,LGBM,862.2707732833808
RATNAGIRI,ARIMA,112.30931056769401
SANGLI,EXP,130.44508692987205
SATARA,LASSO,521.568810094783
SINDHUDURG,XGBOOST,61.97337308851171
SOLAPUR,GB,486.0998360889267
THANE,GB,817.0760347726056
WARDHA,DT,119.61136569680525
WASHIM,TBATS,134.52183705129855
YAVATMAL,LASSO,209.95286385871418
