district,rmse,seasonal
AHMEDNAGAR,546.3088751203455,False
AKOLA,309.37863943215586,False
AMRAVATI,483.08190608530606,False
AURANGABAD,570.6414523740017,False
BEED,1048.5716351145447,False
BHANDARA,266.08112276112314,False
BULDHANA,375.0687115317878,False
CHANDRAPUR,541.3488354244801,False
DHULE,358.8670256941119,False
GADCHIROLI,515.5598928975573,False
GONDIA,305.60553377150865,False
HINGOLI,124.28238149521397,False
JALGAON,672.2047563769967,False
JALNA,256.71973339307823,False
KOLHAPUR,409.67048835642055,False
LATUR,309.0514932482584,False
MUMBAI,1612.7398500006607,False
NAGPUR,1203.1214095807559,False
NANDED,418.0315907551401,False
NANDURBAR,755.3634780345876,False
NASHIK,1001.377751775015,False
OSMANABAD,407.2875818699016,False
PALGHAR,721.4633928357964,False
PARBHANI,348.606385664493,False
PUNE,1627.476759367979,False
RAIGAD,734.9940613335657,False
RATNAGIRI,315.342913227361,False
SANGLI,321.3725058503499,False
SATARA,496.5407361345622,False
SINDHUDURG,107.72225525884794,False
SOLAPUR,540.379680197493,False
THANE,1560.488858215891,False
WARDHA,213.21963070095202,False
WASHIM,144.30559392759451,False
YAVATMAL,284.1382140260401,False
MUMBAI SUBURBAN,94.10604399853216,False
