district,rmse,r_squared,params,differencing
AHMEDNAGAR,558.3414028487894,0.03494699314661964,"{'const': 8310.185059624448, 'lag_1': 0.012408248080203577, 'lag_2': -0.028497080988028445, 'lag_3': -0.1860203163889224}",0
AKOLA,275.78974461097135,0.19911195833481232,"{'const': 3684.7202364206432, 'lag_1': 0.17830872961502875, 'lag_2': -0.19510287895060818, 'lag_3': -0.3399153992139996}",0
AMRAVATI,388.98764766352554,0.2437303788446583,"{'const': 3717.422797188893, 'lag_1': 0.43806931229958646, 'lag_2': -0.2524023133111529, 'lag_3': -0.15199903910899126}",0
AURANGABAD,407.8963674760007,0.21740801287109968,"{'const': 2974.972511463833, 'lag_1': 0.3370805515080383, 'lag_2': -0.0920439791436008, 'lag_3': 0.3026335078450794}",0
BEED,335.2042890906776,0.16689793652397678,"{'const': 2469.668643669686, 'lag_1': 0.3999474624709462, 'lag_2': 0.03398143110282836, 'lag_3': -0.05905135508174586}",0
BHANDARA,276.13571839050496,0.08916675600648394,"{'const': -3.0007897337359823, 'lag_1': -0.24705542826465202, 'lag_2': -0.23062176053892477, 'lag_3': 0.008229310503984517}",1
BULDHANA,380.8967618301826,0.16520832867677027,"{'const': 4810.4026273062545, 'lag_1': 0.25544430593812706, 'lag_2': -0.21804344653358942, 'lag_3': -0.18826838221883024}",0
CHANDRAPUR,264.107260280863,0.2720954728035475,"{'const': 1604.2608306379095, 'lag_1': 0.584668408689478, 'lag_2': -0.16000490092982156, 'lag_3': -0.03011438388500061}",0
DHULE,346.7485201712906,0.22314494392429274,"{'const': 2510.0484609708337, 'lag_1': 0.4560174227751953, 'lag_2': -0.0950581348521029, 'lag_3': -0.03309041369201138}",0
GADCHIROLI,404.2386755103274,0.0994456313081028,"{'const': -0.6550291404138697, 'lag_1': -0.2375821993340637, 'lag_2': 0.0016306487683274036, 'lag_3': 0.21372418751543545}",1
GONDIA,159.97575223630662,0.23897762209305018,"{'const': 1059.0591916609455, 'lag_1': 0.4561162020428177, 'lag_2': 0.09404471374785578, 'lag_3': -0.18593096735420428}",0
HINGOLI,124.21457492677098,0.05971184257673601,"{'const': 1992.3900571699573, 'lag_1': 0.14439056652696325, 'lag_2': -0.21518101937279688, 'lag_3': 0.04712139817961247}",0
JALGAON,578.2722790920078,0.1336150876162483,"{'const': 4065.962485628639, 'lag_1': 0.3602969229823787, 'lag_2': -0.0813776809248512, 'lag_3': 0.12561171929909998}",0
JALNA,212.30965564123608,0.153188890604253,"{'const': 2682.099848907854, 'lag_1': 0.4172606929714995, 'lag_2': -0.1986551481064165, 'lag_3': 0.030095344893892317}",0
KOLHAPUR,442.4999198862647,0.16759219032194128,"{'const': 3949.2452425724564, 'lag_1': 0.42491415593429627, 'lag_2': -0.23751369332851202, 'lag_3': 0.050471893725054756}",0
