district,rmse,seasonal_periods,box_cox_used,arma_errors_used
AHMEDNAGAR,967.4102521478468,None,False,False
AKOLA,164.44821934869128,None,False,False
AMRAVATI,403.4330996661879,None,False,False
AURANGABAD,1160.2612839834437,None,False,False
BEED,583.382480833646,None,False,False
BHANDARA,219.17977582187063,None,False,False
BULDHANA,201.45474394173613,None,True,False
CHANDRAPUR,545.4729074761576,None,True,True
DHULE,345.1789179128548,None,False,False
GADCHIROLI,382.7792622004568,None,False,False
GONDIA,180.11910051568395,None,True,False
HINGOLI,235.90142802794807,None,True,False
JALGAON,777.5958093729082,None,False,False
JALNA,204.62798966277788,None,True,False
KOLHAPUR,371.08173359562824,None,True,False
LATUR,239.62480974461798,None,False,False
MUMBAI,1132.6189079757753,None,False,False
NAGPUR,1205.756019279509,None,True,False
NANDED,345.1035205276484,None,False,True
NANDURBAR,696.3224481409161,None,True,False
NASHIK,532.7559263274129,None,False,False
OSMANABAD,283.5411944214157,None,False,False
PALGHAR,375.3912495428436,None,True,False
PARBHANI,260.36505652432686,None,False,False
PUNE,876.6911634960651,None,True,True
RAIGAD,1137.4505951555004,None,True,False
RATNAGIRI,145.84959058910175,None,False,False
SANGLI,130.45396666093683,None,True,False
SATARA,2111.7390311897643,None,True,False
SINDHUDURG,68.55332872229648,None,True,False
SOLAPUR,720.3830476135051,None,True,False
THANE,1811.8956437866248,None,False,False
WARDHA,198.066891181982,None,False,False
WASHIM,134.52183705129855,None,True,False
YAVATMAL,390.09529805517235,None,False,False
MUMBAI SUBURBAN,1421.5864494589264,None,False,False
