district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
AHMEDNAGAR,1045.384759428752,-266.15727537192805,"[-0.055915173252454466, -0.006594617063588331, -0.014776531824821647, -0.01355381059260783]","[0.07040739967804341, 0.07050449682920758, 0.07118742330440365, 0.07118758674618993]",96.34473162017312,,61156520.00931277,1,500
AKOLA,184.05606744733853,-222.13988602536247,"[-0.003077037648965088, -0.00040681455541871094, -0.0022124557231323724, -0.0013914680418734048]","[0.019613990781061512, 0.01962305791697237, 0.019624801386923962, 0.019623594087027112]",18.149365402631698,,70964525.73950747,1,500
AMRAVATI,292.64615231266424,-240.8335232099852,"[0.3684088953023246, -0.02632047231256236, -0.02416151827253454, 0.27073771071602454]","[0.136352628553879, 0.14699826003869187, 0.1453278582546323, 0.1248828153219139]",915.1561006574909,,640834.0743079144,0,500
AURANGABAD,1234.500405547379,-243.97822557207408,"[-0.17318652510579388, 0.1074000636803619, 0.04025393397304211, -0.05463640822098518]","[0.11665514381393703, 0.11808280357359313, 0.11722033062862142, 0.11699678987979284]",29.263371403925543,,3673811.247373728,1,500
BEED,596.3627350546419,-238.33338305786046,"[-0.005286221023545177, -0.0006380683692904613, 0.0027561824700092045, -0.003963423680072332]","[0.025148835180151558, 0.02515016700752817, 0.02516320340756984, 0.025211830298585775]",50.02761925743225,,110642613.43007791,1,500
BHANDARA,177.47202219481068,-207.73873638916265,"[-0.0006633022956947848, 0.00037603283615200375, -0.0005360834768469525, -0.0010556308192295446]","[0.012763002943929767, 0.012762267653477724, 0.012761013898812859, 0.01275528674835138]",5.036992542913717,,72496023.13480936,1,500
BULDHANA,188.37201280168446,-226.8616081843406,"[-0.19418255354068545, -0.06683891318722619, 0.013102862267121186, 0.0020048574046628853]","[0.1116713480544039, 0.11302558480038329, 0.11327619350313038, 0.11225720626037813]",27.416055405026356,,1458839.1715914751,1,500
CHANDRAPUR,501.0817524765703,-246.15113915017082,"[-0.01036053945850533, -0.07884357887715379, 0.020979496841895706, -0.056350716073886906]","[0.08563923999896672, 0.08598906763261724, 0.08591574282557156, 0.08602024746167053]",30.656804043254514,,11127486.279940063,1,500
DHULE,679.6492291058468,-245.7759458472744,"[-0.17826493238467264, -0.10618656256634618, 0.04705963925371674, -0.008072851912273853]","[0.11619745497694281, 0.11908945340657139, 0.11915090037898415, 0.11585945718643524]",67.15884195529273,,4103242.745688441,1,500
GADCHIROLI,411.0362765814785,-213.25513204617542,"[-2.2509019171794344e-05, -0.00038842552554201883, -0.00010111336837316299, -0.00012108558521636744]","[0.00987854662701744, 0.009878245587399633, 0.009877868718236626, 0.009879046190609284]",17.127472073305427,,167690923.57846925,1,500
GONDIA,119.86731248432062,-225.04938072507707,"[0.3795506593733345, -0.0221733431181515, 0.09425425578731786, -0.09759259069268367]","[0.1390737809972628, 0.14817134556889042, 0.14739537545905823, 0.14003895763078494]",908.9992927496558,,320866.5472626466,0,500
HINGOLI,304.9690441657528,-223.43543392675144,"[-0.27855750405359164, -0.4819471091141866, -0.2157365666060318, -0.3463390324529517]","[0.1466580963419419, 0.1483688150934836, 0.1484810386401812, 0.14739553267046288]",59.91375972786303,,168442.8258347033,1,500
JALGAON,1315.8148491558836,-248.7927900842831,"[-0.08781229971020338, -0.03853772903715257, -0.042184394109422846, -0.29534109946968146]","[0.12361679595954475, 0.1239802560344303, 0.1227959578156805, 0.11984680834805128]",101.62101370324523,,2993855.873896065,1,500
JALNA,226.50942332522456,-233.51493392240513,"[0.5813788269446596, -0.05528607363758603, 0.22413777181925978, -0.241627950408212]","[0.14258469008641025, 0.16417381130412506, 0.16479078014002915, 0.1485775264356864]",818.1944860384597,,215002.57153181816,0,500
KOLHAPUR,320.13036610072754,-236.43967631838396,"[-0.005197659321855699, -0.0015072051660850615, -0.002409089719288043, 0.0024288099527190916]","[0.02426558421097278, 0.024265460157796914, 0.024303218208472702, 0.024298161991266536]",36.88527510259035,,106677426.47053269,1,500
