district,date,actual,forecast,model_params
BEED,2020-11-01,472,474.4271799463245,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A597690>
BEED,2020-12-01,561,474.4271799463245,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A597690>
BEED,2021-01-01,439,474.4271799463245,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A597690>
BEED,2021-02-01,414,474.4271799463245,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A597690>
BEED,2021-03-01,439,474.4271799463245,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A597690>
BHANDARA,2020-06-01,250,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2020-07-01,267,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2020-08-01,323,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2020-09-01,344,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2020-10-01,397,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2020-11-01,285,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2020-12-01,316,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2021-01-01,194,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2021-02-01,173,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BHANDARA,2021-03-01,225,222.45725946118353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D5F5210>
BULDHANA,2020-06-01,197,203.2855014100361,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2020-07-01,186,198.84314646204604,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2020-08-01,211,224.81729987142177,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2020-09-01,266,219.72240381163726,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2020-10-01,280,233.24927208729977,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2020-11-01,328,222.36870292487927,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2020-12-01,268,227.44819989748302,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2021-01-01,168,217.22219540550364,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2021-02-01,139,221.23876142994857,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
BULDHANA,2021-03-01,195,215.20820624034462,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D590990>
CHANDRAPUR,2020-06-01,327,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2020-07-01,445,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2020-08-01,502,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2020-09-01,592,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2020-10-01,628,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2020-11-01,562,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2020-12-01,467,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2021-01-01,385,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2021-02-01,422,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
CHANDRAPUR,2021-03-01,385,493.3829860217601,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A30CF50>
