district,date,actual,forecast
SINDHUDURG,2020-07-01,9,9.294655
SINDHUDURG,2020-08-01,3,3.3742745
SINDHUDURG,2020-09-01,10,7.546724
SINDHUDURG,2020-10-01,4,6.808256
SINDHUDURG,2020-11-01,6,10.016688
SINDHUDURG,2020-12-01,7,4.2497807
SINDHUDURG,2021-01-01,2,4.6759176
SINDHUDURG,2021-02-01,4,10.765696
SINDHUDURG,2021-03-01,7,5.54332
