district,rmse,r_squared,best_params,differencing
AHMEDNAGAR,947.1126029036227,0.1037357534990937,"{'n_neighbors': 9, 'weights': 'uniform'}",1
AKOLA,594.7660500743025,0.30520186237782154,"{'n_neighbors': 3, 'weights': 'uniform'}",1
AMRAVATI,417.52162766792645,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",0
AURANGABAD,1312.1719648377352,0.07981266347287719,"{'n_neighbors': 7, 'weights': 'uniform'}",1
BEED,685.1450270129295,1.0,"{'n_neighbors': 5, 'weights': 'distance'}",1
BHANDARA,173.11742282457024,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
BULDHANA,172.04024236538754,0.053242017372832406,"{'n_neighbors': 9, 'weights': 'uniform'}",1
CHANDRAPUR,475.3735676355853,-0.008763590066884541,"{'n_neighbors': 9, 'weights': 'uniform'}",1
DHULE,912.1168995292993,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",1
GADCHIROLI,833.8873781707562,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",1
GONDIA,122.58049061895652,0.18164279844052922,"{'n_neighbors': 9, 'weights': 'uniform'}",0
HINGOLI,116.58236993470251,0.11742864795589925,"{'n_neighbors': 7, 'weights': 'uniform'}",1
JALGAON,1436.4221631395706,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
JALNA,230.2514107529254,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",0
KOLHAPUR,381.431798274939,0.030752548469228924,"{'n_neighbors': 9, 'weights': 'uniform'}",1
LATUR,812.8722568143726,0.058802439705621046,"{'n_neighbors': 9, 'weights': 'uniform'}",1
MUMBAI,507.6246061222217,-0.046536355711005895,"{'n_neighbors': 9, 'weights': 'uniform'}",1
NAGPUR,1387.783342744831,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
NANDED,302.9632624755525,1.0,"{'n_neighbors': 5, 'weights': 'distance'}",0
NANDURBAR,1282.039369036136,0.18227422210311406,"{'n_neighbors': 9, 'weights': 'uniform'}",1
NASHIK,552.171541753678,0.0356261746428892,"{'n_neighbors': 9, 'weights': 'uniform'}",1
OSMANABAD,393.4514783853549,0.22659796988578018,"{'n_neighbors': 9, 'weights': 'uniform'}",1
PALGHAR,394.1271909300162,-0.032029534923337044,"{'n_neighbors': 7, 'weights': 'uniform'}",1
PARBHANI,269.36964854466856,1.0,"{'n_neighbors': 7, 'weights': 'distance'}",1
PUNE,860.9641064504694,1.0,"{'n_neighbors': 3, 'weights': 'distance'}",0
RAIGAD,1113.9819727246738,0.3997717318717928,"{'n_neighbors': 5, 'weights': 'uniform'}",1
RATNAGIRI,235.89408180928885,0.19736851741672723,"{'n_neighbors': 9, 'weights': 'uniform'}",1
SANGLI,148.41601587005542,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
SATARA,2096.014905096769,1.0,"{'n_neighbors': 9, 'weights': 'distance'}",1
SINDHUDURG,115.07400255096775,0.00724998379882924,"{'n_neighbors': 9, 'weights': 'uniform'}",1
SOLAPUR,689.3086584881021,0.4355859647273166,"{'n_neighbors': 5, 'weights': 'uniform'}",1
THANE,999.7421578698296,0.2928385822883771,"{'n_neighbors': 5, 'weights': 'uniform'}",1
WARDHA,147.29818678416913,0.20394446303150104,"{'n_neighbors': 9, 'weights': 'uniform'}",0
WASHIM,289.09066078116683,0.09192911291669548,"{'n_neighbors': 9, 'weights': 'uniform'}",1
YAVATMAL,285.8969589049717,0.45118206467166033,"{'n_neighbors': 5, 'weights': 'uniform'}",0
