district,rmse,r_squared,best_params,differencing
AHMEDNAGAR,83.17573274445849,0.8502336740548728,"{'max_depth': 5, 'n_estimators': 100}",0
AKOLA,88.4878540907201,0.8377310909428207,"{'max_depth': 5, 'n_estimators': 100}",0
AMRAVATI,192.18735846830526,0.8115650828840935,"{'max_depth': 5, 'n_estimators': 100}",1
AURANGABAD,417.0076663830321,0.798893330027264,"{'max_depth': None, 'n_estimators': 100}",1
BEED,54.64876647992869,0.8425307325762662,"{'max_depth': None, 'n_estimators': 100}",0
BHANDARA,76.86485125231995,0.893982962924926,"{'max_depth': 5, 'n_estimators': 200}",0
BULDHANA,46.010277389675196,0.8416012451739511,"{'max_depth': 5, 'n_estimators': 200}",0
CHANDRAPUR,156.66502673692705,0.7476123964435508,"{'max_depth': 5, 'n_estimators': 200}",1
DHULE,98.58691417147651,0.7830035791211235,"{'max_depth': 5, 'n_estimators': 100}",0
GADCHIROLI,78.35384837744446,0.8397366062106886,"{'max_depth': None, 'n_estimators': 100}",1
GONDIA,102.94419584153819,0.8823205061762353,"{'max_depth': 10, 'n_estimators': 200}",1
HINGOLI,72.35444570922294,0.8568661584658201,"{'max_depth': None, 'n_estimators': 200}",0
JALGAON,120.23010431390856,0.8981219275963871,"{'max_depth': 10, 'n_estimators': 200}",0
JALNA,61.666489008753096,0.8684981224992692,"{'max_depth': None, 'n_estimators': 100}",0
KOLHAPUR,89.39877405415065,0.8318302997019026,"{'max_depth': 10, 'n_estimators': 200}",0
LATUR,108.66282585331147,0.769647370775479,"{'max_depth': 5, 'n_estimators': 200}",0
MUMBAI,334.6653769231456,0.8548156830600764,"{'max_depth': None, 'n_estimators': 100}",1
NAGPUR,173.488894081244,0.8554177802480202,"{'max_depth': 5, 'n_estimators': 100}",0
NANDED,45.48760521906585,0.9066548224413834,"{'max_depth': 10, 'n_estimators': 200}",0
NANDURBAR,70.41483100989927,0.923395286360585,"{'max_depth': 5, 'n_estimators': 200}",0
NASHIK,109.9662707760069,0.8807907888222227,"{'max_depth': 5, 'n_estimators': 100}",0
OSMANABAD,36.81033580455974,0.8186221288548973,"{'max_depth': 5, 'n_estimators': 100}",0
PALGHAR,188.16329264763624,0.9112164915619758,"{'max_depth': None, 'n_estimators': 200}",0
PARBHANI,71.4260076738314,0.8980994834111258,"{'max_depth': None, 'n_estimators': 200}",0
PUNE,218.7944949792178,0.892687495795183,"{'max_depth': 5, 'n_estimators': 100}",0
RAIGAD,83.25442973646662,0.7832543158265808,"{'max_depth': 5, 'n_estimators': 100}",0
RATNAGIRI,219.3479288637386,0.8238178102421608,"{'max_depth': 5, 'n_estimators': 100}",1
SANGLI,96.74522951201952,0.8613548507800006,"{'max_depth': None, 'n_estimators': 200}",0
SATARA,122.56083175238949,0.7977243314288696,"{'max_depth': 5, 'n_estimators': 100}",0
SINDHUDURG,24.515525862875823,0.8246662596312704,"{'max_depth': None, 'n_estimators': 200}",0
SOLAPUR,81.9181942306283,0.904481012560151,"{'max_depth': 10, 'n_estimators': 200}",0
THANE,312.6117827140664,0.792902212164152,"{'max_depth': None, 'n_estimators': 200}",1
WARDHA,57.68210012534961,0.8158002452238077,"{'max_depth': 5, 'n_estimators': 100}",0
WASHIM,25.07167387347861,0.8732942882778933,"{'max_depth': 5, 'n_estimators': 200}",0
YAVATMAL,28.53140418906858,0.93306417102707,"{'max_depth': None, 'n_estimators': 200}",0
MUMBAI SUBURBAN,188.22591067650595,0.8059099569221579,"{'max_depth': None, 'n_estimators': 100}",0
