district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LGBM,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
AHMEDNAGAR,108.88162854379848,91.87561297095601,93.43348101187122,91.69217448131063,86.45982715703255,75.73904288190249,58.61980942653828,131.6770700869758,81.64735337580464,94.40126397170634,77.00759026062333,130.2921199604947,86.56144499650115,64.80708905424623,106.6501375384711,83.17573274445849,76.95935648029467,47.24146477255246,55.72570492358278,82.02749144376462
AKOLA,119.30702772635568,73.87230112588172,67.45815870351306,139.67670913155897,62.99544038545724,65.03834994746475,74.04327170313138,87.2909668420882,69.86460769932384,79.68772213449768,58.27144788801595,79.9239297894667,62.94815424541397,68.49247472299574,156.37399207386676,88.48785409072012,58.186014170397684,432.914887708889,69.74635422642814,71.93641213437114
AMRAVATI,,148.88626691531374,416.92362832933475,315.67229537665025,435.6001091173676,273.1301039848551,182.9581785477688,280.09507890714485,440.57789039968515,186.19716260659615,467.8397548324555,962.3824856769169,435.7213340253899,,400.23160036395007,192.18735846830526,468.0164494491172,153.2696959922632,230.15181203180356,182.3620918160132
AURANGABAD,,175.5064157901063,326.65838580033693,662.8207116004379,330.85654339156935,530.8799002390067,240.22558653500644,336.9211735148965,308.15337628384003,337.703271103685,435.9098733913237,220.01835028954503,330.87434699494884,,194.37668875397,417.0076663830321,436.2905189793994,274.62565936195824,240.28336904701672,525.3903035412188
BEED,116.84401879577567,145.28046309190614,111.5557900977698,59.4787689712332,71.46478851052125,69.02456034308047,50.76015824674285,116.23713392170349,65.345810346301,47.120742385642195,81.88940175667227,49.7737991557493,71.38752974821082,142.63104768590082,310.4479084260444,54.64876647992869,81.85346862046377,269.82101421285245,50.73535063545048,58.9494943020594
BHANDARA,79.66176723729542,68.39639407931271,53.24037391374653,63.58133317606239,55.437780916058855,72.83374929324393,86.79470920945064,85.03516244327704,54.653266456894826,49.27446938662386,55.32386941118867,90.19503329881378,55.46523793723598,58.37760770765039,80.70222803738088,76.86485125231994,55.70381032959565,53.1346031440437,86.0310684457406,83.3194256484426
BULDHANA,48.689003445180866,50.066425205578355,44.5632835887332,55.143963565263206,43.75349239670392,47.319176110513354,65.66760794909314,56.68237158998952,43.23603071739533,46.34297261841444,45.877890109062,51.04420742337745,43.7646606655328,63.937001798086975,62.148007437737775,46.010277389675196,45.96796338339823,64.16100446868285,52.07633589159975,47.65829589640192
CHANDRAPUR,,86.71856151731848,214.02534374568083,310.5855754721362,220.91114777038135,175.29371841165138,94.44705238806817,247.20595391405476,275.2198547620275,123.01116859639738,237.84153472073518,212.10241777734572,221.2634048464324,,76.723385470598,156.66502673692705,237.80625316351106,252.33817381039725,95.88490536694786,191.25551250699039
DHULE,151.88857958007944,148.57877955612506,119.71447067121949,98.3574044612081,108.18315201643452,121.93267828327782,101.10866884532027,141.27113857634708,108.44841024160833,149.40430871389583,109.93604282840622,107.8282405200693,108.25202975603308,106.7228792429018,173.2620541688867,98.58691417147651,110.02868670858699,271.77911706134324,154.97850308813162,117.89559689098473
GADCHIROLI,,47.93940688723379,104.05428893895214,99.36899991948566,86.67129797607917,68.2573809195753,117.74124165718818,87.93087380582503,85.76938884285897,60.615464758601284,126.43342320909652,82.66615428212576,86.39300347128462,,62.61081819021534,78.35384837744446,127.06626362049904,43.41486553761673,87.93509476159095,76.52420879455302
GONDIA,,62.27070743839436,132.88087852770153,87.99257737354613,158.2716432907972,151.5981144433458,74.95993879854016,132.62912904429334,129.92101351137845,93.68626277456369,116.86859497270888,56.69478873174892,158.7693566272502,,40.64717646206007,102.94419584153819,117.17815832596678,66.50007417872364,76.30992977846867,142.86057121845755
HINGOLI,99.70074409254661,64.623679838433,79.58830617128909,84.25234996756286,91.08110829961959,83.5377567497343,62.89316600848274,65.61136915002167,89.69043289782833,69.04765188833372,91.3590534058071,84.54568522276735,91.39145723778499,67.56020081534074,93.82287440465291,72.35444570922294,92.26974130496495,147.08072856311702,95.86314106336243,88.96269382320628
JALGAON,194.19205201523167,112.53666354623248,121.81351379769715,110.76892959249476,117.65681132961012,125.03211981771369,112.75693319365739,122.63965282416366,120.96134232943001,135.81280993177256,120.8768411140198,115.73984739568513,117.66379145816946,128.40525932998975,164.97288818919108,120.23010431390856,120.7799689876942,112.53666354121195,111.4638681700054,121.52414787643204
JALNA,196.96828277650636,90.93680307679311,63.91360787539496,61.423043805554045,49.27559225331016,66.72404216455848,129.08184520812853,48.09259116699789,48.19838629494702,53.34439185763747,70.26012769185817,60.69053819390452,49.19956556740582,55.07815304963152,197.39093678704927,61.666489008753096,70.39094236819241,251.5199793256989,97.77508067950987,65.91057207667649
KOLHAPUR,104.63681069834603,85.04245926137547,88.20616315124902,125.28865034698761,87.02507660729715,89.99628818520347,85.04301986569565,92.94025863598027,87.73785139332801,85.20941684340332,90.68941053428401,87.43742087700168,87.01497737819109,91.61824108230687,139.77128242749967,89.39877405415065,90.8060192104273,198.85209606840013,83.25095071435564,89.76058550844301
LATUR,118.86155358401457,148.35674897923755,137.22510410347215,118.38914646199625,111.96194867943746,109.93888559862096,121.2818660654653,151.8132710642231,124.60801636176788,146.70170132570132,119.89706087806564,105.7331129316178,112.03704520047314,105.51998676272572,129.37282362103704,108.66282585331147,120.0698244586987,402.31227633140975,134.43958078109344,113.23674329753219
MUMBAI,,600.7796378526216,206.97426952227872,559.750175756345,223.79581411670293,346.49001669520635,149.03895238750772,1168.6018618795017,223.38279966888805,131.63413999761784,165.93910052199598,452.8400400784729,224.01019494008855,,839.7326216228543,334.6653769231456,165.90113249517051,994.7275294099979,148.98158139984028,378.8039908668387
MUMBAI SUBURBAN,,203.2118306818988,127.33011383350868,218.235983385977,124.17900705607967,236.50016820818544,203.21180223311137,179.41316142487375,119.05201298864029,187.91383959440327,,217.07295240694236,124.14346969880108,,,188.22591067650595,,,197.43014612761732,
