district,model,RMSE
AHMEDNAGAR,SARIMA,47.24146477255246
AKOLA,RIDGE,58.186014170397684
AMRAVATI,ARIMA,148.88626691531374
AURANGABAD,ARIMA,175.5064157901063
BEED,KNN,47.120742385642195
BHANDARA,KNN,49.27446938662386
BULDHANA,HUBER,43.23603071739533
CHANDRAPUR,PROPHET,76.723385470598
DHULE,DT,98.3574044612081
GADCHIROLI,SARIMA,43.41486553761673
GONDIA,PROPHET,40.64717646206007
HINGOLI,EXP,62.89316600848274
JALGAON,DT,110.76892959249476
JALNA,GB,48.09259116699789
KOLHAPUR,TBATS,83.25095071435564
LATUR,LSTM,105.51998676272572
MUMBAI,KNN,131.63413999761784
MUMBAI SUBURBAN,HUBER,119.05201298864029
NAGPUR,EXP,128.34693110859845
NANDED,RF,45.48760521906584
NANDURBAR,LINEAR,55.391401523668605
NASHIK,BAYESIAN,77.40944457949632
OSMANABAD,PROPHET,23.15586006461015
PALGHAR,RIDGE,125.29710302372192
PARBHANI,PROPHET,42.663790006868744
PUNE,EXP,140.1016066249515
RAIGAD,PROPHET,54.94108161264057
RATNAGIRI,PROPHET,68.05068958705064
SANGLI,LGBM,64.93070257642789
SATARA,LASSO,120.18500131066246
SINDHUDURG,LGBM,20.59636675594302
SOLAPUR,SARIMA,76.45707245977587
THANE,SARIMA,147.5334858567144
WARDHA,RIDGE,49.74579716062255
WASHIM,EXP,19.688430736476786
YAVATMAL,KNN,20.199390478412585
