district,rmse,best_order,stationary
AHMEDNAGAR,546.3088562026786,"(0, 0, 0)",True
AKOLA,284.176112596893,"(0, 0, 0)",True
AMRAVATI,472.28120854801125,"(2, 0, 0)",True
AURANGABAD,629.8320460923487,"(2, 1, 0)",True
BEED,453.44757324714544,"(1, 0, 0)",True
BHANDARA,117.589123881731,"(2, 0, 2)",False
BULDHANA,361.9220436157408,"(2, 0, 0)",True
CHANDRAPUR,399.4179059222432,"(0, 0, 1)",True
DHULE,403.91017581674737,"(0, 0, 0)",True
GADCHIROLI,347.7975240026037,"(0, 0, 3)",False
GONDIA,212.15352589068962,"(1, 0, 0)",True
HINGOLI,123.84449677883717,"(0, 0, 0)",True
JALGAON,691.0255181137499,"(0, 1, 1)",True
JALNA,248.75036809327372,"(0, 0, 1)",True
KOLHAPUR,439.24832620553815,"(0, 0, 1)",True
LATUR,305.8261783457628,"(0, 0, 0)",True
MUMBAI,1668.12040932302,"(0, 1, 0)",False
NAGPUR,1201.0748421975898,"(1, 0, 0)",True
NANDED,428.6171908484349,"(0, 0, 2)",True
NANDURBAR,372.38526720198627,"(1, 0, 0)",True
NASHIK,571.148693021596,"(1, 0, 0)",True
OSMANABAD,260.30071903141567,"(0, 0, 1)",True
PALGHAR,611.0175862177579,"(1, 0, 0)",True
PARBHANI,365.0484233478213,"(0, 0, 1)",True
PUNE,1302.7064326770335,"(0, 0, 1)",True
RAIGAD,891.798437001902,"(1, 0, 0)",False
RATNAGIRI,316.75934676789115,"(1, 0, 0)",True
SANGLI,258.4572856890058,"(0, 0, 3)",True
SATARA,468.50963174233124,"(0, 0, 0)",True
SINDHUDURG,107.99627582115096,"(0, 0, 0)",True
SOLAPUR,539.4695232514948,"(0, 0, 1)",True
THANE,1460.630596770046,"(0, 0, 1)",True
WARDHA,207.0840819693352,"(2, 0, 0)",True
WASHIM,148.80495300708844,"(0, 0, 2)",True
YAVATMAL,263.4221791128126,"(0, 1, 1)",True
MUMBAI SUBURBAN,627.1237380744744,"(1, 0, 0)",True
