district,rmse,r_squared,best_params,differencing,feature_importances
AHMEDNAGAR,18.156512070206535,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.25219019738286247, 0.17598307238294772, 0.15314265909144803, 0.13185382065154136, 0.14592272243642093, 0.14090752805477944]"
AKOLA,11.288508168339458,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.20474690784124616, 0.18998500342934682, 0.14165446098400364, 0.13277922353856192, 0.13041317013403678, 0.20042123407280474]"
AMRAVATI,16.41204063417398,0.9999966189936726,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.19077140383889438, 0.23128517614861588, 0.13536066611897427, 0.11461975489312683, 0.20248489495941507, 0.12547810404097368]"
AURANGABAD,24.465832637919082,0.9999999845201238,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.1840813990382972, 0.14222835135059686, 0.15256048717895704, 0.14323806793083482, 0.16673046776179962, 0.21116122673951454]"
BEED,12.754082788573147,0.9999997810400597,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.26675015466714036, 0.14756325586208982, 0.1759795709279929, 0.18955374468820396, 0.09048873490106112, 0.12966453895351182]"
BHANDARA,4.7334870867046845,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.22657257312190704, 0.10556559569240727, 0.12793151479409615, 0.17560158103374338, 0.18957938422677434, 0.17474935113107187]"
BULDHANA,6.537199111410193,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.2966918237733164, 0.17435987464314787, 0.14558088494503957, 0.12529412047961236, 0.15231201608950623, 0.1057612800693776]"
CHANDRAPUR,16.57409390853355,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.12666050928869826, 0.27890335215622947, 0.1016085895003511, 0.11837480538361626, 0.18659412193457675, 0.18785862173652818]"
DHULE,8.475430175906512,0.999999918491349,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.24096594475090233, 0.07285744768114485, 0.2618350589392262, 0.24824480680590721, 0.061565934581991534, 0.11453080724082795]"
GADCHIROLI,9.276196388846262,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.30756224818324224, 0.15853725788472475, 0.11302185363537894, 0.11679359742343239, 0.18442714218233386, 0.11965790069088791]"
GONDIA,6.204738556583634,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2938450984287094, 0.13627294279517307, 0.14016736755813342, 0.11502819534500458, 0.22755297395112928, 0.08713342192185018]"
HINGOLI,5.123972525730836,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.3483542136785088, 0.14386726563337318, 0.12226410497767812, 0.13994102228165742, 0.13628135909972755, 0.10929203432905495]"
JALGAON,14.774289134995444,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.2782607048894461, 0.1180134670821441, 0.15761113584867506, 0.07919415751204711, 0.09717388596492886, 0.2697466487027589]"
JALNA,6.123819614151503,0.9999999697704754,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.31907496638332183, 0.21384451930736864, 0.10334921540703008, 0.11311485082058517, 0.13674796718214846, 0.11386848089954593]"
KOLHAPUR,11.677547782913255,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.299202510765869, 0.10590501610487034, 0.1903220655668569, 0.16474367412921145, 0.13294713456865848, 0.10687959886453383]"
LATUR,15.220893352377331,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.19018313102789436, 0.2292339628502377, 0.08968110284063785, 0.17526833995943328, 0.18308490728525326, 0.13254855603654359]"
MUMBAI,25.81476639229743,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.3658894165626731, 0.07430648302844635, 0.0902492548888684, 0.17299468615238475, 0.11854623970167215, 0.17801391966595528]"
NAGPUR,12.726806573353567,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.19690016949885877, 0.38687828140530034, 0.12423896529217773, 0.08581356624936252, 0.09032826056785201, 0.11584075698644859]"
NANDED,23.861741519288426,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.3248295321214585, 0.20542549333962845, 0.13394551525694628, 0.18389887571571317, 0.0868149613948267, 0.06508562217142694]"
NANDURBAR,8.884783809037412,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.1861261891617359, 0.09020628372405433, 0.11908816295382253, 0.11337894213599081, 0.26688698830299207, 0.2243134337214042]"
NASHIK,15.878418442093729,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.24669214611918644, 0.13719283130495724, 0.10586876306636991, 0.12899199573603803, 0.126155256112439, 0.25509900766100946]"
OSMANABAD,7.444876687285619,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.14638445119710355, 0.13157427773610814, 0.2043157827767178, 0.15257160532534023, 0.27237452396385076, 0.09277935900087939]"
PALGHAR,13.802179477652556,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.21970175824873486, 0.11447509702248634, 0.11970762495912522, 0.19219055432892174, 0.24298336778332208, 0.11094159765740982]"
PARBHANI,8.577436323802635,0.9999983322551953,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.4695501926871534, 0.15871495564842023, 0.09009795495182772, 0.07446556692201893, 0.09412917282825556, 0.1130421569623241]"
PUNE,46.1649463277544,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.23305601056440042, 0.09489642059498471, 0.17707390410143836, 0.23757514625652124, 0.0882846250460165, 0.16911389343663874]"
RAIGAD,6.9103808340499535,0.9999997707489464,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.3460278537768371, 0.25615073450414383, 0.16764917831870896, 0.09615584423972919, 0.05123568817187559, 0.08278070098870524]"
RATNAGIRI,6.806614838196411,0.9999996466809422,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.11074468696412107, 0.126373929194947, 0.16788979261113168, 0.10431872704330412, 0.1262951289839292, 0.36437773520256694]"
SANGLI,9.10506116887135,0.9999998512152489,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.12376658399374561, 0.15767549775408318, 0.13445365485256341, 0.15085908129317213, 0.2605921421481233, 0.17265303995831247]"
SATARA,7.529322125308935,0.9999999667123951,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.1303580038466365, 0.25046265767535575, 0.20239999759863236, 0.15125869782615312, 0.10282308009215968, 0.1626975629610627]"
SINDHUDURG,2.6254137240104125,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.16826781436526198, 0.18069752431103897, 0.17854780634145792, 0.18687218376421347, 0.16877868566779053, 0.11683598555023708]"
SOLAPUR,41.689484119033075,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.38988575043824025, 0.0858753694417001, 0.07329954703595092, 0.13698167997714833, 0.1260928125869348, 0.18786484052002558]"
THANE,16.41837877892927,0.9999998901206015,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.19250601617545984, 0.1695750618911162, 0.2473133412777735, 0.12818165917525, 0.16529068474436864, 0.09713323673603175]"
WARDHA,3.1976071782923343,0.9880478087649402,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.24171902352964014, 0.17577443097351175, 0.12359522370290799, 0.11306129768856288, 0.1621376821265796, 0.18371234197879766]"
WASHIM,4.015007264418501,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.15864359480308157, 0.1222865497306026, 0.14630664316113154, 0.18991222510556274, 0.18277434252092417, 0.20007664467869746]"
YAVATMAL,5.558272863239283,1.0,"{'n_estimators': 200, 'max_depth': 15}",0,"[0.42931038996984405, 0.17118031263335706, 0.06690692431514447, 0.08812088993248145, 0.07308512121004186, 0.1713963619391311]"
MUMBAI SUBURBAN,4.140000000000001,1.0,"{'n_estimators': 200, 'max_depth': 15}",1,"[0.4929735761471163, 0.12071148009284052, 0.05158721656846998, 0.04469201928227106, 0.0425209783967149, 0.2475147295125872]"
