district,date,actual,forecast
KOLHAPUR,2020-08-01,20.0,21.46
KOLHAPUR,2020-09-01,16.0,30.375
KOLHAPUR,2020-10-01,14.0,27.32
KOLHAPUR,2020-11-01,15.0,26.02
KOLHAPUR,2020-12-01,20.0,20.715
KOLHAPUR,2021-01-01,40.0,15.525
KOLHAPUR,2021-02-01,29.0,29.535
KOLHAPUR,2021-03-01,21.0,31.82
LATUR,2020-07-01,16.0,21.74
LATUR,2020-08-01,58.0,26.845
LATUR,2020-09-01,35.0,29.425
LATUR,2020-10-01,38.0,25.34
LATUR,2020-11-01,14.0,25.345
LATUR,2020-12-01,17.0,24.64
LATUR,2021-01-01,10.0,32.675
LATUR,2021-02-01,25.0,23.435
LATUR,2021-03-01,12.0,25.655
MUMBAI,2020-07-01,74,77.245
MUMBAI,2020-08-01,66,90.99
MUMBAI,2020-09-01,76,74.37
MUMBAI,2020-10-01,90,69.475
MUMBAI,2020-11-01,69,67.63
MUMBAI,2020-12-01,46,66.96
MUMBAI,2021-01-01,54,76.14999999999999
MUMBAI,2021-02-01,41,90.41499999999999
MUMBAI,2021-03-01,50,89.56
NAGPUR,2020-07-01,50.0,63.43
NAGPUR,2020-08-01,52.0,58.485
NAGPUR,2020-09-01,35.0,39.115
NAGPUR,2020-10-01,76.0,59.085
NAGPUR,2020-11-01,33.0,35.09
NAGPUR,2020-12-01,49.0,71.635
NAGPUR,2021-01-01,48.0,53.155
NAGPUR,2021-02-01,50.0,47.395
NAGPUR,2021-03-01,32.0,51.55
NANDED,2020-07-01,26,17.6
NANDED,2020-08-01,32,24.295
NANDED,2020-09-01,50,18.825
NANDED,2020-10-01,21,5.890000000000001
NANDED,2020-11-01,33,5.780000000000001
NANDED,2020-12-01,22,-3.7250000000000014
NANDED,2021-01-01,25,-8.189999999999998
NANDED,2021-02-01,18,-5.889999999999997
NANDED,2021-03-01,21,-5.819999999999997
NANDURBAR,2020-07-01,42.0,38.5
NANDURBAR,2020-08-01,48.0,42.6
NANDURBAR,2020-09-01,52.0,43.185
NANDURBAR,2020-10-01,44.0,48.195
NANDURBAR,2020-11-01,56.0,45.305
NANDURBAR,2020-12-01,37.0,42.735
NANDURBAR,2021-01-01,30.0,38.67
NANDURBAR,2021-02-01,19.0,36.755
NANDURBAR,2021-03-01,26.0,32.005
NASHIK,2020-07-01,68.0,95.76
NASHIK,2020-08-01,94.0,85.465
NASHIK,2020-09-01,111.0,98.795
NASHIK,2020-10-01,96.0,100.435
NASHIK,2020-11-01,87.0,91.02
NASHIK,2020-12-01,83.0,86.645
NASHIK,2021-01-01,66.0,94.625
NASHIK,2021-02-01,62.0,71.705
NASHIK,2021-03-01,64.0,81.72
OSMANABAD,2020-07-01,28.0,17.86
OSMANABAD,2020-08-01,30.0,18.475
OSMANABAD,2020-09-01,26.0,18.83
OSMANABAD,2020-10-01,17.0,20.87
OSMANABAD,2020-11-01,19.0,23.745
OSMANABAD,2020-12-01,14.0,22.425
OSMANABAD,2021-01-01,16.0,21.42
OSMANABAD,2021-02-01,12.0,19.64
OSMANABAD,2021-03-01,14.0,17.945
PALGHAR,2020-07-01,45,34.415
PALGHAR,2020-08-01,48,25.81
PALGHAR,2020-09-01,33,23.025
PALGHAR,2020-10-01,48,23.839999999999996
PALGHAR,2020-11-01,42,22.83
PALGHAR,2020-12-01,26,21.525
PALGHAR,2021-01-01,26,23.154999999999998
PALGHAR,2021-02-01,28,23.214999999999996
PALGHAR,2021-03-01,22,24.889999999999997
PARBHANI,2020-07-01,11.0,12.495
PARBHANI,2020-08-01,33.0,11.005
PARBHANI,2020-09-01,18.0,18.34
PARBHANI,2020-10-01,12.0,17.92
PARBHANI,2020-11-01,21.0,12.305
PARBHANI,2020-12-01,16.0,18.24
PARBHANI,2021-01-01,8.0,14.375
PARBHANI,2021-02-01,11.0,9.345
PARBHANI,2021-03-01,13.0,8.88
PUNE,2020-07-01,72,39.34
PUNE,2020-08-01,69,49.195
PUNE,2020-09-01,70,42.36
PUNE,2020-10-01,58,27.335
PUNE,2020-11-01,98,30.595
PUNE,2020-12-01,61,13.54
PUNE,2021-01-01,56,26.064999999999998
PUNE,2021-02-01,68,-12.969999999999999
PUNE,2021-03-01,33,-9.064999999999998
RAIGAD,2020-07-01,21.0,24.355
RAIGAD,2020-08-01,29.0,22.72
RAIGAD,2020-09-01,35.0,22.1
RAIGAD,2020-10-01,32.0,25.105
RAIGAD,2020-11-01,11.0,22.00333333333333
