district,date,actual,forecast,model_params
AHMEDNAGAR,2020-06-01,5761,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2020-07-01,6225,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2020-08-01,6609,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2020-09-01,7268,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2020-10-01,6799,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2020-11-01,5248,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2020-12-01,4923,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2021-01-01,4542,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2021-02-01,4301,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AHMEDNAGAR,2021-03-01,3941,5471.333448455132,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C08D6ED0>
AKOLA,2020-06-01,1889,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2020-07-01,1999,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2020-08-01,1927,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2020-09-01,2604,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2020-10-01,2342,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2020-11-01,2550,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2020-12-01,2513,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2021-01-01,2215,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2021-02-01,1967,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AKOLA,2021-03-01,2265,1933.847633574119,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C2685150>
AMRAVATI,2020-06-01,3183,2316.2983048844903,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2020-07-01,2772,2218.191634590517,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2020-08-01,3081,2164.927503614779,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2020-09-01,3483,2136.0093103859253,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2020-10-01,3505,2120.3090279575454,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2020-11-01,3484,2111.785021413286,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2020-12-01,3227,2107.157162780932,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2021-01-01,2783,2104.644603058007,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2021-02-01,2216,2103.280482659616,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AMRAVATI,2021-03-01,2626,2102.5398736128627,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C26960D0>
AURANGABAD,2020-06-01,5574,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2020-07-01,5621,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2020-08-01,5821,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2020-09-01,6050,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2020-10-01,6041,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2020-11-01,6010,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2020-12-01,6373,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2021-01-01,6136,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2021-02-01,5864,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
AURANGABAD,2021-03-01,5897,5752.210971508507,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3036C10>
BEED,2020-06-01,2392,2375.6389966174956,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3069390>
BEED,2020-07-01,2942,2375.6389966174956,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3069390>
BEED,2020-08-01,2934,2375.6389966174956,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3069390>
BEED,2020-09-01,2943,2375.6389966174956,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3069390>
BEED,2020-10-01,3112,2375.6389966174956,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3069390>
BEED,2020-11-01,2812,2375.6389966174956,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3069390>
BEED,2020-12-01,2752,2375.6389966174956,<tbats.tbats.ModelParams.ModelParams object at 0x00000243C3069390>
