district,date,actual,forecast,lower_ci,upper_ci
AHMEDNAGAR,2020-06-01,5761.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2020-07-01,6225.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2020-08-01,6609.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2020-09-01,7268.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2020-10-01,6799.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2020-11-01,5248.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2020-12-01,4923.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2021-01-01,4542.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2021-02-01,4301.0,0.0,-11092.607591628268,11092.607591628268
AHMEDNAGAR,2021-03-01,3941.0,0.0,-11092.607591628268,11092.607591628268
AKOLA,2020-06-01,1889.0,2615.5219461888173,806.0150537390332,4425.028838638602
AKOLA,2020-07-01,1999.0,3994.5219461888173,2003.2493740001512,5985.794518377484
AKOLA,2020-08-01,1927.0,4014.5219461888178,1856.7412067070563,6172.302685670579
AKOLA,2020-09-01,2604.0,4368.521946188817,2056.1921724311787,6680.851719946456
AKOLA,2020-10-01,2342.0,3868.521946188817,1411.3446539419501,6325.699238435684
AKOLA,2020-11-01,2550.0,4348.521946188817,1754.5729280966661,6942.4709642809685
AKOLA,2020-12-01,2513.0,4601.521946188817,1877.6602075190976,7325.383684858537
AKOLA,2021-01-01,2215.0,3348.5219461888173,500.66766018392764,6196.3762321937065
AKOLA,2021-02-01,1967.0,4568.521946188817,1601.8528886018385,7535.191003775796
AKOLA,2021-03-01,2265.0,7035.521946188817,3954.61679345016,10116.427098927474
AMRAVATI,2020-06-01,3183.0,2478.023672721657,1970.2822905260289,2985.765054917285
AMRAVATI,2020-07-01,2772.0,2459.1915588982497,1743.8600889494046,3174.523028847095
AMRAVATI,2020-08-01,3081.0,2440.5025625579246,1567.7182207526148,3313.2869043632345
AMRAVATI,2020-09-01,3483.0,2421.955596057831,1417.9537496258258,3425.957442489836
AMRAVATI,2020-10-01,3505.0,2403.549580020823,1285.2660552552786,3521.8331047863676
AMRAVATI,2020-11-01,3484.0,2385.283443272646,1164.8638553970325,3605.7030311482595
AMRAVATI,2020-12-01,3227.0,2367.1561227795924,1053.888023852044,3680.4242217071405
AMRAVATI,2021-01-01,2783.0,2349.166563586641,950.4670986298966,3747.8660285433857
AMRAVATI,2021-02-01,2216.0,2331.31371875606,853.295049717791,3809.3323877943294
AMRAVATI,2021-03-01,2626.0,2313.596549306478,761.4164064112049,3865.7766922017518
AURANGABAD,2020-06-01,5574.0,5732.297599514273,5215.235555347253,6249.359643681294
AURANGABAD,2020-07-01,5621.0,5701.095025877257,5074.131657557726,6328.058394196789
AURANGABAD,2020-08-01,5821.0,5710.899901386191,4964.155696610486,6457.644106161896
AURANGABAD,2020-09-01,6050.0,5707.81888682425,4865.552650158842,6550.085123489657
AURANGABAD,2020-10-01,6041.0,5708.787042995355,4778.651814669357,6638.922271321352
AURANGABAD,2020-11-01,6010.0,5708.482816464514,4698.709160090927,6718.256472838101
AURANGABAD,2020-12-01,6373.0,5708.578414452555,4624.823044731105,6792.333784174005
AURANGABAD,2021-01-01,6136.0,5708.548374418597,4555.601945453263,6861.49480338393
AURANGABAD,2021-02-01,5864.0,5708.55781398588,4490.327987236623,6926.787640735137
AURANGABAD,2021-03-01,5897.0,5708.554847763185,4428.371189185411,6988.738506340958
BEED,2020-06-01,2392.0,2342.2583264460422,1264.7088016255393,3419.807851266545
BEED,2020-07-01,2942.0,2259.5445089809778,762.3245747478493,3756.764443214106
BEED,2020-08-01,2934.0,2179.7516227908272,377.7380737674596,3981.765171814195
BEED,2020-09-01,2943.0,2102.776518972853,57.520967768915625,4148.0320701767905
BEED,2020-10-01,3112.0,2028.5196911941468,-219.5818115593936,4276.621193947687
BEED,2020-11-01,2812.0,1956.8851470589968,-464.7729220043482,4378.543216122342
BEED,2020-12-01,2752.0,1887.7802840187492,-684.8962843439349,4460.456852381433
BEED,2021-01-01,2275.0,1821.1157696637517,-884.539867208611,4526.771406536114
BEED,2021-02-01,2079.0,1756.8054262426338,-1066.9830791228571,4580.593931608125
BEED,2021-03-01,2382.0,1694.7661192596363,-1234.6827614310866,4624.214999950359
BHANDARA,2020-06-01,1098.0,965.0,708.8244921290943,1221.1755078709057
BHANDARA,2020-07-01,1119.0,965.0,602.71312242115,1327.28687757885
BHANDARA,2020-08-01,1256.0,965.0,521.2910047128312,1408.7089952871688
BHANDARA,2020-09-01,1297.0,965.0,452.64898425818933,1477.3510157418107
BHANDARA,2020-10-01,1524.0,965.0,392.17415023012336,1537.8258497698766
BHANDARA,2020-11-01,1320.0,965.0,337.5007211179462,1592.4992788820537
BHANDARA,2020-12-01,1448.0,965.0,287.223314187915,1642.776685812085
BHANDARA,2021-01-01,1100.0,965.0,240.42624484230043,1689.5737551576995
BHANDARA,2021-02-01,954.0,965.0,196.47347638728434,1733.5265236127157
BHANDARA,2021-03-01,1076.0,965.0,154.90191437754766,1775.0980856224523
