district,model,RMSE
AHMEDNAGAR,KNN,455.38962651136046
AKOLA,HUBER,186.53792852388997
AMRAVATI,DT,361.0572573512404
AURANGABAD,KNN,396.5515117975424
BEED,BAYESIAN,280.91122061956753
BHANDARA,ARIMA,117.58912388173103
BULDHANA,ANN,287.88116448842214
CHANDRAPUR,RF,172.07488538124372
DHULE,PROPHET,250.20220298050546
GADCHIROLI,SARIMA,258.3700697628447
GONDIA,ANN,112.39842709007686
HINGOLI,RF,98.68070436334136
JALGAON,DT,573.2079778277131
JALNA,RIDGE,167.7548360345768
KOLHAPUR,TBATS,372.37880578109343
LATUR,ARIMA,305.8261783457628
MUMBAI,HUBER,1475.489250982334
MUMBAI SUBURBAN,EXP,94.10604399853216
NAGPUR,LINEAR,960.8798007543386
NANDED,EXP,418.0315907551401
NANDURBAR,ET,155.18614583245932
NASHIK,RIDGE,548.4010161242519
OSMANABAD,RF,188.28474742210426
PALGHAR,ANN,387.94225616902065
PARBHANI,PROPHET,261.3943221615448
PUNE,HUBER,930.6832654967876
RAIGAD,GB,695.9460350735926
RATNAGIRI,RIDGE,200.22431165258627
SANGLI,KNN,258.4440224896493
SATARA,DT,406.9362571827768
SINDHUDURG,RIDGE,89.54038821356919
SOLAPUR,LGBM,488.0965012443051
THANE,HUBER,1147.354514011198
WARDHA,PROPHET,151.72956218156753
WASHIM,ET,143.16486197203633
YAVATMAL,RF,142.36815564899396
