district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LGBM,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
AHMEDNAGAR,696.9991488809056,546.3088562026786,547.0944471386705,680.2197440378268,558.3383043644186,496.0762949245923,546.3088751203455,563.6044655767239,588.0158961978765,455.38962651136046,531.9255170399563,626.1086564173092,558.3414028487894,507.95923625611925,677.1696045860098,540.9200555448102,531.9266352760814,6603.957851167737,557.3217645777381,480.64629741466956
AKOLA,266.1177046478014,284.176112596893,277.44504212133097,274.38509029788366,275.7846848686445,269.31914731617417,309.37863943215586,279.02563379979574,186.53792852388997,293.8235848936919,295.6730947784814,289.6626258502863,275.7897446109714,230.20917181098093,353.25555862835745,249.19303956144054,295.6739324858726,1608.7839643311072,256.93300758548463,260.95723043007973
AMRAVATI,431.60917664789827,472.2812085480113,426.5033176298275,361.0572573512404,389.0049542465296,391.6309269593524,483.08190608530606,476.5036061552354,404.48805611541826,416.06316788533667,361.71469750564006,509.9665843542814,388.9876476635256,575.5064384611146,564.9792687427937,395.762087220201,361.69338314917974,3612.2351280948924,488.60435391470594,443.078098764666
AURANGABAD,579.6028309241749,629.8320460923487,400.27650590994085,511.050211648888,407.89182182759066,426.670646267248,570.6414523740017,426.27306377575337,433.9923079574182,396.5515117975424,402.7568080918855,448.2010414283843,407.8963674760005,423.3550252395657,664.7758128663708,441.9256964191554,402.7741227102737,629.8320460923487,581.0765714152166,494.12199340631116
BEED,600.2542529534649,453.44757324714544,280.91122061956753,945.7827171805591,335.21544133384737,312.03161527853763,1048.5716351145456,384.3025401758515,429.3269644420534,380.8786874051386,352.4878770266026,455.3277235331031,335.2042890906776,346.448867149082,525.3316476936958,341.10415390741287,352.5309067903383,946.6416343425701,1001.7270628853869,322.54846677255773
BHANDARA,,117.58912388173103,213.6673864839275,345.2910672332997,275.99003051977803,315.8568908408785,266.08112276112314,209.75298781427136,292.73968216533524,224.41295026366413,277.3174320355758,353.5273879835007,276.1357183905049,,193.06791490693107,278.5006377961331,277.6597114965385,136.23248716823016,232.64652962782836,398.6587441544891
BULDHANA,287.88116448842214,361.92204361574073,368.4470800611097,452.72815122495376,380.89711220074497,364.1967086311706,375.0687115317878,433.4407641191665,367.6558706797489,364.59913169816286,342.71874900337014,406.7678055457641,380.89676183018275,398.0396336968761,439.57657153126496,345.1173857013142,342.7135747783465,3849.82796777743,373.1189745568802,348.9019376941432
CHANDRAPUR,206.4178813307687,399.4179059222432,237.9486967805725,410.51276370737446,264.13689489928754,172.50853099677911,541.3488354244801,327.1495099236932,285.7720491027888,255.8729813617635,194.01052728893137,322.47572256390316,264.1072602808629,373.7399652943088,436.03721121379306,172.07488538124372,193.99414138098302,2503.44867224084,453.6349168095049,284.5925024152799
DHULE,319.6166828459088,403.91017581674765,375.36929416949647,418.6844482824267,346.744753506981,366.73621660079704,358.8670256941119,417.471923554764,365.0502418147818,350.989479244701,336.726616626879,452.6613671416717,346.7485201712904,320.9236241436669,250.20220298050546,492.29550273297355,336.7199744807753,3493.0639415848086,364.2721107023542,501.54850346083174
GADCHIROLI,,347.7975240026038,333.9995780904953,362.2355334054386,404.2489728455224,264.4288477234156,515.5598928975573,453.2789501351747,374.45976570717846,366.1535215733207,305.1203639818911,325.3487228437945,404.2386755103273,,326.1887059806457,343.66847692949506,304.9422652433053,258.3700697628447,512.5255249571053,477.7834135056362
GONDIA,112.39842709007686,212.1535258906896,163.33950227359318,132.2205494013125,160.00768186521532,126.80300743454168,305.6055337715088,179.40016799403398,158.33345125750895,137.25709858186246,139.4830316472612,184.92069322336562,159.97575223630665,210.72543546893485,170.7965107444764,138.72687068481002,139.44716908870365,279.2029597687037,224.81205526057838,163.80304907987656
HINGOLI,125.12290697951089,123.84449677883718,131.0325711104959,192.04657999856173,124.21703533408461,119.94231346596533,124.28238149521397,121.01319514507776,144.7613879464635,119.45903442331095,126.52236511681292,171.56659120694823,124.21457492677102,144.92599196620628,213.70942674548303,98.68070436334136,126.53527338480882,1936.8377577897431,123.87331885433751,117.43924768819836
JALGAON,817.1798014912615,691.0255181137499,599.7748037041406,573.2079778277131,578.2671639403881,716.7582591315802,672.2047563769967,612.559054364139,687.8542887767572,655.1894217144189,614.9315656864449,882.0669387779428,578.2722790920078,735.1088419038897,844.1444705654924,677.2155583055599,614.936971401332,759.4151266353143,677.0251728468188,764.1173799274198
JALNA,172.40759454475256,248.75036809327372,238.58572868259455,294.4688407549822,212.31820006535227,228.0396573393419,256.71973339307823,284.1334467437053,254.90648970343955,219.44466974198295,167.77057857643192,313.3244367616019,212.30965564123608,230.61769291792805,263.86542954015084,289.49024838210573,167.7548360345768,1604.893244310058,282.99607556674675,282.4254906907169
KOLHAPUR,457.469622129516,439.24832620553815,423.38037308013,515.6392278845098,442.4657108400229,455.54542026869046,409.67048835642055,477.12487219915596,499.4827802491002,406.153652722014,406.2646048502399,382.281685274919,442.4999198862647,402.7151178332146,477.0912252758961,428.5167020730412,406.30293631897365,4806.4025730677995,372.37880578109343,447.39465763740424
LATUR,329.0594076890337,305.8261783457628,330.90902180244717,400.625395810534,321.18568882028393,351.953617090851,309.0514932482584,320.00806562977607,317.2525479261926,307.56286896721934,346.76987565281786,482.3506464036125,321.1769666448196,374.57897843278664,560.4461537974366,336.04369408347554,346.7377537176531,2046.262023494588,307.19606257246807,357.2272267892975
MUMBAI,,1668.12040932302,4042.4931292796623,12610.88695588296,3508.343055514664,4413.428463592046,1612.7398500006607,4332.778701348808,1475.489250982334,3497.121279591272,3399.6134797068016,4362.654061448858,3508.340192617093,,4895.734233147937,3586.742887024692,3399.6740129648956,1628.0894013424922,1616.9887990168725,6683.414566284476
MUMBAI SUBURBAN,,627.1237380744744,547.1261162415785,1115.6903816820222,408.3774021984899,114.78761807137568,94.10604399853216,186.1704794332092,853.1345044305126,221.5895723549032,,591.2353357354607,408.38948080018446,,,205.56984214616662,1062.0646123324507,,2631.1980751088963,
NAGPUR,1121.8346397981131,1201.0748421975898,1196.3050667390044,1244.4459481204347,960.9033233316119,1223.624118094823,1203.1214095807559,1259.854103062252,1022.8695050539989,1266.9853530225448,1003.8218185114542,1260.8329541613934,960.8798007543386,1309.7619043326886,1754.4681460153004,1154.4571722951787,1003.8103887377455,1450.8709190101558,1255.5014457182979,1263.7115007745226
NANDED,482.14102537002594,428.6171908484349,441.6601103059315,497.7378658683441,466.6252839650886,484.62838019054465,418.0315907551401,482.1600393688014,532.6722600319828,460.430107439319,450.15950463463025,468.21900256996025,466.6384954143663,460.6984719817436,460.9796129614564,421.5582066801856,450.1597388262094,515.2235485222831,421.97165689983234,455.4076376860711
NANDURBAR,259.85494190028834,372.3852672019863,213.60273197765298,326.7102192874157,282.8871207198599,155.18614583245932,755.3634780345876,332.72364666179465,404.503888099276,229.9365731335472,211.69745083213834,545.5536780216937,282.88424879461957,332.2292147944498,428.4850830275879,219.00723798287788,211.7096594908258,699.3456699730084,353.80708701320225,198.58393918110687
NASHIK,572.9922250685433,571.1486930215959,574.3336532105623,917.8357490434889,592.8422724535404,737.6916701930571,1001.377751775015,600.7598734371003,729.2193244531181,669.6682296314926,548.4017872043917,591.6867965581115,592.8466812083822,562.6084310100191,1393.9999328728982,672.0338793585175,548.4010161242519,1566.498521786279,1007.6500920578977,841.6706351485982
OSMANABAD,278.6822257439904,260.30071903141567,266.90570942262167,248.773279292202,237.23468414733804,196.27124698148387,407.2875818699016,237.22993369940946,277.15677723144415,212.05140821426227,202.6520657564468,319.9143373127787,237.26071934131483,317.65229979362135,293.7224685000756,188.28474742210426,202.6462230091291,2327.985633731245,268.92029843557754,211.66600230439312
PALGHAR,387.94225616902065,611.0175862177579,533.1122693233368,494.6856368741274,477.5946014399346,509.8789004753973,721.4633928357964,499.22411905491924,499.8888792880807,494.11232152475094,502.69446884014695,723.3869131440182,477.59014045171097,611.7371990454998,969.9333196044552,518.2657297202152,502.6955280740059,1010.223758305474,706.7795560975251,550.9940982187005
PARBHANI,367.53091772334386,365.0484233478213,352.0180202775115,365.9334275007993,338.99356696081986,317.07559777686384,348.606385664493,344.2505739351107,364.0204720343763,360.1022764906249,346.3025618800626,439.51762690835073,339.0016182379389,382.4900270274406,261.3943221615448,307.134170842291,346.3621046614828,3123.08766758889,379.81964810193597,313.11005364498703
PUNE,1493.0084323600622,1302.706432677033,1348.29278374275,1645.9651718378955,1585.5122296601028,1346.016375297657,1627.476759367979,1332.62938699863,930.6832654967876,1549.4979183226626,1535.0104981653406,1312.901814885667,1585.51779124261,1319.933181622927,1980.8344576406448,1456.7037808391628,1535.0174149873078,15823.223037425601,3163.3673089175068,1332.7852160672153
RAIGAD,,891.798437001902,946.1077649464546,951.3750271926602,1228.6620278052346,1047.2855532412245,734.9940613335657,695.9460350735926,1275.4734498228759,914.3824787174831,1186.1241699098862,784.1557463081392,1228.8187647117861,,1061.1492473730468,941.9239891807664,1186.3046037701906,811.2894523562161,734.9842957878494,1047.2092590860955
RATNAGIRI,421.50336280381333,316.75934676789115,222.66274067127816,399.0193109284652,200.94321348529965,269.56782950266484,315.342913227361,334.91703716306034,205.87874594064152,244.1758063711669,200.23377841460555,258.9060315196104,200.92888537641898,242.66287177922828,240.89975606658624,325.81524174838034,200.22431165258627,514.9813390771535,314.1689608079878,334.9205164444361
SANGLI,310.67544237198194,258.4572856890058,272.74332237776855,449.51883553655625,292.3883620175762,287.5088462407142,321.3725058503499,311.14555057365254,322.74662621321124,258.4440224896493,283.8460491636897,271.9521907115782,292.38836655291743,294.73853390788963,423.7721270688505,282.3265911631029,283.93705958979274,595.0266380591719,320.89022807459736,321.0256272559803
SATARA,686.3755065909745,468.5096317423314,502.5693028448648,406.9362571827768,496.88582392926025,577.3111877969762,496.54073613456245,487.4794000925529,579.5068547545153,510.5489796591522,521.568810094783,503.1130521393305,496.90610240115916,560.5063187270803,488.44788320087235,484.74228545783916,521.5590530126476,3854.9979507128146,484.3181884536703,484.126213629062
SINDHUDURG,129.0439936364786,107.99627582115096,104.56921164927361,128.74043156194782,96.54191491726064,104.39338000509846,107.72225525884794,102.09194896791797,94.9127879760463,101.49077410819632,89.58608773380809,106.78197635294067,96.46440567507659,107.16887156848483,152.63516968676225,121.64032175959491,89.54038821356919,621.8916304308975,109.76786492389317,102.63542466368514
SOLAPUR,581.820340018318,539.4695232514948,543.2880764737316,793.3558801217745,534.6557827563762,550.1530508387846,540.379680197493,598.6639995557646,561.8002053874307,491.3409457464637,508.6780719223141,488.0965012443051,534.6560992910989,561.6446532013479,753.0056609959688,601.8243817159437,508.67910333648217,6585.335815156585,579.471671254385,658.2212204904266
THANE,1562.7985413065167,1460.630596770046,1539.748516746412,1307.5793634294887,1342.8805965441193,1520.2487497078469,1560.488858215891,1409.3718615841342,1147.354514011198,1552.252989740387,1678.6551038784135,1592.8258118301947,1342.8793100389585,1453.4806037325634,1938.8059214263944,1549.2648632156945,1678.6555931811513,13841.070297492442,1456.5534981363812,1319.4084162014515
WARDHA,192.16409812653183,207.0840819693352,196.68468528822942,182.04438654345304,186.15151997362528,197.90072561766925,213.21963070095202,181.60448161417798,168.76199262059504,175.57974833161632,190.1867529077791,241.71009781248947,186.1345428403866,221.31263558315715,151.72956218156753,170.73015292586578,190.24762209925836,609.5807479652742,203.84049865766045,197.25243830121175
WASHIM,193.8168147915707,148.80495300708844,148.61895148001858,159.90367229547996,166.89029758248532,143.16486197203633,144.30559392759451,151.14999057795123,162.30797864267208,146.78697399242714,176.4870124758366,192.3923022587395,166.92730585512425,166.6958126504682,143.3129889294543,145.51575296226903,176.61598027460747,158.8192194234504,143.95766159426276,168.97691674406298
YAVATMAL,287.6805858388836,263.42217911281284,245.94614739385347,178.20091084461475,206.0719753342737,200.92978306726164,284.1382140260401,280.9963734951778,213.53117221065986,185.87704042434186,209.95286385871418,252.11965703991297,206.06480357097638,284.37133563222886,546.5626752628109,142.36815564899396,209.92294064315777,263.42217911281284,273.2419563649517,277.72474816512323
